"time","Circle_SWC_output_Coords.x","Circle_SWC_output_Coords.y"
0,0,0
0.008,0.99,0.09
0.016,0.98,0.19
0.024,0.98,0.19
0.032,0.95,0.29
0.04,0.92,0.38
0.048,0.87,0.47
0.056,0.82,0.56
0.064,0.82,0.56
0.072,0.76,0.64
0.08,0.69,0.71
0.088,0.62,0.78
0.096,0.54,0.84
0.104,0.54,0.84
0.112,0.45,0.89
0.12,0.36,0.93
0.128,0.26,0.96
0.136,0.16,0.98
0.144,0.16,0.98
0.152,0.07,0.99
0.16,-0.03,0.99
0.168,-0.13,0.99
0.176,-0.23,0.97
0.184,-0.23,0.97
0.192,-0.33,0.94
0.2,-0.42,0.9
0.208,-0.51,0.86
0.216,-0.59,0.8
0.224,-0.59,0.8
0.232,-0.67,0.74
0.24,-0.74,0.67
0.248,-0.81,0.59
0.256,-0.86,0.51
0.264,-0.86,0.51
0.272,-0.91,0.42
0.28,-0.95,0.33
0.288,-0.98,0.23
0.296,-0.99,0.14
0.304,-0.99,0.14
0.312,-1,0.04
0.32,-1,-0.06
0.328,-0.99,-0.16
0.336,-0.97,-0.26
0.344,-0.97,-0.26
0.352,-0.94,-0.36
0.36,-0.9,-0.45
0.368,-0.85,-0.53
0.376,-0.8,-0.62
0.384,-0.8,-0.62
0.392,-0.73,-0.69
0.4,-0.66,-0.76
0.408,-0.58,-0.82
0.416,-0.5,-0.88
0.424,-0.5,-0.88
0.432,-0.41,-0.92
0.44,-0.31,-0.96
0.448,-0.22,-0.98
0.456,-0.12,-1
0.464,-0.12,-1
0.472,-0.02,-1
0.48,0.08,-1
0.488,0.18,-0.99
0.496,0.28,-0.96
0.512,0.37,-0.93
0.52,0.46,-0.89
0.528,0.55,-0.84
0.536,0.63,-0.78
0.544,0.63,-0.78
0.552,0.7,-0.71
0.56,0.77,-0.64
0.568,0.83,-0.56
0.576,0.88,-0.47
0.584,0.88,-0.47
0.592,0.92,-0.38
0.6,0.96,-0.28
0.608,0.98,-0.19
0.616,0.99,-0.09
0.624,0.99,-0.09
0.632,0.99,0.01
0.64,0.99,0.11
0.648,0.97,0.21
0.656,0.95,0.31
0.664,0.95,0.31
0.672,0.91,0.4
0.68,0.86,0.49
0.688,0.81,0.57
0.696,0.75,0.65
0.704,0.75,0.65
0.712,0.68,0.72
0.72,0.6,0.79
0.728,0.52,0.85
0.736,0.43,0.89
0.744,0.43,0.89
0.752,0.34,0.93
0.76,0.25,0.96
0.768,0.15,0.98
0.776,0.05,0.99
0.784,0.05,0.99
0.792,-0.05,0.99
0.8,-0.15,0.98
0.808,-0.25,0.96
0.816,-0.34,0.94
0.824,-0.34,0.94
0.832,-0.44,0.9
0.84,-0.52,0.85
0.848,-0.61,0.79
0.856,-0.68,0.73
0.864,-0.68,0.73
0.872,-0.75,0.66
0.88,-0.82,0.58
0.888,-0.87,0.5
0.896,-0.92,0.41
0.904,-0.92,0.41
0.912,-0.95,0.31
0.92,-0.98,0.22
0.928,-1,0.12
0.936,-1,0.02
0.944,-1,0.02
0.952,-1,-0.08
0.96,-0.99,-0.18
0.968,-0.97,-0.28
0.976,-0.94,-0.37
0.984,-0.94,-0.37
0.992,-0.89,-0.46
1.008,-0.79,-0.63
1.016,-0.72,-0.7
1.024,-0.72,-0.7
1.032,-0.65,-0.77
1.04,-0.57,-0.83
1.048,-0.48,-0.88
1.056,-0.39,-0.93
1.064,-0.39,-0.93
1.072,-0.3,-0.96
1.08,-0.2,-0.99
1.088,-0.1,-1
1.096,0,-1
1.104,0,-1
1.112,0.1,-1
1.12,0.2,-0.98
1.128,0.29,-0.96
1.136,0.39,-0.92
1.144,0.39,-0.92
1.152,0.48,-0.88
1.16,0.56,-0.83
1.168,0.64,-0.77
1.176,0.72,-0.7
1.184,0.72,-0.7
1.192,0.78,-0.62
1.2,0.84,-0.54
1.208,0.89,-0.45
1.216,0.93,-0.36
1.224,0.93,-0.36
1.232,0.96,-0.27
1.24,0.98,-0.17
1.248,0.99,-0.07
1.256,0.99,0.03
1.264,0.99,0.03
1.272,0.99,0.13
1.28,0.97,0.23
1.288,0.94,0.32
1.296,0.9,0.42
1.304,0.9,0.42
1.312,0.86,0.5
1.32,0.8,0.59
1.328,0.74,0.66
1.336,0.67,0.74
1.344,0.67,0.74
1.352,0.59,0.8
1.36,0.51,0.85
1.368,0.42,0.9
1.376,0.33,0.94
1.384,0.33,0.94
1.392,0.23,0.97
1.4,0.13,0.99
1.408,0.03,0.99
1.416,-0.07,0.99
1.424,-0.07,0.99
1.432,-0.17,0.98
1.44,-0.26,0.96
1.448,-0.36,0.93
1.456,-0.45,0.89
1.464,-0.45,0.89
1.472,-0.54,0.84
1.48,-0.62,0.78
1.488,-0.7,0.72
1.496,-0.76,0.65
1.504,-0.76,0.65
1.512,-0.83,0.57
1.52,-0.88,0.48
1.528,-0.92,0.39
1.536,-0.96,0.3
1.544,-0.96,0.3
1.552,-0.98,0.2
1.56,-1,0.1
1.568,-1,0
1.576,-1,-0.1
1.584,-1,-0.1
1.592,-0.99,-0.2
1.6,-0.96,-0.29
1.608,-0.93,-0.39
1.616,-0.89,-0.48
1.624,-0.89,-0.48
1.632,-0.83,-0.56
1.64,-0.77,-0.64
1.648,-0.71,-0.72
1.656,-0.63,-0.78
1.664,-0.63,-0.78
1.672,-0.55,-0.84
1.68,-0.47,-0.89
1.688,-0.37,-0.93
1.696,-0.28,-0.97
1.704,-0.28,-0.97
1.712,-0.18,-0.99
1.72,-0.08,-1
1.728,0.02,-1
1.736,0.12,-1
1.744,0.12,-1
1.752,0.21,-0.98
1.76,0.31,-0.95
1.768,0.4,-0.92
1.776,0.49,-0.87
1.784,0.49,-0.87
1.792,0.58,-0.82
1.8,0.66,-0.76
1.808,0.73,-0.69
1.816,0.79,-0.61
1.824,0.79,-0.61
1.832,0.85,-0.53
