"time","axis1_w"
0,0
0.001,-1.26759E-08
0.002,4.27037E-06
0.003,5.62745E-05
0.004,0.00020598
0.005,0.00055154
0.006,0.00116621
0.007,0.0021847
0.008,0.00366036
0.009,0.00564228
0.01,0.00817378
0.011,0.0112918
0.012,0.0150269
0.013,0.0194032
0.014,0.0244388
0.015,0.0301465
0.016,0.0365337
0.017,0.0436033
0.018,0.0513542
0.019,0.0597816
0.02,0.0688774
0.021,0.0786311
0.022,0.0890293
0.023,0.100057
0.024,0.111698
0.025,0.123934
0.026,0.136745
0.027,0.150112
0.028,0.164013
0.029,0.178428
0.03,0.193334
0.031,0.20871
0.032,0.224534
0.033,0.240783
0.034,0.257436
0.035,0.27447
0.036,0.291864
0.037,0.309597
0.038,0.327646
0.039,0.345991
0.04,0.364612
0.041,0.383487
0.042,0.402598
0.043,0.421924
0.044,0.441446
0.045,0.461146
0.046,0.481005
0.047,0.501007
0.048,0.521133
0.049,0.541367
0.05,0.561693
0.051,0.582096
0.052,0.602561
0.053,0.623073
0.054,0.643619
0.055,0.664186
0.056,0.684761
0.057,0.705333
0.058,0.72589
0.059,0.746423
0.06,0.76692
0.061,0.787372
0.062,0.807772
0.063,0.82811
0.064,0.84838
0.065,0.868573
0.066,0.888685
0.067,0.908709
0.068,0.928639
0.069,0.94847
0.07,0.968199
0.071,0.987821
0.072,1.00733
0.073,1.02673
0.074,1.04601
0.075,1.06518
0.076,1.08422
0.077,1.10314
0.078,1.12194
0.079,1.14061
0.08,1.15916
0.081,1.17758
0.082,1.19587
0.083,1.21404
0.084,1.23208
0.085,1.25
0.086,1.26779
0.087,1.28545
0.088,1.303
0.089,1.32042
0.09,1.33772
0.091,1.3549
0.092,1.37197
0.093,1.38891
0.094,1.40575
0.095,1.42247
0.096,1.43908
0.097,1.45559
0.098,1.47199
0.099,1.48829
0.1,1.50448
0.101,1.52058
0.102,1.53659
0.103,1.5525
0.104,1.56832
0.105,1.58405
0.106,1.5997
0.107,1.61527
0.108,1.63076
0.109,1.64618
0.11,1.66152
0.111,1.67679
0.112,1.69199
0.113,1.70713
0.114,1.72221
0.115,1.73723
0.116,1.75219
0.117,1.7671
0.118,1.78196
0.119,1.79676
0.12,1.81142
0.121,1.82587
0.122,1.84003
0.123,1.85383
0.124,1.86721
0.125,1.8801
0.126,1.89243
0.127,1.90417
0.128,1.91526
0.129,1.92567
0.13,1.93538
0.131,1.94435
0.132,1.95258
0.133,1.96004
0.134,1.96675
0.135,1.97269
0.136,1.97786
0.137,1.98228
0.138,1.98595
0.139,1.98889
0.14,1.99111
0.141,1.99263
0.142,1.99346
0.143,1.99364
0.144,1.99318
0.145,1.9921
0.146,1.99043
0.147,1.98819
0.148,1.98542
0.149,1.98214
0.15,1.97838
0.151,1.97416
0.152,1.96951
0.153,1.96447
0.154,1.95906
0.155,1.95332
0.156,1.94726
0.157,1.94092
0.158,1.93433
0.159,1.92751
0.16,1.9205
0.161,1.91331
0.162,1.90599
0.163,1.89854
0.164,1.89101
0.165,1.88341
0.166,1.87576
0.167,1.86809
0.168,1.86042
0.169,1.85277
0.17,1.84515
0.171,1.8376
0.172,1.83012
0.173,1.82273
0.174,1.81545
0.175,1.80828
0.176,1.80125
0.177,1.79436
0.178,1.78763
0.179,1.78106
0.18,1.77466
0.181,1.76844
0.182,1.7624
0.183,1.75656
0.184,1.75091
0.185,1.74546
0.186,1.74021
0.187,1.73517
0.188,1.73032
0.189,1.72569
0.19,1.72126
0.191,1.71703
0.192,1.713
0.193,1.70918
0.194,1.70555
0.195,1.70212
0.196,1.69889
0.197,1.69584
0.198,1.69297
0.199,1.69029
0.2,1.68778
0.201,1.68544
0.202,1.68326
0.203,1.68125
0.204,1.67939
0.205,1.67768
0.206,1.67611
0.207,1.67468
0.208,1.67338
0.209,1.6722
0.21,1.67114
0.211,1.6702
0.212,1.66937
0.213,1.66863
0.214,1.66799
0.215,1.66744
0.216,1.66698
0.217,1.66659
0.218,1.66628
0.219,1.66603
0.22,1.66585
0.221,1.66572
0.222,1.66565
0.223,1.66563
0.224,1.66565
0.225,1.66572
0.226,1.66582
0.227,1.66595
0.228,1.66611
0.229,1.66629
0.23,1.6665
0.231,1.66673
0.232,1.66697
0.233,1.66723
0.234,1.6675
0.235,1.66778
0.236,1.66806
0.237,1.66835
0.238,1.66865
0.239,1.66894
0.24,1.66924
0.241,1.66954
0.242,1.66983
0.243,1.67012
0.244,1.67041
0.245,1.67069
0.246,1.67097
0.247,1.67124
0.248,1.67151
0.249,1.67177
0.25,1.67202
0.251,1.67227
0.252,1.6725
0.253,1.67274
0.254,1.67296
0.255,1.67317
0.256,1.67338
0.257,1.67359
0.258,1.67378
0.259,1.67397
0.26,1.67415
0.261,1.67432
0.262,1.67449
0.263,1.67465
0.264,1.67481
0.265,1.67496
0.266,1.67511
0.267,1.67525
0.268,1.67538
0.269,1.67551
0.27,1.67564
0.271,1.67577
0.272,1.67588
0.273,1.676
0.274,1.67611
0.275,1.67622
0.276,1.67633
0.277,1.67643
0.278,1.67653
0.279,1.67663
0.28,1.67673
0.281,1.67682
0.282,1.67691
0.283,1.677
0.284,1.67709
0.285,1.67717
0.286,1.67725
0.287,1.67733
0.288,1.67741
0.289,1.67749
0.29,1.67756
0.291,1.67764
0.292,1.67771
0.293,1.67777
0.294,1.67784
0.295,1.6779
0.296,1.67796
0.297,1.67802
0.298,1.67808
0.299,1.67813
0.3,1.67819
0.301,1.67824
0.302,1.67828
0.303,1.67833
0.304,1.67837
0.305,1.67841
0.306,1.67845
0.307,1.67849
0.308,1.67852
0.309,1.67855
0.31,1.67858
0.311,1.6786
0.312,1.67863
0.313,1.67865
0.314,1.67867
0.315,1.67868
0.316,1.6787
0.317,1.67871
0.318,1.67872
0.319,1.67873
0.32,1.67874
0.321,1.67874
0.322,1.67874
0.323,1.67875
0.324,1.67874
0.325,1.67874
0.326,1.67874
0.327,1.67873
0.328,1.67873
0.329,1.67872
0.33,1.67871
0.331,1.6787
0.332,1.67869
0.333,1.67868
0.334,1.67867
0.335,1.67865
0.336,1.67864
0.337,1.67863
0.338,1.67861
0.339,1.6786
0.34,1.67858
0.341,1.67857
0.342,1.67855
0.343,1.67854
0.344,1.67852
0.345,1.6785
0.346,1.67849
0.347,1.67847
0.348,1.67846
0.349,1.67844
0.35,1.67843
0.351,1.67841
0.352,1.6784
0.353,1.67839
0.354,1.67837
0.355,1.67836
0.356,1.67835
0.357,1.67834
0.358,1.67832
0.359,1.67831
0.36,1.6783
0.361,1.67829
0.362,1.67828
0.363,1.67828
0.364,1.67827
0.365,1.67826
0.366,1.67825
0.367,1.67825
0.368,1.67824
0.369,1.67823
0.37,1.67823
0.371,1.67822
0.372,1.67822
0.373,1.67822
0.374,1.67821
0.375,1.67821
0.376,1.67821
0.377,1.67821
0.378,1.67821
0.379,1.67821
0.38,1.67821
0.381,1.67821
0.382,1.67821
0.383,1.67821
0.384,1.67821
0.385,1.67822
0.386,1.67822
0.387,1.67822
