"Time","FMU"
0,293.14999999999998
0.049398520771794387,293.64229014450467
0.29639112463076633,296.05371606070668
0.41153418198109487,297.15000000239996
0.41153418198113839,297.15000000240036
0.62642446362431892,299.15000000259971
0.62642446362437576,299.15000000260022
0.62642447229142451,299.14999999740002
0.62642447229149145,299.14999999739996
1.9999999999999432,298.37995118009712
2,298.37995118009707
2.2626499097742299,298.24437462155021
2.262649909774368,298.24437462155009
2.2626499107531437,298.24437463064748
2.2626499107532663,298.24437463064862
2.6732515326386874,301.9552147222081
2.67325153263881,301.95521472220918
2.6732515337802409,301.95521472120413
2.6732515337803759,301.95521472120402
3.0708709940405523,301.61196247232323
3.0708709940407468,301.61196247232306
3.0708709952607762,301.61196248309909
3.0708709952609228,301.6119624831004
3.5256537898426448,305.50689079424637
3.5256537898427913,305.50689079424762
3.5256537910407362,305.50689079276736
3.525653791040896,305.50689079276714
3.8974222722478662,305.05592613117551
3.8974222722480776,305.05592613117523
3.8974222737688948,305.05592614389428
3.8974222737690662,305.05592614389576
4.4084182324731929,309.18507597224146
4.4084182324733634,309.18507597224277
4.4084182337224203,309.18507597023989
4.4084182337226068,309.18507597023961
4.7566928776224007,308.63622031987865
4.756692877622628,308.6362203198783
4.7566928795345991,308.63622033494238
4.7566928795347962,308.63622033494397
5.3432857188515479,313.08035716587415
5.3432857188517451,313.08035716587563
5.3432857201481925,313.08035716329175
5.3432857201484056,313.08035716329135
5.6696811766781936,312.44033823223009
5.669681176678421,312.44033823222964
5.6696811791337334,312.44033825031954
5.6696811791339607,312.44033825032125
6.3668728791673832,317.34530366761663
6.3668728791676106,317.34530366761817
6.3668728805097103,317.34530366437093
6.3668728805099377,317.34530366437036
6.6722336247141323,316.61764009862947
6.6722336247143597,316.61764009862895
6.6722336280029015,316.61764012102549
6.6722336280031289,316.61764012102702
7.5572522555541841,322.30521773639117
7.5572522555544115,322.30521773639254
7.55725225694259,322.30521773234528
7.5572522569428173,322.3052177323446
7.8412959262258699,321.48873302110724
7.8412959262260973,321.48873302110661
7.8412959310625014,321.48873305092758
7.8412959310627288,321.488733050929
7.9999999999997726,322.45713758166613
8,322.4571375816675
8.2856407541370949,324.15000000509997
8.2856407541373791,324.15000000510162
8.2856407574282294,324.14999999489999
8.2856407574285136,324.14999999489908
8.9525539371931924,322.14999999510025
8.9525539371934766,322.14999999509945
8.9525539388055702,322.15000000489914
8.9525539388058544,322.15000000490085
9.2888905408098807,324.15000000509997
9.288890540810165,324.15000000510162
9.2888905441010117,324.14999999489999
9.2888905441012959,324.14999999489913
9.9558043142801651,322.14999999510036
9.9558043142804493,322.14999999509956
9.9558043158925198,322.15000000489908
9.955804315892804,322.15000000490085
10,322.41787949557732
