"time","y","z"
0,10,0
0.02,9.99824,-0.196
0.04,9.99255,-0.392
0.06,9.98295,-0.588
0.09,9.96119,-0.882
0.12,9.93062,-1.176
0.14,9.90533,-1.372
0.16,9.87613,-1.568
0.18,9.843,-1.764
0.2,9.80596,-1.96
0.22,9.765,-2.156
0.24,9.72011,-2.352
0.27,9.64544,-2.646
0.29,9.59075,-2.842
0.31,9.53215,-3.038
0.33,9.46962,-3.234
0.35,9.40318,-3.43
0.37,9.33282,-3.626
0.39,9.25853,-3.822
0.41,9.18033,-4.018
0.43,9.0982,-4.214
0.45,9.01216,-4.41
0.47,8.9222,-4.606
0.49,8.82831,-4.802
0.52,8.68014,-5.096
0.54,8.57645,-5.292
0.56,8.46885,-5.488
0.58,8.35732,-5.684
0.6,8.24188,-5.88
0.62,8.12252,-6.076
0.64,7.99923,-6.272
0.66,7.87203,-6.468
0.68,7.7409,-6.664
0.7,7.60586,-6.86
0.72,7.4669,-7.056
0.74,7.32401,-7.252
0.76,7.17721,-7.448
0.78,7.02648,-7.644
0.8,6.87184,-7.84
0.82,6.71328,-8.036
0.84,6.55079,-8.232
0.86,6.38439,-8.428
0.88,6.21406,-8.624
0.9,6.03982,-8.82
0.92,5.86166,-9.016
0.94,5.67957,-9.212
0.96,5.49357,-9.408
0.98,5.30364,-9.604
1,5.1098,-9.8
1.02,4.91204,-9.996
1.04,4.71035,-10.192
1.06,4.50475,-10.388
1.08,4.29522,-10.584
1.1,4.08178,-10.78
1.12,3.86442,-10.976
1.14,3.64313,-11.172
1.16,3.41793,-11.368
1.18,3.1888,-11.564
1.2,2.95576,-11.76
1.22,2.7188,-11.956
1.24,2.47791,-12.152
1.26,2.23311,-12.348
1.28,1.98438,-12.544
1.3,1.73174,-12.74
1.32,1.47518,-12.936
1.34,1.21469,-13.132
1.36,0.950288,-13.328
1.38,0.681964,-13.524
1.4,0.40972,-13.72
1.42,0.133556,-13.916
1.44,0.098717,10.4125
1.46,0.305203,10.2165
1.48,0.507769,10.0205
1.5,0.706415,9.8245
1.52,0.901141,9.6285
1.54,1.09195,9.4325
1.56,1.27883,9.2365
1.58,1.4618,9.0405
1.6,1.64085,8.8445
1.62,1.81597,8.6485
1.64,1.98718,8.4525
1.66,2.15446,8.2565
1.68,2.31783,8.0605
1.7,2.47728,7.8645
1.72,2.6328,7.6685
1.74,2.78441,7.4725
1.76,2.93209,7.2765
1.78,3.07586,7.0805
1.8,3.21571,6.8845
1.82,3.35163,6.6885
1.84,3.48364,6.4925
1.86,3.61172,6.2965
1.88,3.73589,6.1005
1.9,3.85614,5.9045
1.92,3.97246,5.7085
1.94,4.08487,5.5125
1.96,4.19335,5.3165
1.98,4.29792,5.1205
2.01,4.44742,4.8265
2.04,4.5881,4.5325
2.07,4.71996,4.2385
2.1,4.843,3.9445
2.13,4.95721,3.6505
2.16,5.06261,3.3565
2.19,5.15919,3.0625
2.22,5.24695,2.7685
2.25,5.32589,2.4745
2.28,5.39601,2.1805
2.31,5.45731,1.8865
2.34,5.50979,1.5925
2.37,5.55345,1.2985
2.4,5.58829,1.0045
2.43,5.6143,0.7105
2.46,5.6315,0.4165
2.49,5.63988,0.1225
2.52,5.63944,-0.1715
2.55,5.63018,-0.4655
2.58,5.6121,-0.7595
2.61,5.5852,-1.0535
2.64,5.54948,-1.3475
2.67,5.50494,-1.6415
2.7,5.45158,-1.9355
2.73,5.38939,-2.2295
2.76,5.31839,-2.5235
2.79,5.23857,-2.8175
2.82,5.14993,-3.1115
2.85,5.05247,-3.4055
2.88,4.94619,-3.6995
2.91,4.83109,-3.9935
2.94,4.70717,-4.2875
2.97,4.57443,-4.5815
3,4.43287,-4.8755
3.03,4.28248,-5.1695
3.06,4.12328,-5.4635
3.09,3.95526,-5.7575
3.12,3.77842,-6.0515
3.15,3.59276,-6.3455
3.18,3.39828,-6.6395
3.21,3.19498,-6.9335
3.24,2.98286,-7.2275
3.27,2.76192,-7.5215
3.3,2.53216,-7.8155
3.33,2.29357,-8.1095
3.36,2.04617,-8.4035
3.39,1.78995,-8.6975
3.42,1.52491,-8.9915
3.45,1.25105,-9.2855
3.48,0.968369,-9.5795
3.51,0.676868,-9.8735
3.54,0.376547,-10.1675
3.57,0.067406,-10.4615
3.6,0.155231,7.68932
3.63,0.381795,7.39532
3.66,0.599539,7.10132
3.69,0.808462,6.80732
3.72,1.00857,6.51332
3.75,1.19985,6.21932
3.78,1.38231,5.92532
3.81,1.55596,5.63132
3.84,1.72078,5.33732
3.87,1.87678,5.04333
3.9,2.02397,4.74933
3.93,2.16233,4.45533
3.96,2.29188,4.16133
3.99,2.4126,3.86733
4.01,2.48818,3.67133
4.04,2.59421,3.37733
4.07,2.69141,3.08333
4.1,2.77979,2.78933
4.13,2.85936,2.49533
4.16,2.9301,2.20133
4.19,2.99202,1.90733
4.22,3.04513,1.61333
4.25,3.08941,1.31933
4.28,3.12488,1.02533
4.31,3.15152,0.731325
4.34,3.16934,0.437325
4.37,3.17835,0.143325
4.4,3.17853,-0.150675
4.43,3.16989,-0.444675
4.46,3.15244,-0.738675
4.49,3.12616,-1.03267
4.52,3.09107,-1.32667
4.55,3.04715,-1.62067
4.58,2.99441,-1.91467
4.61,2.93286,-2.20867
4.64,2.86248,-2.50267
4.67,2.78328,-2.79667
4.7,2.69527,-3.09067
4.73,2.59843,-3.38467
4.76,2.49278,-3.67867
4.79,2.3783,-3.97267
4.82,2.255,-4.26667
4.85,2.12289,-4.56067
4.88,1.98195,-4.85467
4.91,1.83219,-5.14867
4.94,1.67362,-5.44267
4.97,1.50622,-5.73667
5,1.33001,-6.03067
5.03,1.14497,-6.32467
5.06,0.951114,-6.61867
5.09,0.748437,-6.91267
5.12,0.536941,-7.20667
5.15,0.316625,-7.50067
5.18,0.0874887,-7.79467
5.21,0.0987691,5.75781
5.24,0.267387,5.46381
5.27,0.427185,5.16981
5.3,0.578164,4.87581
5.33,0.720322,4.58181
5.36,0.85366,4.28781
5.39,0.978178,3.99381
5.42,1.09388,3.69981
5.45,1.20075,3.40581
5.48,1.29881,3.11181
5.51,1.38805,2.81781
5.54,1.46847,2.52381
5.57,1.54007,2.22981
5.6,1.60285,1.93581
5.63,1.6568,1.64181
5.66,1.70194,1.34781
5.69,1.73826,1.05381
5.72,1.76576,0.759806
5.75,1.78444,0.465806
5.78,1.79429,0.171806
5.81,1.79533,-0.122194
5.84,1.78755,-0.416194
5.87,1.77095,-0.710194
5.9,1.74553,-1.00419
5.93,1.71129,-1.29819
5.96,1.66822,-1.59219
5.99,1.61634,-1.88619
6.02,1.55564,-2.18019
6.05,1.48612,-2.47419
6.08,1.40778,-2.76819
6.11,1.32061,-3.06219
6.14,1.22463,-3.35619
6.17,1.11983,-3.65019
6.2,1.00621,-3.94419
6.23,0.883767,-4.23819
6.26,0.752506,-4.53219
6.29,0.612424,-4.82619
6.32,0.463522,-5.12019
6.35,0.3058,-5.41419
6.38,0.139258,-5.70819
6.41,0.0263022,4.39875
6.44,0.154149,4.10475
6.47,0.273175,3.81075
6.5,0.383381,3.51675
6.53,0.484768,3.22275
6.56,0.577334,2.92875
6.59,0.66108,2.63475
6.62,0.736007,2.34075
6.65,0.802113,2.04675
6.68,0.859399,1.75275
6.71,0.907866,1.45875
6.74,0.947512,1.16475
6.77,0.978339,0.870745
6.8,1.00034,0.576745
6.83,1.01353,0.282745
6.86,1.0179,-0.0112547
6.89,1.01344,-0.305255
6.92,1.00017,-0.599255
6.95,0.978077,-0.893255
6.98,0.947163,-1.18725
7.01,0.907429,-1.48125
7.04,0.858876,-1.77525
7.07,0.801502,-2.06925
7.1,0.735308,-2.36325
7.13,0.660295,-2.65725
7.16,0.576461,-2.95125
7.19,0.483808,-3.24525
7.22,0.382334,-3.53925
7.25,0.27204,-3.83325
7.28,0.152927,-4.12725
7.31,0.024993,-4.42125
7.34,0.0764016,3.12484
7.37,0.166031,2.83084
7.4,0.24684,2.53684
7.43,0.318829,2.24284
7.46,0.381999,1.94884
7.49,0.436348,1.65484
7.52,0.481877,1.36084
7.55,0.518586,1.06684
7.58,0.546475,0.772841
7.61,0.565545,0.478841
7.64,0.575794,0.184841
7.67,0.577223,-0.109159
7.7,0.569832,-0.403159
7.73,0.553622,-0.697159
7.76,0.528591,-0.991159
7.79,0.49474,-1.28516
7.82,0.452069,-1.57916
7.85,0.400579,-1.87316
7.88,0.340268,-2.16716
7.91,0.271137,-2.46116
7.94,0.193186,-2.75516
7.97,0.106415,-3.04916
8,0.0108247,-3.34316
8.03,0.0603113,2.28197
8.06,0.124654,1.98797
8.09,0.180177,1.69397
8.12,0.226881,1.39997
8.15,0.264764,1.10597
8.18,0.293827,0.811969
8.21,0.31407,0.517969
8.24,0.325493,0.223969
8.27,0.328096,-0.0700308
8.3,0.321879,-0.364031
8.33,0.306842,-0.658031
8.36,0.282985,-0.952031
8.39,0.250308,-1.24603
8.42,0.208811,-1.54003
8.45,0.158494,-1.83403
8.48,0.0993574,-2.12803
8.51,0.0314005,-2.42203
8.54,0.026282,1.76262
8.57,0.0750447,1.46862
8.6,0.114987,1.17462
8.63,0.14611,0.880623
8.66,0.168413,0.586623
8.69,0.181896,0.292623
8.72,0.186558,-0.00137693
8.75,0.182401,-0.295377
8.78,0.169424,-0.589377
8.81,0.147626,-0.883377
8.84,0.117009,-1.17738
8.87,0.0775717,-1.47138
8.9,0.0293143,-1.76538
8.93,0.0193304,1.30443
8.96,0.0543474,1.01043
8.99,0.0805443,0.716433
9.02,0.0979213,0.422433
9.05,0.106478,0.128433
9.08,0.106215,-0.165567
9.11,0.0971323,-0.459567
9.14,0.0792292,-0.753567
9.17,0.0525062,-1.04757
9.2,0.0169632,-1.34157
9.23,0.0140057,0.952275
9.26,0.0384579,0.658275
9.29,0.0540902,0.364275
9.32,0.0609025,0.0702755
9.35,0.0588947,-0.223725
9.38,0.048067,-0.517725
9.41,0.0284193,-0.811725
9.44,-4.84819e-05,0.829293
9.47,0.0207143,0.535293
9.5,0.0326571,0.241293
9.53,0.0357799,-0.0527066
9.56,0.0300827,-0.346707
9.59,0.0155655,-0.640707
9.62,0.00421662,0.56383
9.65,0.0170155,0.26983
