"time","axlePosition","speedVal2","RUN1_0rotation","RUN1_0cycleEnd"
0,0,0,0,1
0.024162,0,0,0,1
0.048324,0,0,0,1
0.05,0,0,0,1
0.05,0,0,0,1
0.072486,0,0,0,1
0.096648,0,0,0,1
0.1,0,0,0,1
0.1,0,0,0,1
0.12081,0,0,0,1
0.144972,0,0,0,1
0.15,0,0,0,1
0.15,0,0,0,1
0.169134,0,0,0,1
0.193296,0,0,0,1
0.2,0,0,0,1
0.2,0,0,0,1
0.217458,0,0,0,1
0.24162,0,0,0,1
0.25,0,0,0,1
0.25,0,0,0,1
0.265782,0,0,0,1
0.289944,0,0,0,1
0.3,0,0,0,1
0.3,0,0,0,1
0.314106,0,0,0,1
0.338268,0,0,0,1
0.35,0,0,0,1
0.35,0,0,0,1
0.36243,0,0,0,1
0.386592,0,0,0,1
0.4,0,0,0,1
0.4,0,0,0,1
0.410754,0,0,0,1
0.434916,0,0,0,1
0.45,0,0,0,1
0.45,0,0,0,1
0.459078,0,0,0,1
0.48324,0,0,0,1
0.5,0,0,0,1
0.5,0,0,0,1
0.507402,0,0,0,1
0.531564,0,0,0,1
0.55,0,0,0,1
0.55,0,0,0,1
0.555726,0,0,0,1
0.579888,0,0,0,1
0.6,0,0,0,1
0.6,0,0,0,1
0.60405,0,0,0,1
0.628212,0,0,0,1
0.65,0,0,0,1
0.65,0,0,0,1
0.652374,0,0,0,1
0.676536,0,0,0,1
0.7,0,0,0,1
0.7,0,0,0,1
0.700698,0,0,0,1
0.72486,0,0,0,1
0.749022,0,0,0,1
0.75,0,0,0,1
0.75,0,0,0,1
0.773184,0,0,0,1
0.797346,0,0,0,1
0.8,0,0,0,1
0.8,0,0,0,1
0.821508,0,0,0,1
0.84567,0,0,0,1
0.85,0,0,0,1
0.85,0,0,0,1
0.869832,0,0,0,1
0.893994,0,0,0,1
0.9,0,0,0,1
0.9,0,0,0,1
0.918156,0,0,0,1
0.942318,0,0,0,1
0.95,0,0,0,1
0.95,0,0,0,1
0.96648,0,0,0,1
0.990642,0,0,0,1
1,0,0,0,1
1,0,0,0,1
1.0148,0,0,0,1
1.03897,0,0,0,1
1.05,0,0,0,1
1.05,0,0,0,1
1.06313,0,0,0,1
1.08729,0,0,0,1
1.1,0,0,0,1
1.1,0,0,0,1
1.11145,0,0,0,1
