time,x0,der(x0),x1,der(x1),mu
0.0,2.0,0.0,0.0,-2.0,1
0.1,1.9910626712,-0.173065072512,-0.173065072512,-1.47804058777,1
0.2,1.96737197794,-0.302198396016,-0.302198396016,-1.09989561689,1
0.3,1.93243625395,-0.399785806195,-0.399785806195,-0.839297975956,1
0.4,1.888670162,-0.475154529948,-0.475154529948,-0.668912856146,1
0.5,1.83793391614,-0.536095717947,-0.536095717947,-0.563097719825,1
0.6,1.78150077978,-0.588571604734,-0.588571604734,-0.502096180155,1
0.7,1.72008321301,-0.636722952902,-0.636722952902,-0.472942713944,1
0.8,1.65398421895,-0.683387066424,-0.683387066424,-0.467854028731,1
0.9,1.58323340148,-0.730668612332,-0.730668612332,-0.482387608817,1
1.0,1.50766455123,-0.780332697508,-0.780332697508,-0.514260138617,1
1.1,1.42694658482,-0.834028856293,-0.834028856293,-0.562745436962,1
1.2,1.34058822793,-0.893423102309,-0.893423102309,-0.628372060988,1
1.3,1.24792908198,-0.960296733374,-0.960296733374,-0.712729790554,1
1.4,1.14812200762,-1.03663418359,-1.03663418359,-0.818281446882,1
1.5,1.04010848944,-1.12469578542,-1.12469578542,-0.948079503467,1
1.6,0.922589176509,-1.22705327299,-1.22705327299,-1.10521054746,1
1.7,0.793995161145,-1.34654335802,-1.34654335802,-1.29163945765,1
1.8,0.652472274094,-1.48605379313,-1.48605379313,-1.50588314468,1
1.9,0.495902871469,-1.64798541707,-1.64798541707,-1.7386162785,1
2.0,0.322010310514,-1.83313021039,-1.83313021039,-1.96506207604,1
2.1,0.128622027872,-2.0386033127,-2.0386033127,-2.1334994497,1
2.2,-0.0857996689222,-2.25450968024,-2.25450968024,-2.15211325076,1
2.3,-0.32118692699,-2.45847421076,-2.45847421076,-1.88366852229,1
2.4,-0.574574245262,-2.61398848017,-2.61398848017,-1.1764436755,1
2.5,-0.838937998296,-2.67510761931,-2.67510761931,0.0466165046179,1
2.6,-1.1026097484,-2.59436269417,-2.59436269417,1.66233897842,1
2.7,-1.35045359023,-2.34884585911,-2.34884585911,3.28525640918,1
2.8,-1.56723032464,-1.96163447663,-1.96163447663,4.42378381266,1
2.9,-1.74177143539,-1.4970046017,-1.4970046017,4.78633109067,1
3.0,-1.8696218869,-1.03020110044,-1.03020110044,4.4404743102,1
3.1,-1.9529214641,-0.617374016772,-0.617374016772,3.69015159585,1
3.2,-1.99820022691,-0.284450422622,-0.284450422622,2.8495046313,1
3.3,-2.01363612298,-0.0324044523945,-0.0324044523945,2.11262298996,1
3.4,-2.00719215719,0.150353638881,0.150353638881,1.55179799517,1
3.5,-1.98490325491,0.283305922143,0.283305922143,1.1520289089,1
3.6,-1.95099264508,0.382396469235,0.382396469235,0.877845785757,1
3.7,-1.9084187867,0.459135553306,0.459135553306,0.695354066596,1
3.8,-1.8590470232,0.521489349064,0.521489349064,0.57824006482,1
3.9,-1.80400903685,0.57493870358,0.57493870358,0.507839278587,1
4.0,-1.74396005865,0.623360637742,0.623360637742,0.471433718472,1
4.1,-1.67922966164,0.66961248754,0.66961248754,0.460660649689,1
4.2,-1.60990561301,0.715916186939,0.715916186939,0.470313031023,1
4.3,-1.53588020762,0.76411985491,0.76411985491,0.497496332134,1
4.4,-1.45687457163,0.815887092292,0.815887092292,0.541054758415,1
4.5,-1.37244779562,0.872843158427,0.872843158427,0.601192276033,1
4.6,-1.28199392704,0.936693990321,0.936693990321,0.679223448903,1
4.7,-1.18472856366,1.00932578193,1.00932578193,0.777383078527,1
4.8,-1.07966666209,1.09288518476,1.09288518476,0.898597334053,1
4.9,-0.965593948505,1.18982877519,1.18982877519,1.04606007752,1
5.0,-0.841036551799,1.30291028642,1.30291028642,1.2223430431,1
5.0,-0.841036551799,1.30291028642,1.30291028642,1.2223430431,1
5.0,-0.841036551799,1.30291028642,1.30291028642,1.2223430431,1
