"time","step-size","csv.i.onOffController.reference","source.i.TRes"
0.0,0.0,25.0,293.15
0.001,0.001,25.0,293.1599990674098
0.002,0.001,25.0,293.16999626368016
0.003,0.001,25.0,293.1799920684567
0.004,0.001,25.0,293.18998648196214
0.005,0.001,25.0,293.1999795044226
0.006,0.001,25.0,293.20997113606415
0.007,0.001,25.0,293.2199613771076
0.008,0.001,25.0,293.22995022777724
0.009000000000000001,0.001,25.0,293.2399376882991
0.010000000000000002,0.001,25.0,293.24992375889576
0.011000000000000003,0.001,25.0,293.2599084397896
0.012000000000000004,0.001,25.0,293.2698917312085
0.013000000000000005,0.001,25.0,293.27987363337644
0.014000000000000005,0.001,25.0,293.2898541465142
0.015000000000000006,0.001,25.0,293.29983327084756
0.016000000000000007,0.001,25.0,293.3098110066008
0.017000000000000008,0.001,25.0,293.3197873539944
0.01800000000000001,0.001,25.0,293.32976231325415
0.01900000000000001,0.001,25.0,293.339735884606
0.02000000000000001,0.001,25.0,293.3497080682704
0.02100000000000001,0.001,25.0,293.3596788644731
0.022000000000000013,0.001,25.0,293.36964827343627
0.023000000000000013,0.001,25.0,293.37961629538216
0.024000000000000014,0.001,25.0,293.3895829305365
0.025000000000000015,0.001,25.0,293.3995481791232
0.026000000000000016,0.001,25.0,293.4095120413644
0.027000000000000017,0.001,25.0,293.4194745174822
0.028000000000000018,0.001,25.0,293.42943560770215
0.02900000000000002,0.001,25.0,293.4393953122464
0.03000000000000002,0.001,25.0,293.449353631337
0.03100000000000002,0.001,25.0,293.45931056519765
0.03200000000000002,0.001,25.0,293.469266114054
0.03300000000000002,0.001,25.0,293.4792202781261
0.03400000000000002,0.001,25.0,293.489173057636
0.035000000000000024,0.001,25.0,293.49912445281086
0.036000000000000025,0.001,25.0,293.5090744638709
0.037000000000000026,0.001,25.0,293.51902309103974
0.03800000000000003,0.001,25.0,293.52897033453746
0.03900000000000003,0.001,25.0,293.53891619458943
0.04000000000000003,0.001,25.0,293.54886067141746
0.04100000000000003,0.001,25.0,293.55880376524516
0.04200000000000003,0.001,25.0,293.5687454762943
0.04300000000000003,0.001,25.0,293.57868580478834
0.04400000000000003,0.001,25.0,293.588624750949
0.04500000000000003,0.001,25.0,293.59856231499805
0.046000000000000034,0.001,25.0,293.6084984971589
0.047000000000000035,0.001,25.0,293.61843329765145
0.048000000000000036,0.001,25.0,293.6283667167008
0.04900000000000004,0.001,25.0,293.63829875452865
0.05000000000000004,0.001,25.0,293.64822941135833
0.05100000000000004,0.001,25.0,293.6581586874114
0.05200000000000004,0.001,25.0,293.6680865829095
0.05300000000000004,0.001,25.0,293.67801309807226
0.05400000000000004,0.001,25.0,293.6879382331248
0.05500000000000004,0.001,25.0,293.6978619882903
0.05600000000000004,0.001,25.0,293.7077843637885
0.057000000000000044,0.001,25.0,293.71770535983904
0.058000000000000045,0.001,25.0,293.72762497666866
0.059000000000000045,0.001,25.0,293.7375432144952
0.060000000000000046,0.001,25.0,293.74746007354355
0.06100000000000005,0.001,25.0,293.7573755540315
