"time","TRes","heatCapacitor_T","switch_Controll"
0.193,295.054,21.9038,0
0.194,295.064,21.9136,0
0.195,295.073,21.9233,0
0.196,295.083,21.933,0
0.197,295.093,21.9427,0
0.198,295.102,21.9525,0
0.199,295.112,21.9622,0
0.2,295.122,21.9719,0
0.2,295.122,21.9719,0
0.2,295.122,21.9719,0
0.201,295.132,21.9816,0
0.202,295.141,21.9914,0
0.203,295.151,22.0011,0
0.204,295.161,22.0108,0
0.205,295.171,22.0205,0
0.206,295.18,22.0302,0
0.207,295.19,22.0399,0
0.208,295.2,22.0497,0
0.209,295.209,22.0594,0
0.21,295.219,22.0691,0
0.211,295.229,22.0788,0
0.212,295.238,22.0885,0
0.213,295.248,22.0982,0
0.214,295.258,22.1079,0
0.215,295.268,22.1176,0
0.216,295.277,22.1273,0
0.217,295.287,22.137,0
0.218,295.297,22.1467,0
0.219,295.306,22.1564,0
0.22,295.316,22.1661,0
0.22,295.316,22.1661,0
0.22,295.316,22.1661,0
0.221,295.326,22.1758,0
0.222,295.335,22.1855,0
0.223,295.345,22.1952,0
0.224,295.355,22.2049,0
0.225,295.365,22.2146,0
0.226,295.374,22.2243,0
0.227,295.384,22.2339,0
0.228,295.394,22.2436,0
0.229,295.403,22.2533,0
0.23,295.413,22.263,0
0.231,295.423,22.2727,0
0.232,295.432,22.2824,0
0.233,295.442,22.292,0
0.234,295.452,22.3017,0
0.235,295.461,22.3114,0
0.236,295.471,22.3211,0
0.237,295.481,22.3307,0
0.238,295.49,22.3404,0
0.239,295.5,22.3501,0
0.24,295.51,22.3598,0
0.24,295.51,22.3598,0
0.24,295.51,22.3598,0
0.241,295.519,22.3694,0
0.242,295.529,22.3791,0
0.243,295.539,22.3888,0
0.244,295.548,22.3984,0
0.245,295.558,22.4081,0
0.246,295.568,22.4177,0
0.247,295.577,22.4274,0
0.248,295.587,22.4371,0
0.249,295.597,22.4467,0
0.25,295.606,22.4564,0
0.251,295.616,22.466,0
0.252,295.626,22.4757,0
0.253,295.635,22.4853,0
0.254,295.645,22.495,0
0.255,295.655,22.5046,0
0.256,295.664,22.5143,0
0.257,295.674,22.5239,0
0.258,295.684,22.5336,0
0.259,295.693,22.5432,0
0.26,295.703,22.5529,0
0.26,295.703,22.5529,0
0.26,295.703,22.5529,0
0.261,295.713,22.5625,0
0.262,295.722,22.5722,0
0.263,295.732,22.5818,0
0.264,295.741,22.5914,0
0.265,295.751,22.6011,0
0.266,295.761,22.6107,0
0.267,295.77,22.6203,0
0.268,295.78,22.63,0
0.269,295.79,22.6396,0
0.27,295.799,22.6492,0
0.271,295.809,22.6589,0
0.272,295.818,22.6685,0
0.273,295.828,22.6781,0
0.274,295.838,22.6877,0
0.275,295.847,22.6974,0
0.276,295.857,22.707,0
0.277,295.867,22.7166,0
0.278,295.876,22.7262,0
0.279,295.886,22.7358,0
0.28,295.895,22.7455,0
0.28,295.895,22.7455,0
0.28,295.895,22.7455,0
0.281,295.905,22.7551,0
0.282,295.915,22.7647,0
0.283,295.924,22.7743,0
0.284,295.934,22.7839,0
0.285,295.944,22.7935,0
0.286,295.953,22.8031,0
0.287,295.963,22.8127,0
0.288,295.972,22.8223,0
0.289,295.982,22.8319,0
0.29,295.992,22.8415,0
0.291,296.001,22.8511,0
0.292,296.011,22.8607,0
0.293,296.02,22.8703,0
0.294,296.03,22.8799,0
0.295,296.04,22.8895,0
0.296,296.049,22.8991,0
0.297,296.059,22.9087,0
0.298,296.068,22.9183,0
0.299,296.078,22.9279,0
0.3,296.088,22.9375,0
0.3,296.088,22.9375,0
0.3,296.088,22.9375,0
0.301,296.097,22.9471,0
0.302,296.107,22.9567,0
0.303,296.116,22.9663,0
0.304,296.126,22.9758,0
0.305,296.135,22.9854,0
0.306,296.145,22.995,0
0.307,296.155,23.0046,0
0.308,296.164,23.0142,0
0.309,296.174,23.0237,0
0.31,296.183,23.0333,0
0.311,296.193,23.0429,0
0.312,296.202,23.0525,0
0.313,296.212,23.062,0
0.314,296.222,23.0716,0
0.315,296.231,23.0812,0
0.316,296.241,23.0908,0
0.317,296.25,23.1003,0
0.318,296.26,23.1099,0
0.319,296.269,23.1195,0
0.32,296.279,23.129,0
0.32,296.279,23.129,0
0.32,296.279,23.129,0
0.321,296.289,23.1386,0
0.322,296.298,23.1481,0
0.323,296.308,23.1577,0
0.324,296.317,23.1673,0
0.325,296.327,23.1768,0
0.326,296.336,23.1864,0
0.327,296.346,23.1959,0
0.328,296.355,23.2055,0
0.329,296.365,23.215,0
0.33,296.375,23.2246,0
0.331,296.384,23.2341,0
0.332,296.394,23.2437,0
0.333,296.403,23.2532,0
0.334,296.413,23.2628,0
0.335,296.422,23.2723,0
0.336,296.432,23.2819,0
0.337,296.441,23.2914,0
0.338,296.451,23.3009,0
0.339,296.46,23.3105,0
0.34,296.47,23.32,0
0.34,296.47,23.32,0
0.34,296.47,23.32,0
0.341,296.48,23.3295,0
0.342,296.489,23.3391,0
0.343,296.499,23.3486,0
0.344,296.508,23.3581,0
0.345,296.518,23.3677,0
0.346,296.527,23.3772,0
0.347,296.537,23.3867,0
0.348,296.546,23.3962,0
0.349,296.556,23.4058,0
0.35,296.565,23.4153,0
0.351,296.575,23.4248,0
0.352,296.584,23.4343,0
