"time","step-size","source.i.J1_w","source.i.J2_w","source.i.J3_w","source.i.J4_w"
0.0,0.0,10.0,0.0,0.0,0.0
1.0E-7,1.0E-7,9.999999000004207,9.99999684836439E-7,1.7807105887491376E-15,1.780710588748682E-15
0.10000010000000001,0.1,9.634865434398886,0.9974102503537772,-3.219646771412954E-15,-3.2187754819404916E-15
0.20000010000000001,0.1,8.01726090425149,1.9791953616005769,-5.773159728050814E-15,-5.7698603922529104E-15
0.3000001,0.1,7.703385272870778,2.929871822092445,-8.43769498715119E-15,-8.430126027947363E-15
0.40000009999999997,0.1,6.161317385415289,3.8344411396761293,9.99999991702083E-7,-7.552421890460147E-15
0.5000001,0.1,5.9535133903074735,3.678637613449509,1.000000999999993,-7.549516567451064E-15
0.6000000999999999,0.1,4.5464652095646265,3.449150932465467,2.0000009999999886,-9.769962616701378E-15
0.7000000999999999,0.1,4.49842473112007,3.1338275202501142,3.0000009999999913,-8.881784197001252E-15
0.8000000999999999,0.1,3.3319183982883187,3.33191839828833,3.3319183982884617,-9.769962616701378E-15
0.9000000999999999,0.1,3.554344288165497,3.538624157624013,3.538624157624145,-1.1102230246251565E-14
1.0000000999999998,0.1,3.233793877239123,3.3806183937436907,3.3806183937438226,-7.549516567451064E-15
1.1000001,0.1,3.738507778885079,3.446636011171207,3.4466360111713388,-8.881784197001252E-15
1.2000001,0.1,3.1034386551224,3.4458096203107456,3.4458096203108775,-1.021405182655144E-14
1.3000001,0.1,3.7561723407357106,3.4377600843935388,3.4377600843936706,-6.217248937900877E-15
1.4000001000000002,0.1,3.1196789536158027,3.4377600843935383,3.43776008439367,-6.661338147750939E-15
