"time","lca@PUMP01","x1@INJ01","q@INJ01","volume@INJ01","p1@PUMP01","pa@DVALV01","sacp@INJ01"
0.00048,1.439270411e-005,1e-009,-9.831693074e-009,-7.865227619e-014,2.503705148,9.984944036,49.99999999
0.00049,1.496802943e-005,1e-009,-9.831714026e-009,-8.02908945e-014,2.503845124,9.985299777,49.99999999
0.0005,1.555398723e-005,1e-009,-9.831741962e-009,-8.19295172e-014,2.503986837,9.985651071,49.99999999
0.00051,1.615051374e-005,1e-009,-9.831769899e-009,-8.35681452e-014,2.50413024,9.985998545,49.99999999
0.00052,1.675754519e-005,1e-009,-9.831811803e-009,-8.520677955e-014,2.504275288,9.986342638,49.99999999
0.00053,1.737501783e-005,1e-009,-9.831860691e-009,-8.684542146e-014,2.504421934,9.986683609,49.99999999
0.00054,1.800286787e-005,1e-009,-9.831909579e-009,-8.848407231e-014,2.504570134,9.987021549,49.99999999
0.00055,1.864103157e-005,1e-009,-9.831965452e-009,-9.012273135e-014,2.504719757,9.987357064,49.99999999
0.00056,1.928944612e-005,1e-009,-9.832063228e-009,-9.176140187e-014,2.504871101,9.987689379,49.99999999
0.00057,1.994807817e-005,1e-009,-9.832133069e-009,-9.340008569e-014,2.505024466,9.98801826,49.99999999
0.00058,2.061692838e-005,1e-009,-9.832230845e-009,-9.503878484e-014,2.505180423,9.98834336,49.99999999
0.00059,2.129599932e-005,1e-009,-9.832349574e-009,-9.667750155e-014,2.505338752,9.988664239,49.99999999
0.0006,2.198529355e-005,1e-009,-9.832468303e-009,-9.831623828e-014,2.505499521,9.988980383,49.99999999
0.00061,2.268481364e-005,1e-009,-9.832607984e-009,-9.995499767e-014,2.505662711,9.98929124,49.99999999
0.00062,2.339456214e-005,1e-009,-9.832761632e-009,-1.015937826e-013,2.50582833,9.989596223,49.99999999
0.00063,2.411454164e-005,1e-009,-9.832943218e-009,-1.032325961e-013,2.505996378,9.98989474,49.99999999
0.00064,2.484475469e-005,1e-009,-9.833145755e-009,-1.048714415e-013,2.506166856,9.990186224,49.99999999
0.00065,2.558520385e-005,1e-009,-9.833369244e-009,-1.065103222e-013,2.506339768,9.990470111,49.99999999
0.00066,2.633589168e-005,1e-009,-9.833613685e-009,-1.081492419e-013,2.506515115,9.990745901,49.99999999
0.00067,2.709682077e-005,1e-009,-9.833886063e-009,-1.097882045e-013,2.506692899,9.991013139,49.99999999
0.00068,2.786799366e-005,1e-009,-9.834172409e-009,-1.114272141e-013,2.506873121,9.991271451,49.99999999
0.00069,2.864941292e-005,1e-009,-9.834486691e-009,-1.130662748e-013,2.507055835,9.991520557,49.99999999
0.0007,2.944108258e-005,1e-009,-9.834842877e-009,-1.147053908e-013,2.507241066,9.991760248,49.99999999
0.00071,3.024303278e-005,1e-009,-9.835213031e-009,-1.163445664e-013,2.507429474,9.991990437,49.99999999
0.00072,3.105531629e-005,1e-009,-9.835597153e-009,-1.179838059e-013,2.507621408,9.992211119,49.99999999
0.00073,3.187798662e-005,1e-009,-9.836009211e-009,-1.196231136e-013,2.507816762,9.992422385,49.99999999
0.00074,3.271109728e-005,1e-009,-9.836449206e-009,-1.212624938e-013,2.508015623,9.992624441,49.99999999
0.00075,3.355470177e-005,1e-009,-9.836938089e-009,-1.229019504e-013,2.508218012,9.992817551,49.99999999
0.00076,3.44088536e-005,1e-009,-9.837419988e-009,-1.245414873e-013,2.508423973,9.993002092,49.99999999
0.00077,3.527360627e-005,1e-009,-9.837929823e-009,-1.261811082e-013,2.508633543,9.993178493,49.99999999
0.00078,3.61490133e-005,1e-009,-9.838467594e-009,-1.278208163e-013,2.50884676,9.993347222,49.99999999
0.00079,3.703512819e-005,1e-009,-9.839012349e-009,-1.294606348e-013,2.509063903,9.993507331,49.99999999
0.0008,3.793200445e-005,1e-009,-9.839571072e-009,-1.311005473e-013,2.50928454,9.99366119,49.99999999
0.00081,3.883969559e-005,1e-009,-9.840157732e-009,-1.327405553e-013,2.509508941,9.993809433,49.99999999
0.00082,3.975825511e-005,1e-009,-9.840737407e-009,-1.343806603e-013,2.509737148,9.993952687,49.99999999
0.00083,4.068773653e-005,1e-009,-9.841324066e-009,-1.360208628e-013,2.509969198,9.994091574,49.99999999
0.00084,4.162818e-005,1e-009,-9.841910726e-009,-1.376611627e-013,2.510203706,9.994226689,49.99999999
