"time","EGO","press","speed","throttle"
0.92000000,0.99051046,0.53843182,300.00000000,12.30000019
0.93000000,0.98927176,0.54043448,300.00000000,12.32499981
0.94000000,0.98791641,0.54243439,300.00000000,12.35000038
0.95000000,0.98643905,0.54443145,300.00000000,12.37500000
0.96000000,0.98483491,0.54642540,300.00000000,12.39999962
0.97000000,0.98309952,0.54841608,300.00000000,12.42500019
0.98000000,0.98122889,0.55040336,300.00000000,12.44999981
0.99000000,0.97921950,0.55238706,300.00000000,12.47500038
1.00000000,0.97706848,0.55436701,300.00000000,12.50000000
1.01000000,0.97477257,0.55634308,300.00000000,12.52499962
1.02000000,0.97233003,0.55831522,300.00000000,12.55000019
1.03000000,0.96973985,0.56028324,300.00000000,12.57499981
1.04000000,0.96700031,0.56224704,300.00000000,12.60000038
1.05000000,0.96411180,0.56420648,300.00000000,12.62500000
1.06000000,0.96107513,0.56616151,300.00000000,12.64999962
1.07000000,0.95789182,0.56811196,300.00000000,12.67500019
1.08000000,0.95456398,0.57005781,300.00000000,12.69999981
1.09000000,0.95109427,0.57199895,300.00000000,12.72500038
1.10000000,0.94748598,0.57393527,300.00000000,12.75000000
1.11000000,0.94374114,0.57586670,300.00000000,12.77499962
1.12000000,0.93986613,0.57779318,300.00000000,12.80000019
1.13000000,0.93586361,0.57971460,300.00000000,12.82499981
1.14000000,0.93174112,0.58163089,300.00000000,12.85000038
1.15000000,0.92750406,0.58354199,300.00000000,12.87500000
1.16000000,0.92315823,0.58544785,300.00000000,12.89999962
1.17000000,0.91870952,0.58734834,300.00000000,12.92500019
1.18000000,0.91416693,0.58924347,300.00000000,12.94999981
1.19000000,0.90953648,0.59113312,300.00000000,12.97500038
1.20000000,0.90482426,0.59301728,300.00000000,13.00000000
1.21000000,0.90003961,0.59489590,300.00000000,13.02499962
1.22000000,0.89519179,0.59676886,300.00000000,13.05000019
1.23000000,0.89028597,0.59863615,300.00000000,13.07499981
1.24000000,0.88533127,0.60049772,300.00000000,13.10000038
1.25000000,0.88033265,0.60235351,300.00000000,13.12500000
1.26000000,0.87529886,0.60420340,300.00000000,13.14999962
1.27000000,0.87023830,0.60604751,300.00000000,13.17500019
1.28000000,0.86515462,0.60788566,300.00000000,13.19999981
1.29000000,0.86005586,0.60971785,300.00000000,13.22500038
1.30000000,0.85494518,0.61154401,300.00000000,13.25000000
1.31000000,0.84983033,0.61336410,300.00000000,13.27499962
1.32000000,0.84471828,0.61517811,300.00000000,13.30000019
1.33000000,0.83961535,0.61698598,300.00000000,13.32499981
1.34000000,0.83452713,0.61878771,300.00000000,13.35000038
1.35000000,0.82945883,0.62058318,300.00000000,13.37500000
1.36000000,0.82441497,0.62237245,300.00000000,13.39999962
1.37000000,0.81939965,0.62415540,300.00000000,13.42500019
1.38000000,0.81441653,0.62593204,300.00000000,13.44999981
1.39000000,0.80946881,0.62770236,300.00000000,13.47500038
1.40000000,0.80455935,0.62946630,300.00000000,13.50000000
1.41000000,0.79969603,0.63122380,300.00000000,13.52499962
1.42000000,0.79487967,0.63297486,300.00000000,13.55000019
1.43000000,0.79011673,0.63471949,300.00000000,13.57499981
1.44000000,0.78540641,0.63645762,300.00000000,13.60000038
1.45000000,0.78075403,0.63818920,300.00000000,13.62500000
1.46000000,0.77615768,0.63991427,300.00000000,13.64999962
1.47000000,0.77162182,0.64163274,300.00000000,13.67500019
1.48000000,0.76714981,0.64334464,300.00000000,13.69999981
1.49000000,0.76273769,0.64504993,300.00000000,13.72500038
1.50000000,0.75838852,0.64674860,300.00000000,13.75000000
1.51000000,0.75410450,0.64844060,300.00000000,13.77499962
1.52000000,0.74988687,0.65012592,300.00000000,13.80000019
1.53000000,0.74573630,0.65180457,300.00000000,13.82499981
1.54000000,0.74165285,0.65347648,300.00000000,13.85000038
1.55000000,0.73763609,0.65514165,300.00000000,13.87500000
1.56000000,0.73368526,0.65680015,300.00000000,13.89999962
1.57000000,0.72980630,0.65845186,300.00000000,13.92500019
1.58000000,0.72598910,0.66009676,300.00000000,13.94999981
1.59000000,0.72223961,0.66173494,300.00000000,13.97500038
1.60000000,0.71855450,0.66336626,300.00000000,14.00000000
1.61000000,0.71493810,0.66499084,300.00000000,14.02499962
1.62000000,0.71138555,0.66660857,300.00000000,14.05000019
1.63000000,0.70789278,0.66821951,300.00000000,14.07499981
1.64000000,0.70446342,0.66982359,300.00000000,14.10000038
1.65000000,0.70109200,0.67142081,300.00000000,14.12500000
1.66000000,0.69778138,0.67301124,300.00000000,14.14999962
1.67000000,0.69453293,0.67459476,300.00000000,14.17500019
1.68000000,0.69134682,0.67617142,300.00000000,14.19999981
1.69000000,0.68821508,0.67774129,300.00000000,14.22500038
1.70000000,0.68514621,0.67930424,300.00000000,14.25000000
1.71000000,0.68213046,0.68086028,300.00000000,14.27499962
