"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
0,0,0,0,0,0,0,-12,0,0,0
0.00795858,1.01592,3.01592,0,0.0135294,0,0,-12,0.031834,0.1,0.1
0.00795858,1.01592,3.01592,0,0.0135294,0,0,-12,0.031834,0.1,0.1
0.00795858,1.01592,3.01592,0,0.0135294,0,0,-12,0.031834,0.1,0.1
0.00795858,1.01592,3.01592,0,0.0135294,0,0,-12,0.031834,0.1,0.1
0.0582098,1.11635,3.11635,0,0.0989008,0,0,-12,0.232708,0.1,0.727416
0.108461,1.2165,3.2165,0,0.184023,0,0.5,-12,0.432994,0.1,1.33674
0.125328,1.25,3.25,0,0.2125,0,0.5,-12,0.5,0.1,1.53454
0.125328,1.25,3.25,0,0.2125,0,0.5,-12,0.5,0.1,1.53454
0.125328,1.25,3.25,0,0.2125,0,0.5,12,0.5,0.1,1.53454
0.125328,1.25,3.25,0,0.2125,0,0.5,12,0.5,0.1,1.53454
0.175579,1.34936,3.34936,0,0.296953,0,0.5,12,0.5,0.1,2.0962
0.22583,1.44783,3.44783,0,0.380657,0,1,12,0.5,0.1,2.60572
0.25268,1.5,3.5,0,0.425,0,1,12,0.5,0.1,2.85214
0.25268,1.5,3.5,0,0.425,0,1,12,0.5,0.1,2.85214
0.25268,1.5,3.5,1.00000e-08,0.425,0,1,12,0.5,0.1,2.85214
0.25268,1.5,3.5,1.00000e-08,0.425,0,1,12,0.5,0.1,2.85214
0.302932,1.59664,3.59664,0.096639,0.507143,0,1,12,0.5,0.1,0
0.353183,1.69177,3.69177,0.191772,0.588006,0,1.5,12,0.5,0.1,0
0.403434,1.78516,3.78516,0.285158,0.667384,0,1.5,12,0.5,0.1,0
0.453685,1.87656,3.87656,0.376562,0.745078,0,2,12,0.5,0.1,0
0.503937,1.96575,3.96575,0.465753,0.82089,0,2,12,0.5,0.1,0
0.554188,2.05251,4.05251,0.552506,0.89463,0,2,12,0.5,0.1,0
0.604439,2.1366,4.1366,0.636601,0.966111,0,2.5,12,0.5,0.1,0
0.65469,2.21783,4.21783,0.717827,1.03515,0,2.5,12,0.5,0.1,0
0.704942,2.29598,4.29598,0.795979,1.10158,0,2.5,12,0.5,0.1,0
0.755193,2.37086,4.37086,0.870858,1.16523,0,2.5,12,0.5,0.1,2.78191
0.805444,2.44228,4.44228,0.942277,1.22594,0,3,12,0.5,0.1,2.29545
0.855695,2.51005,4.51005,1.01005,1.28355,0,3,12,0.5,0.1,1.75191
0.905947,2.57402,4.57402,1.07402,1.33792,0,3,12,0.5,0.1,1.16479
0.956198,2.63401,4.63401,1.13401,1.38891,0,3.5,12,0.5,0.1,0.548699
0.992041,2.67429,4.67429,1.17429,1.42315,0,3.5,12,0.5,0.1,0.1
0.992041,2.67429,4.67429,1.17429,1.42315,0,3.5,12,0.5,0.1,0.1
0.992041,2.67429,4.67429,1.17429,1.42315,0,3.5,12,0.5,0.1,0.1
0.992041,2.67429,4.67429,1.17429,1.42315,0,3.5,12,0.5,0.1,0.1
1,2.68294,4.68294,1.18294,1.4305,0,3.5,12,0.5,1.25663e-07,1.25663e-07
1,2.68294,4.68294,1.18294,1.4305,0,3.5,12,0.5,1.25663e-07,1.25663e-07
1,2.68294,4.68294,1.18294,1.4305,0,3.5,12,0.5,-1.25664e-07,-1.25664e-07
1,2.68294,4.68294,1.18294,1.4305,1,3.5,12,0.5,-1.25664e-07,-1.25664e-07
1.00796,2.69149,4.69149,1.19149,1.43777,1,3.5,12,0.5,-0.1,-0.1
1.00796,2.69149,4.69149,1.19149,1.43777,1,3.5,12,0.5,-0.1,-0.1
1.00796,2.69149,4.69149,1.19149,1.43777,1,3.5,12,0.5,-0.1,-0.1
1.00796,2.69149,4.69149,1.19149,1.43777,1,3.5,12,0.5,-0.1,-0.1
1.05821,2.74296,4.74296,1.24296,1.48151,1,3.5,12,0.5,-0.1,-0.727416
1.10846,2.79003,4.79003,1.29003,1.52152,1,3.5,12,0.5,-0.1,-1.33674
1.15871,2.83258,4.83258,1.33258,1.55769,1,3.5,12,0.5,-0.1,-1.91282
1.20896,2.8705,4.8705,1.3705,1.58992,1,3.5,12,0.5,-0.1,-2.44132
1.25921,2.9037,4.9037,1.4037,1.61814,1,4,12,0.5,-0.1,-2.90911
1.30947,2.93209,4.93209,1.43209,1.64228,1,4,12,0.5,-0.1,-3.30455
1.35972,2.95561,4.95561,1.45561,1.66227,1,4,12,0.5,-0.1,-3.61779
1.40997,2.97419,4.97419,1.47419,1.67806,1,4,12,0.5,-0.1,-3.84106
1.46022,2.98779,4.98779,1.48779,1.68962,1,4,12,0.5,-0.1,-3.9688
1.51047,2.99636,4.99636,1.49636,1.69691,1,4,12,0.5,-0.1,-3.99784
1.56072,2.9999,4.9999,1.4999,1.69991,1,4,12,0.5,-0.1,-3.92744
1.61097,2.99839,4.99839,1.49839,1.69863,1,4,12,0.5,-0.1,-3.75936
1.66122,2.99183,4.99183,1.49183,1.69305,1,4,12,0.5,-0.1,-3.49779
1.71148,2.98024,4.98024,1.48024,1.68321,1,4,12,0.5,-0.1,-3.14922
1.76173,2.96366,4.96366,1.46366,1.66911,1,4,12,0.5,-0.1,-2.72232
1.81198,2.94211,4.94211,1.44211,1.6508,1,4,12,0.5,-0.1,-2.22773
1.86223,2.91567,4.91567,1.41567,1.62832,1,4,12,0.5,-0.1,-1.67772
