time,res_line/LINE1/i_to_ka
63025,0.0475431
63026,0.0503711
63034,0.0532038
63047,0.0560212
63050,0.0588422
63054,0.0616668
63060,0.0535001
63089,0.0563383
63092,0.0591753
63095,0.0620153
63096,0.0648616
63099,0.0705736
63102,0.0734448
63107,0.0763001
63111,0.0763009
63112,0.073443
63113,0.0763083
63114,0.0791743
63118,0.0820427
63120,0.0784603
63133,0.0756228
63136,0.072789
63140,0.0699589
63141,0.0727942
63147,0.0756534
63148,0.0785175
63155,0.0813616
63156,0.084233
63158,0.0870836
63159,0.0899321
63169,0.0927775
63171,0.0956317
63172,0.098483
63175,0.0955843
63176,0.098437
63177,0.101297
63178,0.0984087
63180,0.0966116
63181,0.0937308
63182,0.0908537
63185,0.0851057
63188,0.0822374
63191,0.0850943
63193,0.0822227
63197,0.0793594
63199,0.0765041
63200,0.0736514
63204,0.0708038
63208,0.0736558
63210,0.0793597
63211,0.0822257
63213,0.0879603
63214,0.0965977
63216,0.099447
63217,0.102331
63218,0.105222
63221,0.116774
63224,0.1197
63225,0.122592
63227,0.122605
63228,0.125521
63229,0.128444
63231,0.131348
63233,0.134283
63235,0.137227
63236,0.143082
63237,0.145972
63240,0.154695
63241,0.151789
63244,0.148886
63245,0.145984
63256,0.14894
63257,0.146039
63260,0.148986
63263,0.148986
63265,0.15194
63267,0.157881
63270,0.16087
63277,0.160832
63280,0.163748
63281,0.166664
63291,0.169569
63293,0.172491
63294,0.169506
63296,0.163558
63299,0.163461
63300,0.157686
63302,0.154787
63307,0.148969
63309,0.151914
63311,0.148992
63313,0.148998
63314,0.146035
63317,0.143117
63319,0.146006
63321,0.148951
63322,0.146031
63323,0.143145
63326,0.140234
63330,0.143179
63332,0.14907
63335,0.157933
63336,0.163895
63338,0.166798
63342,0.16381
63343,0.169654
63346,0.16668
63347,0.169621
63349,0.172566
63350,0.175564
63351,0.172584
63353,0.169574
63355,0.172526
63356,0.169547
63358,0.172495
63359,0.175409
63360,0.175692
63362,0.178643
63363,0.181606
63372,0.184574
63377,0.178673
63378,0.178686
63382,0.181667
63385,0.17875
63386,0.175776
63387,0.178759
63389,0.184757
63392,0.187774
63395,0.184778
63399,0.181856
63401,0.184852
63402,0.181931
63403,0.184932
63405,0.182014
63406,0.1821
63407,0.179106
63413,0.182021
63417,0.185007
63418,0.191024
63420,0.188216
63421,0.188139
63423,0.19117
63426,0.194168
63428,0.197212
63431,0.200226
63437,0.203159
63439,0.206095
63441,0.205934
63442,0.211915
63443,0.218
63444,0.214967
63446,0.217916
63447,0.214889
63448,0.211864
63449,0.208863
63451,0.202818
63453,0.214871
63454,0.211826
63456,0.214656
63457,0.217686
63458,0.217515
63459,0.214457
63463,0.211408
63465,0.208369
63466,0.20819
63469,0.211228
63470,0.208222
63477,0.211211
63480,0.211711
63481,0.21475
63484,0.21777
63485,0.220772
63487,0.220752
63488,0.223781
63489,0.22074
63491,0.226826
63492,0.223781
63493,0.220817
63494,0.226891
63499,0.229952
63503,0.233024
63504,0.229954
63505,0.236087
63506,0.23914
63507,0.236162
63509,0.233086
63510,0.23316
63511,0.230188
63514,0.227123
63517,0.230177
63523,0.227311
63525,0.230374
63527,0.227421
63528,0.227401
63529,0.221361
63531,0.224311
63533,0.230337
63539,0.221152
63540,0.227321
63542,0.224485
63543,0.221467
63544,0.218634
63545,0.221706
63547,0.224673
63550,0.230733
63551,0.233708
63552,0.230872
63555,0.227802
63559,0.230759
63560,0.227697
63562,0.221591
63563,0.227516
63564,0.230579
63565,0.227567
63566,0.221439
63568,0.218487
63569,0.221453
63573,0.215508
63575,0.230685
63576,0.233763
63577,0.230752
63578,0.233588
63579,0.230574
63580,0.230334
63582,0.23341
63583,0.233424
63588,0.233253
63589,0.230299
63591,0.230326
63592,0.227327
63600,0.229899
63602,0.235999
63603,0.232936
63605,0.239054
63606,0.245242
63608,0.245115
63612,0.242049
63613,0.248033
63617,0.248091
63619,0.244992
63620,0.248073
63621,0.251162
63622,0.25115
63623,0.254182
63625,0.251204
63626,0.251305
63627,0.254385
63628,0.257424
63629,0.257325
63630,0.254251
63632,0.257284
63638,0.254212
63639,0.257299
63640,0.260394
63643,0.257413
63648,0.260521
63651,0.254562
63652,0.25765
63653,0.260629
63654,0.257649
63655,0.260758
63657,0.266847
63658,0.263863
63659,0.270113
63660,0.26881
63661,0.265548
63662,0.268549
63667,0.271543
