time,load/LOAD1/p_mw,load/LOAD2/p_mw,load/LOAD3/p_mw,load/LOAD4/p_mw,load/LOAD5/p_mw,load/LOAD6/p_mw,load/LOAD7/p_mw,load/LOAD8/p_mw,load/LOAD9/p_mw,load/LOAD10/p_mw,load/LOAD11/p_mw,load/LOAD12/p_mw,load/LOAD13/p_mw,load/LOAD14/p_mw,load/LOAD15/p_mw,load/LOAD16/p_mw,load/LOAD17/p_mw,load/LOAD18/p_mw,load/LOAD19/p_mw,load/LOAD20/p_mw,load/LOAD21/p_mw,load/LOAD22/p_mw,load/LOAD23/p_mw,load/LOAD24/p_mw,load/LOAD25/p_mw,load/LOAD26/p_mw,load/LOAD27/p_mw,load/LOAD28/p_mw,load/LOAD29/p_mw,load/LOAD30/p_mw,load/LOAD31/p_mw,load/LOAD32/p_mw,load/LOAD33/p_mw,load/LOAD34/p_mw,load/LOAD35/p_mw,load/LOAD36/p_mw,load/LOAD37/p_mw,load/LOAD38/p_mw,load/LOAD39/p_mw,load/LOAD40/p_mw,load/LOAD41/p_mw,load/LOAD42/p_mw,load/LOAD43/p_mw,load/LOAD44/p_mw,load/LOAD45/p_mw,load/LOAD46/p_mw,load/LOAD47/p_mw,load/LOAD48/p_mw,load/LOAD49/p_mw,load/LOAD50/p_mw,load/LOAD51/p_mw,load/LOAD52/p_mw,load/LOAD53/p_mw,load/LOAD54/p_mw,load/LOAD55/p_mw
63000,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000167,0.002911,0.000437,0.00081,5.7e-05,0.000433,0.000359,0.002273,0.00068,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.0008,0.000404,0.000658,0.00053,0.00024,3.4e-05,0.000412,2.8e-05,0.000512,0.000786,0.000189,5.6e-05,0.001115,0.000656,4.3e-05,0.000595,4.5e-05,0.00272,0.000585,0.000175,0.00047,0.000431,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000568,0.000457,0.000615,0.000443,4.8e-05,0.00272
63025,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000167,0.002911,0.000437,0.00081,5.7e-05,0.000433,0.000359,0.002273,0.00068,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.0008,0.000404,0.000658,0.00053,0.00024,0.002034,0.000412,2.8e-05,0.000512,0.000786,0.000189,5.6e-05,0.001115,0.000656,4.3e-05,0.000595,4.5e-05,0.00272,0.000585,0.000175,0.00047,0.000431,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000568,0.000457,0.000615,0.000443,4.8e-05,0.00272
63026,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000167,0.002911,0.000437,0.00081,5.7e-05,0.000433,0.000359,0.002273,0.00068,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.0008,0.000404,0.000658,0.00053,0.00024,0.004034,0.000412,2.8e-05,0.000512,0.000786,0.000189,5.6e-05,0.001115,0.000656,4.3e-05,0.000595,4.5e-05,0.00272,0.000585,0.000175,0.00047,0.000431,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000568,0.000457,0.000615,0.000443,4.8e-05,0.00272
63034,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000167,0.002911,0.000437,0.00081,5.7e-05,0.000433,0.000359,0.002273,0.00068,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.0008,0.000404,0.000658,0.00053,0.00024,0.006034,0.000412,2.8e-05,0.000512,0.000786,0.000189,5.6e-05,0.001115,0.000656,4.3e-05,0.000595,4.5e-05,0.00272,0.000585,0.000175,0.00047,0.000431,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000568,0.000457,0.000615,0.000443,4.8e-05,0.00272
63047,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000167,0.004911,0.000437,0.00081,5.7e-05,0.000433,0.000359,0.002273,0.00068,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.0008,0.000404,0.000658,0.00053,0.00024,0.006034,0.000412,2.8e-05,0.000512,0.000786,0.000189,5.6e-05,0.001115,0.000656,4.3e-05,0.000595,4.5e-05,0.00272,0.000585,0.000175,0.00047,0.000431,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000568,0.000457,0.000615,0.000443,4.8e-05,0.00272
63050,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000167,0.006911,0.000437,0.00081,5.7e-05,0.000433,0.000359,0.002273,0.00068,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.0008,0.000404,0.000658,0.00053,0.00024,0.006034,0.000412,2.8e-05,0.000512,0.000786,0.000189,5.6e-05,0.001115,0.000656,4.3e-05,0.000595,4.5e-05,0.00272,0.000585,0.000175,0.00047,0.000431,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000568,0.000457,0.000615,0.000443,4.8e-05,0.00272
63054,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000167,0.008911,0.000437,0.00081,5.7e-05,0.000433,0.000359,0.002273,0.00068,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.0008,0.000404,0.000658,0.00053,0.00024,0.006034,0.000412,2.8e-05,0.000512,0.000786,0.000189,5.6e-05,0.001115,0.000656,4.3e-05,0.000595,4.5e-05,0.00272,0.000585,0.000175,0.00047,0.000431,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000568,0.000457,0.000615,0.000443,4.8e-05,0.00272
63060,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000433,0.000359,0.002273,0.00064,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000786,0.000189,5.6e-05,0.000655,0.000656,4.3e-05,0.000595,4.5e-05,0.0007,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000603,0.000457,0.000606,0.000649,4.8e-05,0.0003
63089,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000433,0.000359,0.002273,0.00064,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000786,0.000189,5.6e-05,0.000655,0.000656,4.3e-05,0.000595,4.5e-05,0.0007,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000603,0.000457,0.002606,0.000649,4.8e-05,0.0003
63092,0.001423,0.000869,5.4e-05,0.000607,3.5e-05,0.000107,0.008951,0.000497,0.000233,5.7e-05,0.000433,0.000359,0.002273,0.00064,5.3e-05,0.000641,0.000275,0.00027,0.00063,0.00039,0.000675,0.000404,0.000558,0.00053,5e-05,0.006034,0.000412,2.8e-05,0.000452,0.000786,0.000189,5.6e-05,0.000655,0.000656,4.3e-05,0.000595,4.5e-05,0.0027,0.000585,0.000175,0.00047,0.000391,5e-05,0.000133,0.000649,0.001052,0.000233,0.000106,5.4e-05,0.000603,0.000457,0.002606,0.000649,4.8e-05,0.0003
