Time,_dummy,_derdummy,EventIndicator_0_,EventIndicator_1_,Step_0Time,Step_0Y0,Step_0YFinal,SineWave_0Amp,SineWave_0Bias,SineWave_0Freq,SineWave_0Phase,SineWave6_0Amp,SineWave6_0Bias,SineWave6_0Freq,SineWave6_0Phase,SineWave1_0Amp,SineWave1_0Bias,SineWave1_0Freq,SineWave1_0Phase,Step2_0Time,Step2_0Y0,Step2_0YFinal,SineWave3_0Amp,SineWave3_0Bias,SineWave3_0Freq,SineWave3_0Hsin,SineWave3_0HCos,SineWave3_0PSin,SineWave3_0PCos,SineWave4_0Amp,SineWave4_0Bias,SineWave4_0Freq,SineWave4_0Phase,Step3_0Time,Step3_0Y0,Step3_0YFinal,SineWave5_0Amp,SineWave5_0Bias,SineWave5_0Freq,SineWave5_0Hsin,SineWave5_0HCos,SineWave5_0PSin,SineWave5_0PCos,SineWave7_0Amp,SineWave7_0Bias,SineWave7_0Freq,SineWave7_0Hsin,SineWave7_0HCos,SineWave7_0PSin,SineWave7_0PCos,WeightedSampleTime_0WtEt,Constant6_0Value,Constant4_0Value,Constant5_0Value,Out1_1_,Out1_2_,Out2,Out3,Out4,Out5,Out6_1_,Out6_2_,Out6_3_,Out6_4_,Out6_5_,Out6_6_,Out7,Out8_1_,Out8_2_,Out9,Out10,Out11,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_NumberOfContinuousStates,fmi_NumberOfEventIndicators
0,1,0,-1,-1,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0,0,0,12,12,1,0.1,0,0,1,0,0,0,0,0,0,6,0,1,0,3
0.02,1,0,-0.98,-0.98,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.0199987,0,0,12,12,1,0.1,0,0,1,0,0,0.0199987,0,0,0,6,0,1,0,3
0.04,1,0,-0.96,-0.96,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.0399893,0,0,12,12,1,0.1,0,0,1,0,0,0.0399893,0,0,0,6,0,1,0,3
0.06,1,0,-0.94,-0.94,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.059964,0,0,12,12,1,0.1,0,0,1,0,0,0.059964,0,0,0,6,0,1,0,3
0.08,1,0,-0.92,-0.92,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.0799147,0,0,12,12,1,0.1,0,0,1,0,0,0.0799147,0,0,0,6,0,1,0,3
0.1,1,0,-0.9,-0.9,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.0998334,1,0,12,12,1,0.1,0,0,1,0,0,0.0998334,0,0,0.0199667,6,0,1,0,3
0.1,1,0,-0.9,-0.9,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.0998334,1,0,12,12,1,0.1,0,0,1,0,0,0.0998334,0,0,0.0199667,6,0,1,0,3
0.12,1,0,-0.88,-0.88,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.119712,1,0,12,12,1,0.1,0,0,1,0,0,0.119712,0,0,0.0199667,6,0,1,0,3
0.14,1,0,-0.86,-0.86,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.139543,1,0,12,12,1,0.1,0,0,1,0,0,0.139543,0,0,0.0199667,6,0,1,0,3
0.16,1,0,-0.84,-0.84,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.159318,1,0,12,12,1,0.1,0,0,1,0,0,0.159318,0,0,0.0199667,6,0,1,0,3
0.18,1,0,-0.82,-0.82,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.17903,2,0,12,12,1,0.1,0,0,1,0,0,0.17903,0,0,0.0199667,6,0,1,0,3
0.2,1,0,-0.8,-0.8,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.198669,2,0,12,12,1,0.1,0,0,1,0,0,0.198669,0,0,0.0397339,6,0,1,0,3
0.2,1,0,-0.8,-0.8,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.198669,2,0,12,12,1,0.1,0,0,1,0,0,0.198669,0,0,0.0397339,6,0,1,0,3
0.22,1,0,-0.78,-0.78,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.21823,2,0,12,12,1,0.1,0,0,1,0,0,0.21823,0,0.21823,0.0397339,6,0,1,0,3
0.22,1,0,-0.78,-0.78,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.21823,2,0,12,12,1,0.1,0,0,1,0,0,0.21823,0,0.21823,0.0397339,6,0,1,0,3
0.24,1,0,-0.76,-0.76,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.237703,2,0,12,12,1,0.1,0,0,1,0,0,0.237703,0,0.21823,0.0397339,6,0,1,0,3
0.26,1,0,-0.74,-0.74,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.257081,3,0,12,12,1,0.1,0,0,1,0,0,0.257081,0,0.21823,0.0397339,6,0,1,0,3
0.28,1,0,-0.72,-0.72,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.276356,3,0,12,12,1,0.1,0,0,1,0,0,0.276356,0,0.21823,0.0397339,6,0,1,0,3
0.3,1,0,-0.7,-0.7,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.29552,3,0,12,12,1,0.1,0,0,1,0,0.29552,0.29552,0,0.21823,0.059104,6,0,1,0,3
0.3,1,0,-0.7,-0.7,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.29552,3,0,12,12,1,0.1,0,0,1,0,0.29552,0.29552,0,0.21823,0.059104,6,0,1,0,3
0.32,1,0,-0.68,-0.68,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.314567,3,0,12,12,1,0.1,0,0,1,0,0.29552,0.314567,0,0.21823,0.059104,6,0,1,0,3
0.34,1,0,-0.66,-0.66,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.333487,4,0,12,12,1,0.1,0,0,1,0,0.29552,0.333487,0,0.21823,0.059104,6,0,1,0,3
0.36,1,0,-0.64,-0.64,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.352274,4,0,12,12,1,0.1,0,0,1,0,0.29552,0.352274,0,0.21823,0.059104,6,0,1,0,3
0.38,1,0,-0.62,-0.62,1,0,1,1,0,1,0,12,0,1,0,1,0,1,0,1,0,2.3,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,1,0,1,0,1,0,1,1,0,1,0.21823,0.975897,-0.21823,0.975897,1,0,1,0.0998334,0.995004,-0.0998334,0.995004,0.2,1,12,12,0,0.37092,4,0,12,12,1,0.1,0,0,1,0,0.29552,0.37092,0,0.21823,0.059104,6,0,1,0,3
