"time","outputs[1]","outputs[2]"
2.3209999999998554E+00,2.6337499999999402E+01,2.5626475463171516E+01
2.3409999999998532E+00,2.6420833333332723E+01,2.5810663722114100E+01
2.3609999999998510E+00,2.6504166666666048E+01,2.5994346164967340E+01
2.3809999999998488E+00,2.6587499999999373E+01,2.6177524374092741E+01
2.4009999999998466E+00,2.6670833333332695E+01,2.6360199925511438E+01
2.4209999999998444E+00,2.6754166666666020E+01,2.6542374388939550E+01
2.4409999999998422E+00,2.6837499999999345E+01,2.6724049327825242E+01
2.4609999999998400E+00,2.6920833333332666E+01,2.6905226299383173E+01
2.4809999999998378E+00,2.7004166666665995E+01,2.7085906854630650E+01
2.5009999999998356E+00,2.7087499999999316E+01,2.7266092538422299E+01
2.5209999999998334E+00,2.7170833333332642E+01,2.7445784889484742E+01
2.5409999999998312E+00,2.7254166666665967E+01,2.7624985440451155E+01
2.5609999999998290E+00,2.7337499999999288E+01,2.7803695717895494E+01
2.5809999999998268E+00,2.7420833333332613E+01,2.7981917242366308E+01
2.6009999999998246E+00,2.7504166666665938E+01,2.8159651528420738E+01
2.6209999999998224E+00,2.7587499999999260E+01,2.8336900084657032E+01
2.6409999999998202E+00,2.7670833333332588E+01,2.8513664413748813E+01
2.6609999999998180E+00,2.7754166666665910E+01,2.8689946012476980E+01
2.6809999999998158E+00,2.7837499999999235E+01,2.8807770194022453E+01
2.7009999999998136E+00,2.7920833333332560E+01,2.8790171380427864E+01
2.7209999999998113E+00,2.8004166666665881E+01,2.8772607731042569E+01
2.7409999999998091E+00,2.8087499999999206E+01,2.8755079175604976E+01
2.7609999999998069E+00,2.8170833333332531E+01,2.8737585643993725E+01
2.7809999999998047E+00,2.8254166666665853E+01,2.8720127066227860E+01
2.8009999999998025E+00,2.8337499999999181E+01,2.8702703372466090E+01
2.8209999999998003E+00,2.8420833333332503E+01,2.8685314493006558E+01
2.8409999999997981E+00,2.8504166666665828E+01,2.8667960358286678E+01
2.8609999999997959E+00,2.8587499999999153E+01,2.8650640898883012E+01
2.8809999999997937E+00,2.8670833333332475E+01,2.8633356045510709E+01
2.9009999999997915E+00,2.8754166666665800E+01,2.8616105729023559E+01
2.9209999999997893E+00,2.8837499999999125E+01,2.8598889880413367E+01
2.9409999999997871E+00,2.8920833333332446E+01,2.8581708430809783E+01
2.9609999999997849E+00,2.9004166666665775E+01,2.8564561311480134E+01
2.9809999999997827E+00,2.9087499999999096E+01,2.8547448453828792E+01
3.0009999999997805E+00,2.9170833333332421E+01,2.8530369789397810E+01
