"time","freqHz","T2","clutch1_phi_0rel","clutch1_w_0rel","clutch2_phi_0rel","clutch2_w_0rel","clutch3_phi_0rel","clutch3_w_0rel","J1_phi","J1_w"
0,0.2,0.4,0,-10,0,0,0,0,0,10
1e-011,0.2,0.4,-9.99995e-011,-10,-3e-016,-1e-010,0,0,9.99998e-011,10
1e-011,0.2,0.4,-9.99995e-011,-10,-3e-016,-1e-010,0,0,9.99998e-011,10
0.003,0.2,0.4,-0.0299117,-9.94141,-4.50007e-005,-0.03,0,0,0.0299567,9.97141
0.006,0.2,0.4,-0.0596536,-9.88563,-0.00018,-0.0599995,0,0,0.0598336,9.94563
0.009,0.2,0.4,-0.0892384,-9.83257,-0.000404993,-0.0899979,0,0,0.0896434,9.92257
0.012,0.2,0.4,-0.118667,-9.78224,-0.00071998,-0.119995,0,0,0.119387,9.90223
0.015,0.2,0.4,-0.147954,-9.73443,-0.00112495,-0.149991,0,0,0.149079,9.88442
0.018,0.2,0.4,-0.177097,-9.6892,-0.00161991,-0.179984,0,0,0.178716,9.86919
0.021,0.2,0.4,-0.206111,-9.64624,-0.00220484,-0.209975,0,0,0.208316,9.85622
0.024,0.2,0.4,-0.234996,-9.60558,-0.00287974,-0.239963,0,0,0.237876,9.84555
0.027,0.2,0.4,-0.263765,-9.56687,-0.00364459,-0.269948,0,0,0.267409,9.83682
0.03,0.2,0.4,-0.292417,-9.5301,-0.0044994,-0.299929,0,0,0.296916,9.83003
0.033,0.2,0.4,-0.320958,-9.49498,-0.00544414,-0.329906,0,0,0.326402,9.82489
0.036,0.2,0.4,-0.349394,-9.46126,-0.0064788,-0.359878,0,0,0.355873,9.82113
0.039,0.2,0.4,-0.377728,-9.42878,-0.00760337,-0.389846,0,0,0.385332,9.81862
0.042,0.2,0.4,-0.405965,-9.39734,-0.00881784,-0.419808,0,0,0.414783,9.81715
0.045,0.2,0.4,-0.434104,-9.36661,-0.0101222,-0.449764,0,0,0.444226,9.81638
0.048,0.2,0.4,-0.462149,-9.33632,-0.0115164,-0.479715,0,0,0.473665,9.81603
0.051,0.2,0.4,-0.490104,-9.30627,-0.0130004,-0.509658,0,0,0.503105,9.81592
0.054,0.2,0.4,-0.517973,-9.27622,-0.0145743,-0.539594,0,0,0.532547,9.81581
0.057,0.2,0.4,-0.545748,-9.24587,-0.016238,-0.569523,0,0,0.561986,9.81539
0.06,0.2,0.4,-0.573426,-9.21492,-0.0179914,-0.599444,0,0,0.591417,9.81436
0.063,0.2,0.4,-0.601012,-9.18315,-0.0198346,-0.629356,0,0,0.620846,9.8125
0.066,0.2,0.4,-0.628507,-9.1503,-0.0217675,-0.659259,0,0,0.650275,9.80956
0.069,0.2,0.4,-0.655902,-9.11615,-0.0237901,-0.689154,0,0,0.679692,9.80531
0.072,0.2,0.4,-0.683185,-9.08051,-0.0259024,-0.719038,0,0,0.709087,9.79955
0.075,0.2,0.4,-0.71036,-9.04309,-0.0281043,-0.748912,0,0,0.738465,9.792
0.078,0.2,0.4,-0.737426,-9.00365,-0.0303958,-0.778776,0,0,0.767822,9.78243
0.081,0.2,0.4,-0.764373,-8.96206,-0.0327769,-0.808629,0,0,0.79715,9.77069
0.084,0.2,0.4,-0.791185,-8.91833,-0.0352475,-0.83847,0,0,0.826432,9.75681
0.087,0.2,0.4,-0.817863,-8.87213,-0.0378077,-0.8683,0,0,0.85567,9.74043
0.09,0.2,0.4,-0.844402,-8.82325,-0.0404573,-0.898117,0,0,0.88486,9.72137
0.093,0.2,0.4,-0.870795,-8.77162,-0.0431964,-0.927922,0,0,0.913992,9.69954
0.096,0.2,0.4,-0.897027,-8.71739,-0.0460248,-0.957713,0,0,0.943052,9.67511
0.099,0.2,0.4,-0.923093,-8.66036,-0.0489426,-0.987491,0,0,0.972036,9.64785
0.102,0.2,0.4,-0.948984,-8.60047,-0.0519497,-1.01726,0,0,1.00093,9.61773
0.103162,0.2,0.4,-0.958963,-8.5765,-0.0531384,-1.02878,0,0,1.0121,9.60528
0.103162,0.2,0.4,-0.958963,-8.5765,-0.0531384,-1.02878,0,0,1.0121,9.60528
0.105,0.2,0.4,-0.974692,-8.5377,-0.0550461,-1.04701,0,0,1.02974,9.5847
0.106352,0.2,0.4,-0.986216,-8.50849,-0.0564709,-1.06041,0,0,1.04269,9.5689
0.106352,0.2,0.4,-0.986216,-8.50849,-0.0564709,-1.06041,0,0,1.04269,9.5689
0.108,0.2,0.4,-1.00021,-8.47215,-0.0582317,-1.07674,0,0,1.05844,9.54889
0.111,0.2,0.4,-1.02552,-8.40391,-0.0615065,-1.10646,0,0,1.08703,9.51037
0.114,0.2,0.4,-1.05062,-8.33308,-0.0648705,-1.13616,0,0,1.11549,9.46924
0.117,0.2,0.4,-1.0755,-8.25983,-0.0683234,-1.16585,0,0,1.14383,9.42568
0.12,0.2,0.4,-1.10016,-8.18414,-0.0718654,-1.19552,0,0,1.17203,9.37967
0.123,0.2,0.4,-1.12458,-8.1064,-0.0754964,-1.22518,0,0,1.20008,9.33157
