"time","step-size","csv.i.x_0","csv.i.x_1","csv.i.x_2","source.i.y_0","source.i.y_1","source.i.y_2"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.01,0.49999167,0.39997333,0.14999938,0.0,0.0,0.0
0.02,0.01,0.99993333,0.79978668,0.299995,0.1999833332221611,0.0,0.0
0.03,0.01,1.499775,1.1992801,0.44998313,0.7997333582220444,1.79972001,0.0
0.04,0.01,1.9994667,1.5982939,0.59996,1.7986503119775001,1.79972001,0.0
0.05,0.01,2.4989585,1.9966683,0.74992188,3.19573542986313,3.5977606,4.1977206
0.060000000000000005,0.01,2.9982003000000006,2.3942441000000003,0.8998650100000001,4.9895912199655506,3.5977606,4.1977206
0.07,0.01,3.4971424,2.7908623,1.0497856,7.178423378893233,5.3924444000000005,4.1977206
0.08,0.01,3.9957347,3.1863641,1.19968,9.76004288189152,5.3924444000000005,4.1977206
0.09,0.01,4.4939275,3.5805915,1.3495444,12.73186560120427,7.1820988,8.381778800000001
0.09999999999999999,0.01,4.991670799999999,3.9733865999999995,1.4993750999999997,16.09091860811625,7.1820988,8.381778800000001
0.10999999999999999,0.01,5.4889149999999995,4.364592499999999,1.6491682999999997,19.833837868331273,8.9650574,8.381778800000001
0.11999999999999998,0.01,5.985610399999999,4.754052499999999,1.7989201999999997,23.95687724213749,8.9650574,8.381778800000001
0.12999999999999998,0.01,6.481707099999999,5.141610999999999,1.9486271999999996,28.45590608614599,10.739662899999999,12.538583099999999
0.13999999999999999,0.01,6.977155699999998,5.527112999999999,2.0982853999999995,33.32641652413809,10.739662899999999,12.538583099999999
0.15,0.01,7.4719066,5.9104041,2.2478912,38.563527972494086,12.504268699999997,12.538583099999999
0.16,0.01,7.9659103,6.2913312,2.3974408,44.16198740345706,12.504268699999997,12.538583099999999
0.17,0.01,8.4591175,6.6697418,2.5469305,50.11618000679136,14.2572415,16.654682299999997
0.18000000000000002,0.01,8.951478700000001,7.045484700000001,2.6963565000000003,56.4201295808615,14.2572415,16.654682299999997
0.19000000000000003,0.01,9.442944700000002,7.418409400000001,2.8457151000000005,63.067506223225905,15.996963400000002,16.654682299999997
0.20000000000000004,0.01,9.933466500000002,7.788366800000001,2.9950025000000005,70.0516297261602,15.996963400000002,16.654682299999997
0.21000000000000005,0.01,10.422995000000004,8.155209100000002,3.1442151000000007,77.36548069751223,17.721833300000004,20.716835800000005
0.22000000000000006,0.01,10.911481000000004,8.518789300000002,3.293349000000001,85.00170367325455,17.721833300000004,20.716835800000005
0.23000000000000007,0.01,11.398876000000003,8.878962100000003,3.4424007000000008,92.95260758995335,19.430270300000004,20.716835800000005
0.24000000000000007,0.01,11.885131000000003,9.235583500000004,3.5913662000000013,101.21018798659965,19.430270300000004,20.716835800000005
0.25000000000000006,0.01,12.370198000000004,9.588510800000002,3.7402420000000007,109.76611975893857,21.120714500000005,24.71208070000001
0.26000000000000006,0.01,12.854028000000003,9.937602800000002,3.889024300000001,118.61177712113846,21.120714500000005,24.71208070000001
0.2700000000000001,0.01,13.336572000000004,10.282720000000001,4.037709300000001,127.73822464407846,22.791630800000007,24.71208070000001
0.2800000000000001,0.01,13.817782000000001,10.623724000000001,4.186293400000001,137.13623563584005,22.791630800000007,24.71208070000001
0.2900000000000001,0.01,14.297611000000005,10.960479000000003,4.334772900000002,146.79630226016803,24.441506000000004,28.627799400000004
0.3000000000000001,0.01,14.776010000000005,11.292849000000004,4.483144000000002,156.7086651156691,24.441506000000004,28.627799400000004
0.3100000000000001,0.01,15.252932000000005,11.620703000000004,4.6314030000000015,166.8632497524901,26.06885900000001,28.627799400000004
0.3200000000000001,0.01,15.728328000000005,11.943909000000003,4.779546200000002,177.24979265119612,26.06885900000001,28.627799400000004
0.3300000000000001,0.01,16.202151000000004,12.262337000000004,4.927569900000002,187.8577183541521,27.67223700000001,32.45178320000001
0.34000000000000014,0.01,16.674355000000002,12.575860000000004,5.0754705000000016,198.6762356868871,27.67223700000001,32.45178320000001
0.35000000000000014,0.01,17.144890000000007,12.884354000000005,5.223244100000002,209.69435407030008,29.250215000000004,32.45178320000001
0.36000000000000015,0.01,17.613712000000007,13.187693000000005,5.370887200000003,220.90083205106018,29.250215000000004,32.45178320000001
0.37000000000000016,0.01,18.080772000000007,13.485758000000006,5.518396000000003,232.28422644641617,30.80140500000001,36.172292200000015
0.38000000000000017,0.01,18.54602300000001,13.778429000000004,5.665766800000003,243.8329156451762,30.80140500000001,36.172292200000015
0.3900000000000002,0.01,19.009421000000007,14.065588000000005,5.812996000000003,255.53506113786722,32.324452000000015,36.172292200000015
0.4000000000000002,0.01,19.470917000000007,14.347122000000006,5.960079900000003,267.3786839045482,32.324452000000015,36.172292200000015
0.4100000000000002,0.01,19.93046600000001,14.622917000000005,6.1070148000000035,279.3516216508742,33.81803900000001,39.77811890000002
0.4200000000000002,0.01,20.38802300000001,14.892862000000004,6.253797000000003,291.4415500893222,33.81803900000001,39.77811890000002
0.4300000000000002,0.01,20.84354000000001,15.156851000000005,6.400422800000004,303.63601299182625,35.28088500000001,39.77811890000002
0.4400000000000002,0.01,21.296973000000012,15.414778000000005,6.546888700000004,315.92243009254025,35.28088500000001,39.77811890000002
0.45000000000000023,0.01,21.748277000000012,15.666538000000005,6.693190900000004,328.2881108669943,36.71175100000002,43.258639700000025
0.46000000000000024,0.01,22.19740500000001,15.912032000000005,6.839325700000003,340.7202080550263,36.71175100000002,43.258639700000025
