Time,_dummy,_derdummy,SineVoltage1_phase,SineVoltage2_phase,SineVoltage3_phase,Capacitor1_v,IdealDiode3_off,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_StartTime,fmi_StopTime,fmi_NumberOfSteps,fmi_CommunicationStepSize,fmi_forceShutDownAtStopTime
0,1,0,0,0,0,282.843,1,0,1,0,0.1,500,0.0002,0
0.0002,1,0,0,0,0,282.843,1,0,1,0,0.1,500,0.0002,0
0.0002,1,0,0,0,0,279.504,1,0,1,0,0.1,500,0.0002,0
0.0004,1,0,0,0,0,279.504,1,0,1,0,0.1,500,0.0002,0
0.0004,1,0,0,0,0,276.165,1,0,1,0,0.1,500,0.0002,0
0.0006,1,0,0,0,0,276.165,1,0,1,0,0.1,500,0.0002,0
0.0006,1,0,0,0,0,272.826,1,0,1,0,0.1,500,0.0002,0
0.0008,1,0,0,0,0,272.826,1,0,1,0,0.1,500,0.0002,0
0.0008,1,0,0,0,0,269.487,1,0,1,0,0.1,500,0.0002,0
0.001,1,0,0,0,0,269.487,1,0,1,0,0.1,500,0.0002,0
0.001,1,0,0,0,0,266.149,1,0,1,0,0.1,500,0.0002,0
0.0012,1,0,0,0,0,266.149,1,0,1,0,0.1,500,0.0002,0
0.0012,1,0,0,0,0,262.81,1,0,1,0,0.1,500,0.0002,0
0.0014,1,0,0,0,0,262.81,1,0,1,0,0.1,500,0.0002,0
0.0014,1,0,0,0,0,259.471,1,0,1,0,0.1,500,0.0002,0
0.0016,1,0,0,0,0,259.471,1,0,1,0,0.1,500,0.0002,0
0.0016,1,0,0,0,0,256.133,1,0,1,0,0.1,500,0.0002,0
0.0018,1,0,0,0,0,256.133,1,0,1,0,0.1,500,0.0002,0
0.0018,1,0,0,0,0,252.795,1,0,1,0,0.1,500,0.0002,0
0.002,1,0,0,0,0,252.795,1,0,1,0,0.1,500,0.0002,0
0.002,1,0,0,0,0,249.456,1,0,1,0,0.1,500,0.0002,0
0.0022,1,0,0,0,0,249.456,1,0,1,0,0.1,500,0.0002,0
0.0022,1,0,0,0,0,246.118,1,0,1,0,0.1,500,0.0002,0
0.0024,1,0,0,0,0,246.118,1,0,1,0,0.1,500,0.0002,0
0.0024,1,0,0,0,0,242.78,1,0,1,0,0.1,500,0.0002,0
0.0026,1,0,0,0,0,242.78,1,0,1,0,0.1,500,0.0002,0
0.0026,1,0,0,0,0,239.441,1,0,1,0,0.1,500,0.0002,0
0.0028,1,0,0,0,0,239.441,1,0,1,0,0.1,500,0.0002,0
0.0028,1,0,0,0,0,236.103,1,0,1,0,0.1,500,0.0002,0
0.003,1,0,0,0,0,236.103,1,0,1,0,0.1,500,0.0002,0
0.003,1,0,0,0,0,232.765,1,0,1,0,0.1,500,0.0002,0
0.0032,1,0,0,0,0,232.765,1,0,1,0,0.1,500,0.0002,0
0.0032,1,0,0,0,0,229.427,1,0,1,0,0.1,500,0.0002,0
0.0034,1,0,0,0,0,229.427,1,0,1,0,0.1,500,0.0002,0
0.0034,1,0,0,0,0,226.09,1,0,1,0,0.1,500,0.0002,0
0.0036,1,0,0,0,0,226.09,1,0,1,0,0.1,500,0.0002,0
0.0036,1,0,0,0,0,222.752,1,0,1,0,0.1,500,0.0002,0
