"Time","temperatureSensor.port.T"
0,293.15
0,293.15
0.001,293.15
0.002,293.15
0.003,293.15
0.004,293.15
0.005,293.15
0.006,293.15
0.007,293.15
0.008,293.15
0.009,293.15
0.01,293.15
0.011,293.15
0.012,293.15
0.013,293.15
0.014,293.15
0.015,293.15
0.016,293.15
0.017,293.15
0.018,293.15
0.019,293.15
0.02,293.15
0.021,293.15
0.022,293.15
0.023,293.15
0.024,293.15
0.025,293.15
0.026,293.15
0.027,293.15
0.028,293.15
0.029,293.15
0.03,293.15
0.031,293.15
0.032,293.15
0.033,293.15
0.034,293.15
0.035,293.15
0.036,293.15
0.037,293.15
0.038,293.15
0.039,293.15
0.04,293.15
0.041,293.15
0.042,293.15
0.043,293.15
0.044,293.15
0.045,293.15
0.046,293.15
0.047,293.15
0.048,293.15
0.049,293.15
0.05,293.15
0.051,293.15
0.052,293.15
0.053,293.15
0.054,293.15
0.055,293.15
0.056,293.15
0.057,293.15
0.058,293.15
0.059,293.15
0.06,293.15
0.061,293.15
0.062,293.15
0.063,293.15
0.064,293.15
0.065,293.15
0.066,293.15
0.067,293.15
0.068,293.15
0.069,293.15
0.07,293.15
0.071,293.15
0.072,293.15
0.073,293.15
0.074,293.15
0.075,293.15
0.076,293.15
0.077,293.15
0.078,293.15
0.079,293.15
0.08,293.15
0.081,293.15
0.082,293.15
0.083,293.15
0.084,293.15
0.085,293.15
0.086,293.15
0.087,293.15
0.088,293.15
0.089,293.15
0.09,293.15
0.091,293.15
0.092,293.15
0.093,293.15
0.094,293.15
0.095,293.15
0.096,293.15
0.097,293.15
0.098,293.15
0.099,293.15
0.1,293.15
0.101,293.15
0.102,293.15
0.103,293.15
0.104,293.15
0.105,293.15
0.106,293.15
0.107,293.15
0.108,293.15
0.109,293.15
0.11,293.15
0.111,293.15
0.112,293.15
0.113,293.15
0.114,293.15
0.115,293.15
0.116,293.15
0.117,293.15
0.118,293.15
0.119,293.15
0.12,293.15
0.121,293.15
0.122,293.15
0.123,293.15
0.124,293.15
0.125,293.15
0.126,293.15
0.127,293.15
0.128,293.15
0.129,293.15
0.13,293.15
0.131,293.15
0.132,293.15
0.133,293.15
0.134,293.15
0.135,293.15
0.136,293.15
0.137,293.15
0.138,293.15
0.139,293.15
0.14,293.15
0.141,293.15
0.142,293.15
0.143,293.15
0.144,293.15
0.145,293.15
0.146,293.15
0.147,293.15
0.148,293.15
0.149,293.15
0.15,293.15
0.151,293.15
0.152,293.15
0.153,293.15
0.154,293.15
0.155,293.15
0.156,293.15
0.157,293.15
0.158,293.15
0.159,293.15
0.16,293.15
0.161,293.15
0.162,293.15
0.163,293.15
0.164,293.15
0.165,293.15
0.166,293.15
0.167,293.15
0.168,293.15
0.169,293.15
0.17,293.15
0.171,293.15
0.172,293.15
0.173,293.15
0.174,293.15
0.175,293.15
0.176,293.15
0.177,293.15
0.178,293.15
0.179,293.15
0.18,293.15
0.181,293.15
0.182,293.15
0.183,293.15
0.184,293.15
0.185,293.15
0.186,293.15
0.187,293.15
0.188,293.15
0.189,293.15
0.19,293.15
0.191,293.15
0.192,293.15
0.193,293.15
0.194,293.15
0.195,293.15
0.196,293.15
0.197,293.15
0.198,293.15
0.199,293.15
0.2,293.15
0.201,293.15
0.202,293.15
0.203,293.15
0.204,293.15
0.205,293.15
0.206,293.15
0.207,293.15
0.208,293.15
0.209,293.15
0.21,293.15
0.211,293.15
0.212,293.15
0.213,293.15
0.214,293.15
0.215,293.15
0.216,293.15
0.217,293.15
0.218,293.15
0.219,293.15
0.22,293.15
0.221,293.15
0.222,293.15
0.223,293.15
0.224,293.15
0.225,293.15
0.226,293.15
0.227,293.15
0.228,293.15
0.229,293.15
0.23,293.15
0.231,293.15
0.232,293.15
0.233,293.15
0.234,293.15
0.235,293.15
0.236,293.15
0.237,293.15
0.238,293.15
0.239,293.15
0.24,293.15
0.241,293.15
0.242,293.15
0.243,293.15
0.244,293.15
0.245,293.15
0.246,293.15
0.247,293.15
0.248,293.15
0.249,293.15
0.25,293.15
0.251,293.15
0.252,293.15
0.253,293.15
0.254,293.15
0.255,293.15
0.256,293.15
0.257,293.15
0.258,293.15
0.259,293.15
0.26,293.15
0.261,293.15
0.262,293.15
0.263,293.15
0.264,293.15
0.265,293.15
0.266,293.15
0.267,293.15
0.268,293.15
0.269,293.15
0.27,293.15
0.271,293.15
0.272,293.15
0.273,293.15
0.274,293.15
0.275,293.15
0.276,293.15
0.277,293.15
0.278,293.15
0.279,293.15
0.28,293.15
0.281,293.15
0.282,293.15
0.283,293.15
0.284,293.15
0.285,293.15
0.286,293.15
0.287,293.15
0.288,293.15
0.289,293.15
0.29,293.15
0.291,293.15
0.292,293.15
0.293,293.15
0.294,293.15
0.295,293.15
0.296,293.15
0.297,293.15
0.298,293.15
0.299,293.15
0.3,293.15
0.301,293.15
0.302,293.15
0.303,293.15
0.304,293.15
0.305,293.15
0.306,293.15
0.307,293.15
0.308,293.15
0.309,293.15
0.31,293.15
0.311,293.15
0.312,293.15
0.313,293.15
0.314,293.15
0.315,293.15
0.316,293.15
0.317,293.15
0.318,293.15
0.319,293.15
0.32,293.15
0.321,293.15
0.322,293.15
0.323,293.15
0.324,293.15
0.325,293.15
0.326,293.15
0.327,293.15
0.328,293.15
0.329,293.15
0.33,293.15
0.331,293.15
0.332,293.15
0.333,293.15
0.334,293.15
0.335,293.15
0.336,293.15
0.337,293.15
0.338,293.15
0.339,293.15
0.34,293.15
0.341,293.15
0.342,293.15
0.343,293.15
0.344,293.15
0.345,293.15
0.346,293.15
0.347,293.15
0.348,293.15
0.349,293.15
0.35,293.15
0.351,293.15
0.352,293.15
0.353,293.15
0.354,293.15
0.355,293.15
0.356,293.15
0.357,293.15
0.358,293.15
0.359,293.15
0.36,293.15
0.361,293.15
0.362,293.15
0.363,293.15
0.364,293.15
0.365,293.15
0.366,293.15
