"time","T2","freqHz","J1.phi","J1.w","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel"
0.00000000000000E+00,4.00000000000000E-01,2.00000000000000E-01,0.00000000000000E+00,1.00000000000000E+01,0.00000000000000E+00,-1.00000000000000E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,9.95520989212589E-02,9.91557839966137E+00,-9.90521041506817E-02,-9.81558056364673E+00,-4.99994770577276E-04,-9.99978360146458E-02,0.00000000000000E+00,0.00000000000000E+00
2.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,1.98410861723649E-01,9.86082379556564E+00,-1.96410953654412E-01,-9.66084291350578E+00,-1.99990806923718E-03,-1.99980882059854E-01,0.00000000000000E+00,0.00000000000000E+00
3.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,2.96852884564549E-01,9.83129201924691E+00,-2.92353373339799E-01,-9.53135866912942E+00,-4.49951122474987E-03,-2.99933350117496E-01,0.00000000000000E+00,0.00000000000000E+00
4.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,3.95097854885512E-01,9.82012344450379E+00,-3.87099434601885E-01,-9.42028398850153E+00,-7.99842028362651E-03,-3.99839456002263E-01,0.00000000000000E+00,0.00000000000000E+00
5.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,4.93287701031402E-01,9.81864054679317E+00,-4.80791607916039E-01,-9.31895712373870E+00,-1.24960931153624E-02,-4.99683423054478E-01,0.00000000000000E+00,0.00000000000000E+00
6.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,5.91470969549180E-01,9.81724958343019E+00,-5.73479140483459E-01,-9.21780009827769E+00,-1.79918290657216E-02,-5.99449485152501E-01,0.00000000000000E+00,0.00000000000000E+00
7.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,6.89600574043170E-01,9.80633490980367E+00,-6.65115803579813E-01,-9.10721302186488E+00,-2.44847704633567E-02,-6.99121887938784E-01,0.00000000000000E+00,0.00000000000000E+00
8.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,7.87536693347900E-01,9.77719382371722E+00,-7.55562791254641E-01,-8.97850893189247E+00,-3.19739020932589E-02,-7.98684891824748E-01,0.00000000000000E+00,0.00000000000000E+00
9.00000000000000E-02,4.00000000000000E-01,2.00000000000000E-01,8.85060735837930E-01,9.72297325550720E+00,-8.44602684616602E-01,-8.82485048068157E+00,-4.04580512213279E-02,-8.98122774825631E-01,0.00000000000000E+00,0.00000000000000E+00
