    "time","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel",  "J1.phi",    "J1.w"
      0.57,-2.9207637,-1.3774733,-1.2676011,-1.8264223,-0.14452112,      -1.7, 4.3328859, 4.9038956
      0.58,-2.9339354,-1.2566133,-1.2852413,-1.7014855,-0.16202112,      -1.8, 4.3811978, 4.7580989
      0.59,-2.9460255,-1.1624488, -1.301628,-1.5757126,-0.18052112,      -1.9, 4.4281745, 4.6381615
       0.6, -2.957314,-1.0999188,-1.3167527,-1.4490918,-0.20002112,        -2, 4.4740878, 4.5490107
      0.61,-2.9681548,-1.0703486,-1.3306065,-1.3216109,-0.22052112,      -2.1, 4.5192824, 4.4919595
      0.62,-2.9788559,-1.0725988, -1.343162,-1.1932462,-0.24203606,      -2.2, 4.5640539,  4.465845
      0.63, -2.989717,-1.1011541,-1.3544483,-1.0640119,-0.26453629,      -2.3, 4.6087015,  4.465166
      0.64,-3.0009678,-1.1497093, -1.364438,-0.93388437,-0.28803632,      -2.4, 4.6534421, 4.4835937
      0.65,-3.0127527,-1.2103499,-1.3731227,-0.80285332,-0.31253631,      -2.5, 4.6984118, 4.5132033
      0.66,-3.0251556,-1.2728486,-1.3804926,-0.67090697,-0.3380363,      -2.6, 4.7436845, 4.5437556
      0.67,-3.0381665,-1.3273225, -1.386538,-0.53803408,-0.3645363,      -2.7, 4.7892409, 4.5653566
      0.68,-3.0516394,-1.3655342,  -1.39125,-0.40422444,-0.39203631,      -2.8, 4.8349256, 4.5697587
      0.69,-3.0653778,-1.3807043,-1.3946191,-0.2694677,-0.42053631,      -2.9, 4.8805333,  4.550172
       0.7,-3.0791364,-1.3671592,-1.3966083,-0.13373398,-0.45005663,        -3, 4.9258014, 4.5008932
      0.71,-3.0926004, -1.323542, -1.397262,1.01915e-016,-0.48055701,-3.0985254, 4.9704195, 4.4220674
      0.72,-3.1051231,-1.1841282, -1.397262,1.01915e-016,-0.51170663,-3.1296828, 5.0140917, 4.3138111
      0.73,-3.1161589,-1.0219657, -1.397262,1.01915e-016,-0.54315738,-3.1603586, 5.0565783, 4.1823244
      0.74,-3.1254898,-0.84291892, -1.397262,1.01915e-016,-0.57491216,-3.1905365,  5.097664, 4.0334554
      0.75,-3.1329863,-0.65552972, -1.397262,1.01915e-016,-0.60696632,-3.2202112, 5.1372146, 3.8757409
