"time","step-size","source.i.Q","source.i.QI","source.i.y","source.i.y1","source.i.y2","source.i.y3","source.i.y4","source.i.y5","source.i.y6"
0.0,0.0,1,0,0,0,1,0,1,0,0
1.0E-7,1.0E-7,1,0,0,0,1,0,1,0,0
0.20000010000000001,0.2,1,0,0,0,1,0,1,0,0
0.4000001,0.2,0,1,0,0,1,0,1,0,0
0.6000001,0.2,1,0,0,0,1,0,1,0,0
0.8000001000000001,0.2,0,1,0,2,0,0,1,1,0
1.0000001,0.2,1,0,0,4,1,0,1,0,0
1.2000001,0.2,1,0,0,4,1,0,1,0,0
1.4000001,0.2,0,1,0,4,1,0,1,0,0
1.6000001,0.2,1,0,0,4,1,0,1,0,0
1.8000000999999999,0.2,0,1,0,6,0,0,1,1,0
2.0000001,0.2,1,0,0,8,1,0,1,0,0
2.2000001,0.2,1,0,0,8,1,0,1,0,0
2.4000001,0.2,0,1,0,8,1,0,1,0,0
2.6000001000000004,0.2,1,0,0,8,1,0,1,0,0
2.8000001000000005,0.2,0,1,0,10,0,0,1,1,0
3.0000001000000007,0.2,1,0,0,12,1,0,1,0,1
3.200000100000001,0.2,1,0,0,12,1,0,1,0,1
3.400000100000001,0.2,0,1,0,12,1,0,1,0,1
3.6000001000000013,0.2,1,0,0,12,1,0,1,0,1
3.8000001000000014,0.2,0,1,0,14,0,0,1,1,1
4.000000100000001,0.2,1,0,0,16,1,0,1,0,0
4.200000100000001,0.2,1,0,0,16,1,0,1,0,0
4.4000001000000015,0.2,0,1,0,16,1,0,1,0,0
4.600000100000002,0.2,1,0,0,16,1,0,1,0,0
4.800000100000002,0.2,0,1,0,18,0,0,1,1,0
5.000000100000002,0.2,1,0,0,20,1,0,1,0,0
5.200000100000002,0.2,1,0,0,20,1,0,1,0,0
5.400000100000002,0.2,0,1,0,20,1,0,1,0,0
5.600000100000003,0.2,1,0,0,20,1,0,1,0,0
5.800000100000003,0.2,0,1,0,22,0,0,1,1,0
6.000000100000003,0.2,1,0,0,24,1,0,1,0,0
6.200000100000003,0.2,1,0,0,24,1,0,1,0,0
6.400000100000003,0.2,0,1,0,24,1,0,1,0,0
6.6000001000000035,0.2,1,0,0,24,1,0,1,0,0
6.800000100000004,0.2,0,1,0,26,0,0,1,1,0
7.000000100000004,0.2,1,0,0,28,1,0,1,0,0
7.200000100000004,0.2,1,0,0,28,1,0,1,0,0
7.400000100000004,0.2,0,1,0,28,1,0,1,0,0
7.600000100000004,0.2,1,0,0,28,1,0,1,0,0
7.8000001000000045,0.2,0,1,0,30,0,0,1,1,0
8.000000100000005,0.2,1,0,0,32,1,0,1,0,1
8.200000100000004,0.2,1,0,0,32,1,0,1,0,1
8.400000100000003,0.2,0,1,0,32,1,0,1,0,1
8.600000100000003,0.2,1,0,0,32,1,0,1,0,1
8.800000100000002,0.2,0,1,0,34,0,0,1,1,1
9.000000100000001,0.2,1,0,0,36,1,0,1,0,0
9.2000001,0.2,1,0,0,36,1,0,1,0,0
9.4000001,0.2,0,1,0,36,1,0,1,0,0
9.600000099999999,0.2,1,0,0,36,1,0,1,0,0
9.800000099999998,0.2,0,1,0,38,0,0,1,1,0
