Time,tShiftStart,egsTargetGear,egsGear,egsState,egsCarSpeed,valves_eds5,valves_eds4,valves_eds3,valves_eds2,valves_eds1,valves_eds,valves_mv3,valves_mv2,valves_mv1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,-2.0,2.0,2.24e-65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,-2.0,2.0,4.01e-65,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,-2.0,2.0,2.37e-65,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,-2.0,2.0,3.89e-65,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,-2.0,2.0,2.46e-65,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,-2.0,2.0,-6.74e-66,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,-2.0,2.0,-8.51e-66,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,-2.0,2.0,-1.35e-64,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,-2.0,2.0,-2.2e-66,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,-2.0,2.0,-5.21e-66,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0
0.11,0.0,0.0,-2.0,2.0,-2.17e-64,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,-2.0,2.0,1.22e-64,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0
0.13,0.0,0.0,-2.0,2.0,8.7e-65,0.0,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.0,-2.0,2.0,8.37e-65,0.0,0.0,0.26,0.26,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,-2.0,2.0,-7.71e-65,0.0,0.0,0.28,0.28,0.0,0.0,0.0,0.0,0.0
0.16,0.0,0.0,-2.0,2.0,-4.35e-66,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,-2.0,2.0,2.63e-12,0.0,0.0,0.32,0.32,0.0,0.0,0.0,0.0,0.0
0.18,0.0,0.0,-2.0,2.0,-2.58e-13,0.0,0.0,0.34,0.34,0.0,0.0,0.0,0.0,0.0
0.19,0.0,0.0,-2.0,2.0,-2.12e-13,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,-2.0,2.0,-1.94e-14,0.0,0.0,0.38,0.38,0.0,0.0,0.0,0.0,0.0
0.21,0.0,0.0,-2.0,2.0,1.42e-14,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0
0.22,0.0,0.0,-2.0,2.0,-3.22e-14,0.0,0.0,0.42,0.42,0.0,0.0,0.0,0.0,0.0
0.23,0.0,0.0,-2.0,2.0,-9.48e-15,0.0,0.0,0.44,0.44,0.0,0.0,0.0,0.0,0.0
0.24,0.0,0.0,-2.0,2.0,3.66e-15,0.0,0.0,0.46,0.46,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,-2.0,2.0,-9.86e-15,0.0,0.0,0.48,0.48,0.0,0.0,0.0,0.0,0.0
0.26,0.0,0.0,-2.0,2.0,-1.14e-15,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
0.27,0.0,0.0,-2.0,2.0,1.02e-15,0.0,0.0,0.52,0.52,0.0,0.0,0.0,0.0,0.0
0.28,0.0,0.0,-2.0,2.0,8.98e-16,0.0,0.0,0.54,0.54,0.0,0.0,0.0,0.0,0.0
0.29,0.0,0.0,-2.0,2.0,1.14e-15,0.0,0.0,0.56,0.56,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,-2.0,2.0,1.36e-15,0.0,0.0,0.58,0.58,0.0,0.0,0.0,0.0,0.0
0.31,0.0,0.0,-2.0,2.0,1.18e-15,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0
0.32,0.0,0.0,-2.0,2.0,0.84,0.0,0.0,0.62,0.62,0.0,0.0,0.0,0.0,0.0
0.33,0.0,0.0,-2.0,2.0,-0.817,0.0,0.0,0.64,0.64,0.0,0.0,0.0,0.0,0.0
0.34,0.0,0.0,-2.0,2.0,-0.401,0.0,0.0,0.66,0.66,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,-2.0,2.0,0.0124,0.0,0.0,0.68,0.68,0.0,0.0,0.0,0.0,0.0
0.36,0.0,0.0,-2.0,2.0,0.118,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0
0.37,0.0,0.0,-2.0,2.0,0.138,0.0,0.0,0.72,0.72,0.0,0.0,0.0,0.0,0.0
0.38,0.0,0.0,-2.0,2.0,0.146,0.0,0.0,0.74,0.74,0.0,0.0,0.0,0.0,0.0
0.39,0.0,0.0,-2.0,2.0,0.153,0.0,0.0,0.76,0.76,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,-2.0,2.0,0.16,0.0,0.0,0.78,0.78,0.0,0.0,0.0,0.0,0.0
0.41,0.0,0.0,-2.0,2.0,0.168,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0
0.42,0.0,0.0,-2.0,2.0,0.176,0.0,0.0,0.82,0.82,0.0,0.0,0.0,0.0,0.0
0.43,0.0,0.0,-2.0,2.0,0.184,0.0,0.0,0.84,0.84,0.0,0.0,0.0,0.0,0.0
0.44,0.0,0.0,-2.0,2.0,0.191,0.0,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,-2.0,2.0,0.199,0.0,0.0,0.88,0.88,0.0,0.0,0.0,0.0,0.0
0.46,0.0,0.0,-2.0,2.0,0.207,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0
0.47,0.0,0.0,-2.0,2.0,0.222,0.0,0.0,0.92,0.92,0.0,0.0,0.0,0.0,0.0
0.48,0.0,0.0,-2.0,2.0,0.256,0.0,0.0,0.94,0.94,0.0,0.0,0.0,0.0,0.0
0.49,0.0,0.0,-2.0,2.0,0.317,0.0,0.0,0.96,0.96,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,-2.0,2.0,0.267,0.0,0.0,0.98,0.98,0.0,0.0,0.0,0.0,0.0
0.51,0.0,0.0,-2.0,2.0,0.229,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.52,0.0,0.0,-2.0,2.0,0.151,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.53,0.0,0.0,-2.0,2.0,0.214,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.54,0.0,0.0,-2.0,2.0,0.237,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,-2.0,2.0,0.244,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.56,0.0,0.0,-2.0,2.0,0.247,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.57,0.0,0.0,-2.0,2.0,0.247,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.58,0.0,0.0,-2.0,2.0,0.247,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.59,0.0,0.0,-2.0,2.0,0.247,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,-2.0,2.0,0.247,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.61,0.0,0.0,-2.0,2.0,0.247,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.62,0.0,0.0,-2.0,2.0,0.246,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.63,0.0,0.0,-2.0,2.0,0.246,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.64,0.0,0.0,-2.0,2.0,0.246,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.65,0.0,0.0,-2.0,2.0,0.246,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.66,0.0,0.0,-2.0,2.0,0.245,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.67,0.0,0.0,-2.0,2.0,0.245,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.68,0.0,0.0,-2.0,2.0,0.245,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.69,0.0,0.0,-2.0,2.0,0.244,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,-2.0,2.0,0.244,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.71,0.0,0.0,-2.0,2.0,0.244,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.72,0.0,0.0,-2.0,2.0,0.243,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.73,0.0,0.0,-2.0,2.0,0.243,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.74,0.0,0.0,-2.0,2.0,0.243,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,-2.0,2.0,0.243,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.76,0.0,0.0,-2.0,2.0,0.242,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.77,0.0,0.0,-2.0,2.0,0.242,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.78,0.0,0.0,-2.0,2.0,0.242,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.79,0.0,0.0,-2.0,2.0,0.241,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,-2.0,2.0,0.241,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.81,0.0,0.0,-2.0,2.0,0.241,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.82,0.0,0.0,-2.0,2.0,0.24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.83,0.0,0.0,-2.0,2.0,0.24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.84,0.0,0.0,-2.0,2.0,0.24,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
