"time","x0","der(x0)","x1","der(x1)"
0,2,0,0,-2
0.005,1.99952,-0.0101039,-0.0101039,-1.96954
0.01,1.9991,-0.0188493,-0.0188493,-1.94318
0.015,1.99869,-0.0275947,-0.0275947,-1.91682
0.02,1.99827,-0.0363401,-0.0363401,-1.89046
0.025,1.99786,-0.0450855,-0.0450855,-1.8641
0.03,1.99744,-0.0538309,-0.0538309,-1.83774
0.035,1.99703,-0.0625762,-0.0625762,-1.81137
0.04,1.99661,-0.0713216,-0.0713216,-1.78501
0.045,1.99619,-0.080067,-0.080067,-1.75865
0.05,1.99578,-0.0888124,-0.0888124,-1.73229
0.055,1.99536,-0.0975578,-0.0975578,-1.70593
0.06,1.99495,-0.106303,-0.106303,-1.67957
0.065,1.99453,-0.115049,-0.115049,-1.6532
0.07,1.99412,-0.123794,-0.123794,-1.62684
0.075,1.9937,-0.132539,-0.132539,-1.60048
0.08,1.99329,-0.141285,-0.141285,-1.57412
0.085,1.99287,-0.15003,-0.15003,-1.54776
0.09,1.99245,-0.158776,-0.158776,-1.5214
0.095,1.99204,-0.167521,-0.167521,-1.49503
0.1,1.99169,-0.174908,-0.174908,-1.47277
0.105,1.99051,-0.181364,-0.181364,-1.45385
0.11,1.98933,-0.187821,-0.187821,-1.43494
0.115,1.98814,-0.194277,-0.194277,-1.41603
0.12,1.98696,-0.200733,-0.200733,-1.39711
0.125,1.98578,-0.20719,-0.20719,-1.3782
0.13,1.9846,-0.213646,-0.213646,-1.35928
0.135,1.98342,-0.220102,-0.220102,-1.34037
0.14,1.98224,-0.226559,-0.226559,-1.32145
0.145,1.98106,-0.233015,-0.233015,-1.30254
0.15,1.97988,-0.239472,-0.239472,-1.28363
0.155,1.9787,-0.245928,-0.245928,-1.26471
0.16,1.97752,-0.252384,-0.252384,-1.2458
0.165,1.97634,-0.258841,-0.258841,-1.22688
0.17,1.97515,-0.265297,-0.265297,-1.20797
0.175,1.97397,-0.271753,-0.271753,-1.18906
0.18,1.97279,-0.27821,-0.27821,-1.17014
0.185,1.97161,-0.284666,-0.284666,-1.15123
0.19,1.97043,-0.291123,-0.291123,-1.13231
0.195,1.96925,-0.297579,-0.297579,-1.1134
0.2,1.96807,-0.304035,-0.304035,-1.09449
0.205,1.96632,-0.308889,-0.308889,-1.08153
0.21,1.96457,-0.313742,-0.313742,-1.06857
0.215,1.96282,-0.318596,-0.318596,-1.05561
0.22,1.96107,-0.323449,-0.323449,-1.04266
0.225,1.95932,-0.328302,-0.328302,-1.0297
0.23,1.95757,-0.333156,-0.333156,-1.01674
0.235,1.95582,-0.338009,-0.338009,-1.00378
0.24,1.95407,-0.342863,-0.342863,-0.990827
0.245,1.95232,-0.347716,-0.347716,-0.97787
0.25,1.95058,-0.352569,-0.352569,-0.964913
0.255,1.94883,-0.357423,-0.357423,-0.951956
0.26,1.94708,-0.362276,-0.362276,-0.938998
0.265,1.94533,-0.36713,-0.36713,-0.926041
0.27,1.94358,-0.371983,-0.371983,-0.913084
0.275,1.94183,-0.376836,-0.376836,-0.900126
0.28,1.94008,-0.38169,-0.38169,-0.887169
0.285,1.93833,-0.386543,-0.386543,-0.874212
0.29,1.93658,-0.391397,-0.391397,-0.861255
0.295,1.93483,-0.39625,-0.39625,-0.848297
0.3,1.93308,-0.401103,-0.401103,-0.83534
0.305,1.9309,-0.40488,-0.40488,-0.826799
0.31,1.92872,-0.408656,-0.408656,-0.818258
0.315,1.92653,-0.412432,-0.412432,-0.809717
0.32,1.92435,-0.416209,-0.416209,-0.801176
0.325,1.92217,-0.419985,-0.419985,-0.792635
0.33,1.91999,-0.423761,-0.423761,-0.784094
0.335,1.9178,-0.427537,-0.427537,-0.775553
0.34,1.91562,-0.431314,-0.431314,-0.767012
0.345,1.91344,-0.43509,-0.43509,-0.758471
0.35,1.91126,-0.438866,-0.438866,-0.74993
0.355,1.90907,-0.442642,-0.442642,-0.741389
0.36,1.90689,-0.446419,-0.446419,-0.732848
0.365,1.90471,-0.450195,-0.450195,-0.724307
0.37,1.90253,-0.453971,-0.453971,-0.715765
0.375,1.90034,-0.457748,-0.457748,-0.707224
0.38,1.89816,-0.461524,-0.461524,-0.698683
0.385,1.89598,-0.4653,-0.4653,-0.690142
0.39,1.8938,-0.469076,-0.469076,-0.681601
0.395,1.89161,-0.472853,-0.472853,-0.67306
0.4,1.88943,-0.476629,-0.476629,-0.664519
0.405,1.8869,-0.47971,-0.47971,-0.659144
0.41,1.88438,-0.482791,-0.482791,-0.653769
0.415,1.88185,-0.485873,-0.485873,-0.648394
0.42,1.87933,-0.488954,-0.488954,-0.643019
0.425,1.8768,-0.492035,-0.492035,-0.637644
0.43,1.87427,-0.495116,-0.495116,-0.632268
0.435,1.87175,-0.498197,-0.498197,-0.626893
0.44,1.86922,-0.501279,-0.501279,-0.621518
0.445,1.86669,-0.50436,-0.50436,-0.616143
0.45,1.86417,-0.507441,-0.507441,-0.610768
0.455,1.86164,-0.510522,-0.510522,-0.605393
0.46,1.85911,-0.513604,-0.513604,-0.600018
0.465,1.85659,-0.516685,-0.516685,-0.594643
0.47,1.85406,-0.519766,-0.519766,-0.589267
0.475,1.85154,-0.522847,-0.522847,-0.583892
0.48,1.84901,-0.525928,-0.525928,-0.578517
0.485,1.84648,-0.52901,-0.52901,-0.573142
0.49,1.84396,-0.532091,-0.532091,-0.567767
0.495,1.84143,-0.535172,-0.535172,-0.562392
0.5,1.8389,-0.538253,-0.538253,-0.557017
0.505,1.83609,-0.540911,-0.540911,-0.553898
0.51,1.83328,-0.54357,-0.54357,-0.55078
0.515,1.83046,-0.546228,-0.546228,-0.547662
0.52,1.82765,-0.548886,-0.548886,-0.544543
0.525,1.82484,-0.551545,-0.551545,-0.541425
0.53,1.82202,-0.554203,-0.554203,-0.538306
0.535,1.81921,-0.556861,-0.556861,-0.535188
0.54,1.8164,-0.55952,-0.55952,-0.53207
0.545,1.81358,-0.562178,-0.562178,-0.528951
0.55,1.81077,-0.564836,-0.564836,-0.525833
0.555,1.80796,-0.567495,-0.567495,-0.522715
0.56,1.80514,-0.570153,-0.570153,-0.519596
0.565,1.80233,-0.572811,-0.572811,-0.516478
0.57,1.79952,-0.575469,-0.575469,-0.513359
0.575,1.7967,-0.578128,-0.578128,-0.510241
0.58,1.79389,-0.580786,-0.580786,-0.507123
0.585,1.79108,-0.583444,-0.583444,-0.504004
0.59,1.78826,-0.586103,-0.586103,-0.500886
0.595,1.78545,-0.588761,-0.588761,-0.497768
