Time,step2,J1_w,J2_w,J3_w,J4_w,
0,0,1.08745e-311,3.19854e-308,9.89472e-315,9.1089e-307,
0.003,0,9.97142,0.0299999,-2.31759e-015,-2.31751e-015,
0.006,0,9.94565,0.0599994,-1.88738e-015,-1.88712e-015,
0.009,0,9.92263,0.0899982,-4.996e-016,-4.99252e-016,
0.012,0,9.90232,0.119996,-2.13718e-015,-2.13659e-015,
0.015,0,9.88463,0.149992,-1.41553e-015,-1.41465e-015,
0.018,0,9.86945,0.179985,-6.10623e-016,-6.09634e-016,
0.021,0,9.85664,0.209977,-1.4988e-015,-1.49779e-015,
0.024,0,9.84607,0.239965,-9.71445e-016,-9.70351e-016,
0.027,0,9.83756,0.26995,1.11022e-015,1.11137e-015,
0.03,0,9.83094,0.299932,-3.33067e-016,-3.319e-016,
0.033,0,9.82603,0.329909,2.16493e-015,2.16612e-015,
0.036,0,9.82258,0.359882,-1.38778e-015,-1.38654e-015,
0.039,0,9.82034,0.38985,-5.55112e-017,-5.41786e-017,
0.042,0,9.81907,0.419813,2.22045e-016,2.2352e-016,
0.045,0,9.81849,0.449769,6.10623e-016,6.12243e-016,
0.048,0,9.81835,0.479719,-1.66533e-015,-1.6636e-015,
0.051,0,9.81839,0.509663,1.11022e-016,1.12813e-016,
0.054,0,9.81835,0.539599,-5.55112e-016,-5.53315e-016,
0.057,0,9.81797,0.569528,9.99201e-016,1.00096e-015,
0.06,0,9.81698,0.599448,2.22045e-016,2.23781e-016,
0.063,0,9.81514,0.629361,-9.99201e-016,-9.97466e-016,
0.066,0,9.81218,0.659264,-5.55112e-016,-5.53349e-016,
0.069,0,9.80789,0.689158,-6.66134e-016,-6.64348e-016,
0.072,0,9.80203,0.719043,-2.22045e-015,-2.21864e-015,
0.075,0,9.79436,0.748917,-1.66533e-015,-1.66353e-015,
0.078,0,9.78473,0.778781,-2.44249e-015,-2.44082e-015,
0.081,0,9.77294,0.808633,-1.11022e-015,-1.10886e-015,
0.084,0,9.75879,0.838475,-2.22045e-016,-2.21241e-016,
0.087,0,9.74221,0.868304,-5.55112e-016,-5.54939e-016,
0.09,0,9.72303,0.898122,-1.44329e-015,-1.4439e-015,
0.093,0,9.70117,0.927926,-1.11022e-016,-1.12554e-016,
0.096,0,9.67656,0.957718,5.55112e-016,5.52717e-016,
0.099,0,9.64917,0.987496,1.44329e-015,1.44017e-015,
0.102,0,9.61895,1.01726,0,-3.58947e-018,
0.105,0,9.58592,1.04701,0,-3.96918e-018,
0.108,0,9.55012,1.07674,6.66134e-016,6.61848e-016,
0.111,0,9.51159,1.10646,-2.22045e-016,-2.26539e-016,
0.114,0,9.47041,1.13617,6.66134e-016,6.6144e-016,
0.117,0,9.42669,1.16586,1.11022e-015,1.10522e-015,
0.12,0,9.38055,1.19553,2.22045e-016,2.16528e-016,
0.123,0,9.33213,1.22518,2.44249e-015,2.43632e-015,
0.126,0,9.28161,1.25482,-2.22045e-016,-2.28781e-016,
0.129,0,9.22917,1.28444,2.22045e-016,2.14754e-016,
0.132,0,9.17502,1.31404,2.44249e-015,2.4347e-015,
0.135,0,9.11935,1.34362,1.9984e-015,1.99019e-015,
0.138,0,9.06243,1.37319,6.66134e-016,6.57655e-016,
0.141,0,9.00449,1.40273,4.44089e-016,4.3553e-016,
