"time", "y", "y1", "y2", "y3", "y4", "y5"
0, 4, 0, 0, 1, 0, 0
0.0100000005305165, 4, 0, 0, 1, 0, 0.0188494328966571
0.0600000005305165, 4, 0, 0, 1, 0, 0.113070549009093
0.266501895190569, 4, 0, 0, 1, 0, 0.499999999999999
0.276501895190569, 4, 0, 1, 2, 0, 0.518575920922543
0.326501895190569, 4, 0, 1, 2, 0, 0.611133800177761
0.5000000015, 4, 0, 1, 2, 0, 0.927050985813891
0.5100000015, 6, 0, 1, 2, 0, 0.944959561649421
0.560000001500001, 6, 0, 1, 2, 0, 1.03392877217776
0.810000001500001, 6, 0, 1, 2, 0, 1.46175037964509
0.833333333333335, 6, 0, 1, 2, 0, 1.5
0.843333333333335, 6, 0, 2, 3, 0, 1.51629447815364
0.893333333333335, 6, 0, 2, 3, 0, 1.5968561759572
1, 6, 0, 2, 3, 0, 1.76335575687742
1.01, 4, 0, 2, 3, 1, 1.77857046048318
1.06, 4, 0, 2, 3, 1, 1.85357883927101
1.31, 4, 0, 2, 3, 1, 2.19976603866768
1.50000000250001, 4, 0, 2, 3, 1, 2.42705098589472
1.51000000250001, 6, 0, 2, 3, 1, 2.43808249604515
1.56000000250001, 6, 0, 2, 3, 1, 2.49178770021166
1.56785250661332, 6, 0, 2, 3, 1, 2.5
1.57785250661332, 6, 0, 3, 4, 1, 2.51037006765912
1.6000000026, 6, 0, 3, 4, 1, 2.53298377913207
1.6100000026, 2, 0, 3, 4, 1, 2.54303381085523
1.6600000026, 2, 0, 3, 4, 1, 2.59177025404671
1.9100000026, 2, 0, 3, 4, 1, 2.7962133391501
2, 2, 0, 3, 4, 1, 2.85316954888546
2.01, 4, 21, 3, 7, 2, 2.85893802455166
2.06, 4, 21, 3, 7, 2, 2.88608301475826
2.31, 4, 21, 3, 7, 2, 2.97864781370944
2.5000000035, 4, 21, 3, 7, 2, 3
2.5100000035, 6, 21, 3, 7, 2, 2.99994078252696
2.5600000035, 6, 21, 3, 7, 2, 2.99786841767311
2.8100000035, 6, 21, 3, 7, 2, 2.94327155105309
3, 6, 21, 3, 7, 2, 2.85316954888546
3.01, 4, 21, 3, 7, 3, 2.84728843497088
3.06, 4, 21, 3, 7, 3, 2.81620157296162
3.31, 4, 21, 3, 7, 3, 2.61978736442976
