"time","x0","x1"
0,2,0
0,2,0
0.1,1.99169,-0.174908
0.2,1.96807,-0.304035
0.3,1.93308,-0.401103
0.4,1.88943,-0.476629
0.5,1.8389,-0.538253
0.6,1.78264,-0.591419
0.7,1.72128,-0.640026
0.8,1.65516,-0.686945
0.9,1.58435,-0.734408
1,1.50869,-0.784277
1.1,1.42787,-0.838248
1.2,1.34141,-0.898006
1.3,1.24865,-0.965338
1.4,1.14875,-1.04224
1.5,1.04064,-1.13097
1.6,0.92303,-1.2341
1.7,0.794358,-1.35446
1.8,0.652769,-1.49489
1.9,0.496145,-1.65771
2,0.322197,-1.84352
2.1,0.128727,-2.04912
2.2,-0.0858518,-2.2641
2.3,-0.3216,-2.46643
2.4,-0.575714,-2.61908
2.5,-0.841064,-2.67258
2.6,-1.10549,-2.57943
2.7,-1.35308,-2.31969
2.8,-1.56801,-1.92107
2.9,-1.73927,-1.45213
3,-1.86334,-0.989529
3.1,-1.94354,-0.586777
3.2,-1.98705,-0.264824
3.3,-2.00195,-0.020658
3.4,-1.99544,0.159837
3.5,-1.97314,0.292866
3.6,-1.93915,0.392526
3.7,-1.89627,0.469694
3.8,-1.84639,0.532291
3.9,-1.79069,0.585957
4,-1.72987,0.634723
4.1,-1.66429,0.681543
4.2,-1.59402,0.728692
4.3,-1.51896,0.778055
4.4,-1.4388,0.831331
4.5,-1.35307,0.890192
4.6,-1.26114,0.956402
4.7,-1.16218,1.03192
4.8,-1.05518,1.11896
4.9,-0.938861,1.22007
5,-0.811696,1.33804
