"time","J1.der(w)","clutch1.der(phi_rel)","clutch1.der(w_rel)","J2.der(phi)","clutch2.der(phi_rel)","clutch2.der(w_rel)","J1.w","J1.der(phi)","clutch1.phi_rel","clutch1.w_rel","clutch1.w_relfric","J2.phi","clutch2.phi_rel","clutch2.w_rel","clutch2.w_relfric","J1.phi","J1.flange_b.phi","clutch1.flange_a.phi","J1.flange_a.phi","torque.flange.phi","J1.a","clutch1.a_rel","clutch1.a_relfric","clutch1.fn","clutch1.f_normalized","sin2.y","clutch1.flange_b.tau","clutch1.tau0","clutch1.tau0_max","clutch1.sa","clutch1.lossPower","J2.w","J2.a","J2.der(w)","J2.der(phi,2)","clutch2.a_rel","clutch2.a_relfric","clutch2.fn","step1.y","clutch2.flange_b.tau","J3.flange_a.tau","clutch2.tau0","clutch2.tau0_max","clutch2.sa","clutch2.lossPower","J3.phi","J3.w","J3.a","J3.der(w)","clutch3.a_rel","clutch3.a_relfric","clutch3.fn","clutch3.flange_b.tau","clutch3.tau","clutch3.flange_a.tau","J4.flange_a.tau","J3.flange_b.tau","clutch3.tau0","clutch3.tau0_max","clutch3.sa","clutch3.lossPower","J4.phi","J4.w","J4.der(phi)","fixed.flange.tau","torque.tau","J1.der(phi,2)","clutch1.der(phi_rel,2)","clutch2.der(phi_rel,2)","clutch3.der(phi_rel,2)","clutch2.mode","clutch2.free"
0,-9.999996829,-10,19.99999366,-0,0,-9.999996829,10,10,0,-10,-10,0,0,0,0,0,0,0,0,0,-9.999996829,19.99999366,19.99999366,19.99999366,0.9999996829,0.9999996829,-9.999996829,9.999996829,10.99999651,8.999997146,99.99996829,-0,9.999996829,9.999996829,9.999996829,-9.999996829,-9.999996829,0,0,0,-0,0,0,-9.999996829,0,0,-0,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,0,-0,-0,-0,0,-9.999996829,19.99999366,-9.999996829,0,2,1
0.003,-9.058872656,-9.941412646,19.05882844,0.02999996447,-0.02999996447,-9.999955789,9.97141261,9.97141261,-0.02991141279,-9.941412646,-9.941412646,4.499997329e-005,-4.499997329e-005,-0.02999996447,-0.02999996447,0.02995641276,0.02995641276,0.02995641276,0.02995641276,0.02995641276,-9.058872656,19.05882844,19.05882844,19.99991158,0.9999955789,0.9999955789,-9.999955789,9.999955789,10.99995137,8.058877077,99.41368694,0.02999996447,9.999955789,9.999955789,9.999955789,-9.999955789,-9.999955789,0,0,0,-0,0,0,-9.999955789,-0,1.538889459e-017,4.878042414e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,1.538889459e-017,4.878042414e-015,4.878042414e-015,-0.9410831332,0.9410831332,-9.058872656,19.05882844,-9.999955789,0,2,1
0.006,-8.125959481,-9.885638485,18.12573211,0.05999959263,-0.05999959263,-9.999772627,9.945638078,9.945638078,-0.05965128811,-9.885638485,-9.885638485,0.0001799994255,-0.0001799994255,-0.05999959263,-0.05999959263,0.05983128754,0.05983128754,0.05983128754,0.05983128754,0.05983128754,-8.125959481,18.12573211,18.12573211,19.99954525,0.9999772627,0.9999772627,-9.999772627,9.999772627,10.99974989,7.125982219,98.85413713,0.05999959263,9.999772627,9.999772627,9.999772627,-9.999772627,-9.999772627,0,0,0,-0,0,0,-9.999772627,-0,3.095397202e-017,7.230327448e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,3.095397202e-017,7.230327448e-015,7.230327448e-015,-1.873813146,1.873813146,-8.125959481,18.12573211,-9.999772627,0,2,1
0.009,-7.209536286,-9.832641109,17.20898363,0.08999845812,-0.08999845812,-9.999447346,9.922639567,9.922639567,-0.08922801714,-9.832641109,-9.832641109,0.0004049967242,-0.0004049967242,-0.08999845812,-0.08999845812,0.08963301386,0.08963301386,0.08963301386,0.08963301386,0.08963301386,-7.209536286,17.20898363,17.20898363,19.99889469,0.9999447346,0.9999447346,-9.999447346,9.999447346,10.99939208,6.209591551,98.32097705,0.08999845812,9.999447346,9.999447346,9.999447346,-9.999447346,-9.999447346,0,0,0,-0,0,0,-9.999447346,-0,4.943961907e-017,7.868705687e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,4.943961907e-017,7.868705687e-015,7.868705687e-015,-2.78991106,2.78991106,-7.209536286,17.20898363,-9.999447346,0,2,1
0.012,-6.317734425,-9.782359632,16.31671438,0.1199961346,-0.1199961346,-9.998979951,9.902355767,9.902355767,-0.118649847,-9.782359632,-9.782359632,0.0007199889605,-0.0007199889605,-0.1199961346,-0.1199961346,0.119369836,0.119369836,0.119369836,0.119369836,0.119369836,-6.317734425,16.31671438,16.31671438,19.9979599,0.9998979951,0.9998979951,-9.998979951,9.998979951,10.99887795,5.317836429,97.81361784,0.1199961346,9.998979951,9.998979951,9.998979951,-9.998979951,-9.998979951,0,0,0,-0,0,0,-9.998979951,-0,7.079840186e-017,8.67361738e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,7.079840186e-017,8.67361738e-015,8.67361738e-015,-3.681245527,3.681245527,-6.317734425,16.31671438,-9.998979951,0,2,1
0.015,-5.458465451,-9.734708491,15.4568359,0.1499921957,-0.1499921957,-9.998370449,9.884700687,9.884700687,-0.1479248004,-9.734708491,-9.734708491,0.001124971917,-0.001124971917,-0.1499921957,-0.1499921957,0.1490497723,0.1490497723,0.1490497723,0.1490497723,0.1490497723,-5.458465451,15.4568359,15.4568359,19.9967409,0.9998370449,0.9998370449,-9.998370449,9.998370449,10.99820749,4.458628407,97.3312217,0.1499921957,9.998370449,9.998370449,9.998370449,-9.998370449,-9.998370449,0,0,0,-0,0,0,-9.998370449,-0,9.779503596e-017,7.688294446e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,9.779503596e-017,7.688294446e-015,7.688294446e-015,-4.539904997,4.539904997,-5.458465451,15.4568359,-9.998370449,0,2,1
0.018,-4.639350897,-9.689578911,14.63696974,0.1799862152,-0.1799862152,-9.997618847,9.869565127,9.869565127,-0.177060607,-9.689578911,-9.689578911,0.001619940101,-0.001619940101,-0.1799862152,-0.1799862152,0.1786805471,0.1786805471,0.1786805471,0.1786805471,0.1786805471,-4.639350897,14.63696974,14.63696974,19.99523769,0.9997618847,0.9997618847,-9.997618847,9.997618847,10.99738073,3.639589013,96.87271675,0.1799862152,9.997618847,9.997618847,9.997618847,-9.997618847,-9.997618847,0,0,0,-0,0,0,-9.997618847,-0,1.231653668e-016,7.632783294e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,1.231653668e-016,7.632783294e-015,7.632783294e-015,-5.35826795,5.35826795,-4.639350897,14.63696974,-9.997618847,0,2,1
0.021,-3.867654621,-9.646839796,13.86437978,0.2099777667,-0.2099777667,-9.996725157,9.856817563,9.856817563,-0.2060646436,-9.646839796,-9.646839796,0.002204886745,-0.002204886745,-0.2099777667,-0.2099777667,0.2082695303,0.2082695303,0.2082695303,0.2082695303,0.2082695303,-3.867654621,13.86437978,13.86437978,19.99345031,0.9996725157,0.9996725157,-9.996725157,9.996725157,10.99639767,2.867982105,96.43680608,0.2099777667,9.996725157,9.996725157,9.996725157,-9.996725157,-9.996725157,0,0,0,-0,0,0,-9.996725157,-0,1.474514955e-016,1.038058528e-014,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,1.474514955e-016,1.038058528e-014,1.038058528e-014,-6.129070537,6.129070537,-3.867654621,13.86437978,-9.996725157,0,2,1
0.024,-3.150218333,-9.606338913,13.14590772,0.2399664241,-0.2399664241,-9.995689392,9.846305337,9.846305337,-0.234943862,-9.606338913,-9.606338913,0.002879803808,-0.002879803808,-0.2399664241,-0.2399664241,0.2378236658,0.2378236658,0.2378236658,0.2378236658,0.2378236658,-3.150218333,13.14590772,13.14590772,19.99137878,0.9995689392,0.9995689392,-9.995689392,9.995689392,10.99525833,2.150649393,96.02197997,0.2399664241,9.995689392,9.995689392,9.995689392,-9.995689392,-9.995689392,0,0,0,-0,0,0,-9.995689392,-0,1.726049859e-016,1.02418074e-014,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,1.726049859e-016,1.02418074e-014,1.02418074e-014,-6.845471059,6.845471059,-3.150218333,13.14590772,-9.995689392,0,2,1
0.027,-2.493400869,-9.567904259,12.48791243,0.269951761,-0.269951761,-9.994511565,9.83785602,9.83785602,-0.2637047245,-9.567904259,-9.567904259,0.003644681969,-0.003644681969,-0.269951761,-0.269951761,0.2673494065,0.2673494065,0.2673494065,0.2673494065,0.2673494065,-2.493400869,12.48791243,12.48791243,19.98902313,0.9994511565,0.9994511565,-9.994511565,9.994511565,10.99396272,1.493949713,95.62652978,0.269951761,9.994511565,9.994511565,9.994511565,-9.994511565,-9.994511565,0,0,0,-0,0,0,-9.994511565,-0,2.016616041e-016,9.159339953e-015,0,0,0,0,0,0,0,-0,-0,0,0,0,0,0,2.016616041e-016,9.159339953e-015,9.159339953e-015,-7.501110696,7.501110696,-2.493400869,12.48791243,-9.994511565,0,2,1
