"time","Resistor_1.R","Resistor_1.v","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0,1,0,0,0,0
0.0001,1,538.657,0,269.334,-269.334
0.0002,1,538.391,9.76875,264.317,-274.085
0.0003,1,537.594,19.5279,259.039,-278.566
0.0004,1,536.266,29.2677,253.505,-282.772
0.0005,1,534.41,38.9786,247.721,-286.699
0.0006,1,532.025,48.6511,241.692,-290.344
0.0007,1,529.116,58.2756,235.425,-293.701
0.0008,1,525.684,67.8425,228.926,-296.769
0.0009,1,521.734,77.3426,222.201,-299.544
0.001,1,517.269,86.7662,215.257,-302.023
0.0011,1,512.293,96.1043,208.1,-304.204
0.0012,1,506.812,105.347,200.737,-306.085
0.0013,1,500.831,114.487,193.177,-307.664
0.0014,1,494.355,123.513,185.426,-308.939
0.0015,1,487.391,132.417,177.492,-309.909
0.0016,1,479.947,141.191,169.383,-310.574
0.0017,1,472.029,149.825,161.106,-310.932
0.0018,1,469.285,158.312,152.671,-310.983
0.0019,1,477.36,166.642,144.085,-310.727
0.002,1,484.963,174.808,135.357,-310.165
0.0021,1,492.088,182.801,126.495,-309.296
0.0022,1,498.727,190.614,117.508,-308.123
0.0023,1,504.874,198.239,108.406,-306.645
0.0024,1,510.522,205.668,99.1963,-304.864
0.0025,1,515.667,212.894,89.8889,-302.783
0.0026,1,520.303,219.91,80.4927,-300.403
0.0027,1,524.425,226.709,71.0171,-297.726
0.0028,1,528.03,233.285,61.4714,-294.756
0.0029,1,531.114,239.63,51.8651,-291.495
0.003,1,533.673,245.738,42.2075,-287.946
0.0031,1,535.706,251.604,32.5084,-284.113
0.0032,1,537.21,257.222,22.7771,-279.999
0.0033,1,538.185,262.586,13.0233,-275.609
0.0034,1,538.627,267.691,3.25672,-270.947
0.0035,1,538.539,272.531,-6.51309,-266.018
0.0036,1,537.919,277.103,-16.2765,-260.827
0.0037,1,536.768,281.401,-26.0238,-255.377
0.0038,1,535.087,285.422,-35.7455,-249.676
0.0039,1,532.878,289.16,-45.4318,-243.729
0.004,1,530.144,292.614,-55.0734,-237.541
0.0041,1,526.886,295.779,-64.6605,-231.118
0.0042,1,523.108,298.651,-74.1839,-224.467
0.0043,1,518.814,301.229,-83.6341,-217.595
0.0044,1,514.008,303.51,-93.0017,-210.508
0.0045,1,508.695,305.491,-102.278,-203.214
0.0046,1,502.88,307.171,-111.452,-195.719
0.0047,1,496.568,308.548,-120.517,-188.03
0.0048,1,489.766,309.62,-129.463,-180.156
0.0049,1,482.481,310.386,-138.282,-172.105
0.005,1,474.72,310.847,-146.963,-163.883
0.0051,1,466.493,311,-155.5,-155.5
0.0052,1,474.72,310.847,-163.883,-146.963
0.0053,1,482.481,310.386,-172.105,-138.282
0.0054,1,489.766,309.62,-180.156,-129.463
0.0055,1,496.568,308.548,-188.03,-120.517
0.0056,1,502.88,307.171,-195.719,-111.452
0.0057,1,508.695,305.491,-203.214,-102.278
0.0058,1,514.008,303.51,-210.508,-93.0017
0.0059,1,518.814,301.229,-217.595,-83.6341
0.006,1,523.108,298.651,-224.467,-74.1839
0.0061,1,526.886,295.779,-231.118,-64.6605
0.0062,1,530.144,292.614,-237.541,-55.0734
0.0063,1,532.878,289.16,-243.729,-45.4318
0.0064,1,535.087,285.422,-249.676,-35.7455
0.0065,1,536.768,281.401,-255.377,-26.0238
0.0066,1,537.919,277.103,-260.827,-16.2765
0.0067,1,538.539,272.531,-266.018,-6.51309
0.0068,1,538.627,267.691,-270.947,3.25672
0.0069,1,538.185,262.586,-275.609,13.0233
0.007,1,537.21,257.222,-279.999,22.7771
0.0071,1,535.706,251.604,-284.113,32.5084
0.0072,1,533.673,245.738,-287.946,42.2075
0.0073,1,531.114,239.63,-291.495,51.8651
0.0074,1,528.03,233.285,-294.756,61.4714
0.0075,1,524.425,226.709,-297.726,71.0171
0.0076,1,520.303,219.91,-300.403,80.4927
0.0077,1,515.667,212.894,-302.783,89.8889
0.0078,1,510.522,205.668,-304.864,99.1963
0.0079,1,504.874,198.239,-306.645,108.406
0.008,1,498.727,190.614,-308.123,117.508
0.0081,1,492.088,182.801,-309.296,126.495
0.0082,1,484.963,174.808,-310.165,135.357
0.0083,1,477.36,166.642,-310.727,144.085
0.0084,1,469.285,158.312,-310.983,152.671
0.0085,1,472.029,149.825,-310.932,161.106
0.0086,1,479.947,141.191,-310.574,169.383
0.0087,1,487.391,132.417,-309.909,177.492
0.0088,1,494.355,123.513,-308.939,185.426
0.0089,1,500.831,114.487,-307.664,193.177
0.009,1,506.812,105.347,-306.085,200.737
0.0091,1,512.293,96.1043,-304.204,208.1
0.0092,1,517.269,86.7662,-302.023,215.257
