"time","Rectifier_r(1)","Rectifier_r(3)","Rectifier_r(5)","Rectifier_r(7)","Rectifier_r(0)","Rectifier_r(2)","Rectifier_r(4)","Rectifier_r(6)","Rectifier_r(8)","Rectifier_r(9)","Rectifier_r(10)","Rectifier_r(11)","Rectifier_r(12)","Rectifier_r(13)","Rectifier_r(14)","Rectifier_r(15)","Rectifier_r(16)","Rectifier_r(17)","Rectifier_r(18)","Rectifier_r(19)","Rectifier_r(20)","Rectifier_r(21)","Rectifier_r(22)","Rectifier_r(23)","Rectifier_r(24)","Rectifier_r(25)","Rectifier_r(26)","Rectifier_r(27)","Rectifier_r(28)","Rectifier_r(29)","Rectifier_r(30)","Rectifier_r(31)","Rectifier_r(32)","Rectifier_r(33)","Rectifier_r(34)","Rectifier_r(35)","Rectifier_r(36)","Rectifier_r(37)","Rectifier_r(38)","Rectifier_r(39)","Rectifier_r(40)","Rectifier_r(41)","Rectifier_r(42)","Rectifier_r(43)","Rectifier_r(44)","Rectifier_r(45)","Rectifier_r(46)","Rectifier_r(47)","Rectifier_r(48)","Rectifier_r(49)","Rectifier_r(50)","Rectifier_r(51)","Rectifier_r(52)","Rectifier_r(53)","Rectifier_r(54)","Rectifier_r(55)","Rectifier_r(56)","Rectifier_r(57)","Rectifier_r(58)","Rectifier_r(59)","Rectifier_r(60)","Rectifier_r(61)","Rectifier_r(62)","Rectifier_r(63)","Rectifier_r(64)","Rectifier_r(65)","Rectifier_r(66)","Rectifier_r(67)","Rectifier_r(68)","_HiddenStates.der(x[0])","_HiddenStates.der(x[1])","_HiddenStates.der(x[2])","_HiddenStates.der(x[3])"
0,282.8427125,282.8427125,0,0,0,-16694.95094,-16694.95094,-4714045.208,4714045.208,-284.8427125,-284.8427125,-284.8427125,-284.8427125,-284.8427125,-284.8427125,-0.2828427125,-0.2828427125,-0.2828427125,-282.8427125,282.8427125,5.684341886e-014,-282.8427125,5.684341886e-014,282.8427125,1,1,1,1,1,1,0.015,0.001,500,6e-005,0.001,400,2,50,-16694.95094,-16694.95094,-4714045.208,4714045.208,282.8427125,282.8427125,0,0,-284.8427125,-284.8427125,-284.8427125,-284.8427125,-284.8427125,-284.8427125,-0.2828427125,-0.2828427125,-0.2828427125,-282.8427125,282.8427125,5.684341886e-014,-282.8427125,5.684341886e-014,282.8427125,1,1,1,1,1,1,284.8427125,284.8427125,-16694.95094,-16694.95094,-4714045.208,4714045.208
2.968394516e-005,282.3471412,282.3471412,-0.5686946913,0.562627856,2.968394516e-005,-16694.90137,-16694.90137,-100.4672275,-104.4910079,-281.3137236,-568.6942824,-3.033213181,-287.3805588,4.088586341e-007,-565.6610692,-0.2853805588,0.002000408859,-0.5636610692,-0.006028033652,-0.006269460472,3.045715105,-284.3531692,6.814303754e-005,281.3076586,1,1,1,1,0,1,0.015,0.001,500,6e-005,0.001,400,2,50,-16694.90137,-16694.90137,-100.4672275,-104.4910079,282.3471412,282.3471412,-0.5686946913,0.562627856,-281.3137236,-568.6942824,-3.033213181,-287.3805588,4.088586341e-007,-565.6610692,-0.2853805588,0.002000408859,-0.5636610692,-0.006028033652,-0.006269460472,3.045715105,-284.3531692,6.814303754e-005,281.3076586,1,1,1,1,0,1,281.3137236,568.6942824,-16694.90137,-16694.90137,-100.4672275,-104.4910079
0.0001359076117,280.5737941,280.5737941,-0.6069091809,0.5651480129,0.0001359076117,-16694.02801,-16694.02801,-352.2772475,18.56006239,-261.6932102,-565.14763,4.246754194e-007,-303.4543781,0.04176155087,-565.1475883,-0.3014543781,0.04376155087,-0.5631475883,-0.02113663485,0.001113603743,20.90060701,-282.5949725,6.960180738,282.5749077,1,1,0,1,0,1,0.015,0.001,500,6e-005,0.001,400,2,50,-16694.02801,-16694.02801,-352.2772475,18.56006239,280.5737941,280.5737941,-0.6069091809,0.5651480129,-261.6932102,-565.14763,4.246754194e-007,-303.4543781,0.04176155087,-565.1475883,-0.3014543781,0.04376155087,-0.5631475883,-0.02113663485,0.001113603743,20.90060701,-282.5949725,6.960180738,282.5749077,1,1,0,1,0,1,261.6932102,565.14763,-16694.02801,-16694.02801,-352.2772475,18.56006239
0.0006384201745,272.2953395,272.2953395,-17.81811613,17.62297212,0.0006384201745,-16121.4989,-16121.4989,-47823.32996,47521.68522,-176.7233339,-548.6079486,17.07436436,-371.8673452,17.26950818,-548.6077534,-0.3698673452,17.27150818,-0.5466077534,-2.869399798,2.851301113,97.59010435,-277.1820088,32.52393684,277.163715,1,1,0,1,0,1,0.015,0.001,500,6e-005,0.001,400,2,50,-16121.4989,-16121.4989,-47823.32996,47521.68522,272.2953395,272.2953395,-17.81811613,17.62297212,-176.7233339,-548.6079486,17.07436436,-371.8673452,17.26950818,-548.6077534,-0.3698673452,17.27150818,-0.5466077534,-2.869399798,2.851301113,97.59010435,-277.1820088,32.52393684,277.163715,1,1,0,1,0,1,176.7233339,548.6079486,-16121.4989,-16121.4989,-47823.32996,47521.68522
0.001140932737,264.3339252,264.3339252,-28.44796839,28.10429966,0.001140932737,-15768.3197,-15768.3197,24762.91048,-25051.16592,-94.49955773,-532.6957657,27.57160424,-438.1682927,27.91527263,-532.6954221,-0.4361682927,27.91727263,-0.5306954221,1.485774629,-1.503069955,171.8516628,-264.8760659,57.27800794,264.8584269,1,1,0,1,0,1,0.015,0.001,500,6e-005,0.001,400,2,50,-15768.3197,-15768.3197,24762.91048,-25051.16592,264.3339252,264.3339252,-28.44796839,28.10429966,-94.49955773,-532.6957657,27.57160424,-438.1682927,27.91527263,-532.6954221,-0.4361682927,27.91727263,-0.5306954221,1.485774629,-1.503069955,171.8516628,-264.8760659,57.27800794,264.8584269,1,1,0,1,0,1,94.49955773,532.6957657,-15768.3197,-15768.3197,24762.91048,-25051.16592
0.001492871491,258.6625438,258.6625438,-0.9641287873,0.5213169139,0.001492871491,-16685.15287,-16685.15287,139191.8726,-139444.2602,-39.25660707,-521.3255303,-0.004086839483,-482.0684805,0.4428032569,-521.3210007,-0.4800684805,0.4448032569,-0.5193210007,8.351512356,-8.366655614,221.42108,-252.3114742,73.80046902,252.2918013,1,1,1,1,0,1,0.015,0.001,500,6e-005,0.001,400,2,50,-16685.15287,-16685.15287,139191.8726,-139444.2602,258.6625438,258.6625438,-0.9641287873,0.5213169139,-39.25660707,-521.3255303,-0.004086839483,-482.0684805,0.4428032569,-521.3210007,-0.4800684805,0.4448032569,-0.5193210007,8.351512356,-8.366655614,221.42108,-252.3114742,73.80046902,252.2918013,1,1,1,1,0,1,39.25660707,521.3255303,-16685.15287,-16685.15287,139191.8726,-139444.2602
0.001886092836,252.1015256,252.1015256,-0.938521079,0.43031724,0.001886092836,-16684.70485,-16684.70485,-26.47474562,-166.8353408,7.877359147e-007,-508.2034816,-38.94290565,-508.2030513,0.4303175974,-469.2601456,-0.5062030513,0.4323175974,-0.4672601456,-0.001588484737,-0.01001012045,254.1131242,-254.1035444,71.71939655,215.1486099,0,1,1,1,0,1,0.015,0.001,500,6e-005,0.001,400,2,50,-16684.70485,-16684.70485,-26.47474562,-166.8353408,252.1015256,252.1015256,-0.938521079,0.43031724,7.877359147e-007,-508.2034816,-38.94290565,-508.2030513,0.4303175974,-469.2601456,-0.5062030513,0.4323175974,-0.4672601456,-0.001588484737,-0.01001012045,254.1131242,-254.1035444,71.71939655,215.1486099,0,1,1,1,0,1,-7.877359147e-007,508.2034816,-16684.70485,-16684.70485,-26.47474562,-166.8353408
0.002388605399,244.3293169,244.3293169,-107.5415311,0.2866007404,0.002388605399,-13127.58766,-13127.58766,-400523.5392,-294.3486376,106.762165,-492.7656825,-103.0289467,-492.7653959,107.0487654,-389.6296871,-0.4907653959,107.0507654,-0.3876296871,-24.03141235,-0.01766091826,270.4851523,-270.467778,47.76669453,143.2827093,0,1,1,1,0,1,0.015,0.001,500,6e-005,0.001,400,2,50,-13127.58766,-13127.58766,-400523.5392,-294.3486376,244.3293169,244.3293169,-107.5415311,0.2866007404,106.762165,-492.7656825,-103.0289467,-492.7653959,107.0487654,-389.6296871,-0.4907653959,107.0507654,-0.3876296871,-24.03141235,-0.01766091826,270.4851523,-270.467778,47.76669453,143.2827093,0,1,1,1,0,1,-106.762165,492.7656825,-13127.58766,-13127.58766,-400523.5392,-294.3486376
0.002891117962,239.8106938,239.8106938,-375.0120688,0.1357364781,0.002891117962,-4208.653396,-4208.653396,-632055.0776,-304.8435616,374.3923365,-483.9959158,-173.9424548,-483.99578,374.5280728,-309.6789329,-0.48199578,374.5300728,-0.3076789329,-37.92330465,-0.0182906137,280.1266814,-280.1085266,22.62270111,67.84994845,0,1,1,1,0,1,0.015,0.001,500,6e-005,0.001,400,2,50,-4208.653396,-4208.653396,-632055.0776,-304.8435616,239.8106938,239.8106938,-375.0120688,0.1357364781,374.3923365,-483.9959158,-173.9424548,-483.99578,374.5280728,-309.6789329,-0.48199578,374.5300728,-0.3076789329,-37.92330465,-0.0182906137,280.1266814,-280.1085266,22.62270111,67.84994845,0,1,1,1,0,1,-374.3923365,483.9959158,-4208.653396,-4208.653396,-632055.0776,-304.8435616
0.003393630525,240.4698596,240.4698596,-708.5073715,-0.0185036719,0.003393630525,6910.295266,6910.295266,-660080.7312,-307.7567526,708.0402274,-485.647741,-251.7216956,-485.6477595,708.0217237,-233.2180237,-0.4836477595,708.0237237,-0.2312180237,-39.60484387,-0.01846540515,282.8012091,-282.7827252,-3.083939149,-9.270301356,0,1,1,1,0,1,0.015,0.001,500,6e-005,0.001,400,2,50,6910.295266,6910.295266,-660080.7312,-307.7567526,240.4698596,240.4698596,-708.5073715,-0.0185036719,708.0402274,-485.647741,-251.7216956,-485.6477595,708.0217237,-233.2180237,-0.4836477595,708.0237237,-0.2312180237,-39.60484387,-0.01846540515,282.8012091,-282.7827252,-3.083939149,-9.270301356,0,1,1,1,0,1,-708.0402274,485.647741,6910.295266,6910.295266,-660080.7312,-307.7567526
0.003896143087,246.5399629,246.5399629,-1003.598121,-0.172283619,0.003896143087,16748.18521,16748.18521,-481346.6879,-303.0157655,1003.272321,-498.0830258,-334.6817724,-498.0831981,1003.100038,-162.3981534,-0.4960831981,1003.102038,-0.1603981534,-28.88080127,-0.01818094593,278.4422174,-278.4238642,-28.71387908,-86.15999047,0,1,1,1,0,1,0.015,0.001,500,6e-005,0.001,400,2,50,16748.18521,16748.18521,-481346.6879,-303.0157655,246.5399629,246.5399629,-1003.598121,-0.172283619,1003.272321,-498.0830258,-334.6817724,-498.0831981,1003.100038,-162.3981534,-0.4960831981,1003.102038,-0.1603981534,-28.88080127,-0.01818094593,278.4422174,-278.4238642,-28.71387908,-86.15999047,0,1,1,1,0,1,-1003.272321,498.0830258,16748.18521,16748.18521,-481346.6879,-303.0157655
0.00439865565,256.536047,256.536047,-1162.206811,-0.3217787183,0.00439865565,22035.95655,22035.95655,-124043.6113,-290.7385424,1162.010356,-518.2337827,-419.4254062,-518.2341045,1161.688577,-97.64668792,-0.5162341045,1161.690577,-0.09564668792,-7.442616677,-0.01744431255,267.1581184,-267.1403523,-53.62967912,-160.9068034,0,1,1,1,0,1,0.015,0.001,500,6e-005,0.001,400,2,50,22035.95655,22035.95655,-124043.6113,-290.7385424,256.536047,256.536047,-1162.206811,-0.3217787183,1162.010356,-518.2337827,-419.4254062,-518.2341045,1161.688577,-97.64668792,-0.5162341045,1161.690577,-0.09564668792,-7.442616677,-0.01744431255,267.1581184,-267.1403523,-53.62967912,-160.9068034,0,1,1,1,0,1,-1162.010356,518.2337827,22035.95655,22035.95655,-124043.6113,-290.7385424
