Time,temperatureSensor_port_T,onOffController_reference
0,0,0
0.001,293.15,0
0.002,293.16,25
0.003,293.17,25
0.004,293.18,25
0.005,293.19,25
0.006,293.2,25
0.007,293.21,25
0.008,293.22,25
0.009,293.23,25
0.01,293.24,25
0.011,293.25,25
0.012,293.26,25
0.013,293.27,25
0.014,293.28,25
0.015,293.29,25
0.016,293.3,25
0.017,293.31,25
0.018,293.32,25
0.019,293.33,25
0.02,293.34,25
0.021,293.35,25
0.022,293.36,25
0.023,293.37,25
0.024,293.38,25
0.025,293.39,25
0.026,293.4,25
0.027,293.41,25
0.028,293.419,25
0.029,293.429,25
0.03,293.439,25
0.031,293.449,25
0.032,293.459,25
0.033,293.469,25
0.034,293.479,25
0.035,293.489,25
0.036,293.499,25
0.037,293.509,25
0.038,293.519,25
0.039,293.529,25
0.04,293.539,25
0.041,293.549,25
0.042,293.559,25
0.043,293.569,25
0.044,293.579,25
0.045,293.589,25
0.046,293.599,25
0.047,293.609,25
0.048,293.618,25
0.049,293.628,25
0.05,293.638,25
0.051,293.648,25
0.052,293.658,25
0.053,293.668,25
0.054,293.678,25
0.055,293.688,25
0.056,293.698,25
0.057,293.708,25
0.058,293.718,25
0.059,293.728,25
0.06,293.738,25
0.061,293.748,25
0.062,293.757,25
0.063,293.767,25
0.064,293.777,25
0.065,293.787,25
0.066,293.797,25
0.067,293.807,25
0.068,293.817,25
0.069,293.827,25
0.07,293.837,25
0.071,293.847,25
0.072,293.857,25
0.073,293.866,25
0.074,293.876,25
0.075,293.886,25
0.076,293.896,25
0.077,293.906,25
0.078,293.916,25
0.079,293.926,25
0.08,293.936,25
0.081,293.946,25
0.082,293.955,25
0.083,293.965,25
0.084,293.975,25
0.085,293.985,25
0.086,293.995,25
0.087,294.005,25
0.088,294.015,25
0.089,294.025,25
0.09,294.035,25
0.091,294.044,25
0.092,294.054,25
0.093,294.064,25
0.094,294.074,25
0.095,294.084,25
0.096,294.094,25
0.097,294.104,25
0.098,294.113,25
0.099,294.123,25
0.1,294.133,25
0.101,294.143,25
0.102,294.153,25
0.103,294.163,25
0.104,294.173,25
0.105,294.183,25
0.106,294.192,25
0.107,294.202,25
0.108,294.212,25
0.109,294.222,25
0.11,294.232,25
0.111,294.242,25
0.112,294.251,25
0.113,294.261,25
0.114,294.271,25
0.115,294.281,25
0.116,294.291,25
0.117,294.301,25
0.118,294.311,25
0.119,294.32,25
0.12,294.33,25
0.121,294.34,25
0.122,294.35,25
0.123,294.36,25
0.124,294.37,25
0.125,294.379,25
0.126,294.389,25
0.127,294.399,25
0.128,294.409,25
0.129,294.419,25
0.13,294.428,25
0.131,294.438,25
0.132,294.448,25
0.133,294.458,25
0.134,294.468,25
0.135,294.478,25
0.136,294.487,25
0.137,294.497,25
0.138,294.507,25
0.139,294.517,25
0.14,294.527,25
0.141,294.536,25
0.142,294.546,25
0.143,294.556,25
0.144,294.566,25
0.145,294.576,25
0.146,294.585,25
0.147,294.595,25
0.148,294.605,25
0.149,294.615,25
0.15,294.625,25
0.151,294.634,25
0.152,294.644,25
0.153,294.654,25
0.154,294.664,25
0.155,294.674,25
0.156,294.683,25
0.157,294.693,25
0.158,294.703,25
0.159,294.713,25
0.16,294.723,25
0.161,294.732,25
0.162,294.742,25
0.163,294.752,25
0.164,294.762,25
0.165,294.771,25
0.166,294.781,25
0.167,294.791,25
0.168,294.801,25
0.169,294.811,25
0.17,294.82,25
0.171,294.83,25
0.172,294.84,25
0.173,294.85,25
0.174,294.859,25
0.175,294.869,25
0.176,294.879,25
0.177,294.889,25
0.178,294.898,25
0.179,294.908,25
0.18,294.918,25
0.181,294.928,25
0.182,294.937,25
0.183,294.947,25
0.184,294.957,25
0.185,294.967,25
0.186,294.976,25
0.187,294.986,25
0.188,294.996,25
0.189,295.006,25
0.19,295.015,25
0.191,295.025,25
0.192,295.035,25
0.193,295.045,25
0.194,295.054,25
0.195,295.064,25
0.196,295.074,25
0.197,295.084,25
0.198,295.093,25
0.199,295.103,25
0.2,295.113,25
0.201,295.122,25
0.202,295.132,25
0.203,295.142,25
0.204,295.152,25
0.205,295.161,25
0.206,295.171,25
0.207,295.181,25
0.208,295.19,25
0.209,295.2,25
0.21,295.21,25
0.211,295.22,25
0.212,295.229,25
0.213,295.239,25
0.214,295.249,25
0.215,295.258,25
0.216,295.268,25
0.217,295.278,25
0.218,295.288,25
0.219,295.297,25
0.22,295.307,25
0.221,295.317,25
0.222,295.326,25
0.223,295.336,25
0.224,295.346,25
0.225,295.355,25
0.226,295.365,25
0.227,295.375,25
0.228,295.385,25
0.229,295.394,25
0.23,295.404,25
0.231,295.414,25
0.232,295.423,25
0.233,295.433,25
0.234,295.443,25
0.235,295.452,25
0.236,295.462,25
0.237,295.472,25
0.238,295.481,25
0.239,295.491,25
0.24,295.501,25
0.241,295.51,25
0.242,295.52,25
0.243,295.53,25
0.244,295.539,25
0.245,295.549,25
0.246,295.559,25
0.247,295.568,25
0.248,295.578,25
0.249,295.588,25
0.25,295.597,25
0.251,295.607,25
0.252,295.617,25
0.253,295.626,25
0.254,295.636,25
0.255,295.646,25
0.256,295.655,25
0.257,295.665,25
0.258,295.675,25
0.259,295.684,25
0.26,295.694,25
0.261,295.704,25
0.262,295.713,25
0.263,295.723,25
0.264,295.733,25
0.265,295.742,25
0.266,295.752,25
0.267,295.761,25
0.268,295.771,25
0.269,295.781,25
0.27,295.79,25
0.271,295.8,25
0.272,295.81,25
0.273,295.819,25
0.274,295.829,25
0.275,295.838,25
0.276,295.848,25
0.277,295.858,25
0.278,295.867,25
0.279,295.877,25
0.28,295.887,25
0.281,295.896,25
0.282,295.906,25
0.283,295.915,25
0.284,295.925,25
0.285,295.935,25
0.286,295.944,25
0.287,295.954,25
0.288,295.964,25
0.289,295.973,25
0.29,295.983,25
0.291,295.992,25
0.292,296.002,25
0.293,296.012,25
0.294,296.021,25
0.295,296.031,25
0.296,296.04,25
0.297,296.05,25
0.298,296.06,25
0.299,296.069,25
0.3,296.079,25
0.301,296.088,25
0.302,296.098,25
0.303,296.108,25
0.304,296.117,25
0.305,296.127,25
0.306,296.136,25
0.307,296.146,25
0.308,296.155,25
0.309,296.165,25
0.31,296.175,25
0.311,296.184,25
0.312,296.194,25
0.313,296.203,25
0.314,296.213,25
0.315,296.223,25
0.316,296.232,25
0.317,296.242,25
0.318,296.251,25
0.319,296.261,25
0.32,296.27,25
0.321,296.28,25
0.322,296.289,25
0.323,296.299,25
0.324,296.309,25
0.325,296.318,25
0.326,296.328,25
0.327,296.337,25
0.328,296.347,25
0.329,296.356,25
0.33,296.366,25
0.331,296.376,25
0.332,296.385,25
0.333,296.395,25
0.334,296.404,25
0.335,296.414,25
0.336,296.423,25
0.337,296.433,25
0.338,296.442,25
0.339,296.452,25
0.34,296.461,25
0.341,296.471,25
0.342,296.481,25
0.343,296.49,25
0.344,296.5,25
0.345,296.509,25
0.346,296.519,25
0.347,296.528,25
0.348,296.538,25
0.349,296.547,25
0.35,296.557,25
0.351,296.566,25
0.352,296.576,25
0.353,296.585,25
0.354,296.595,25
0.355,296.604,25
0.356,296.614,25
0.357,296.623,25
0.358,296.633,25
0.359,296.642,25
0.36,296.652,25
0.361,296.661,25
0.362,296.671,25
0.363,296.681,25
0.364,296.69,25
0.365,296.7,25
0.366,296.709,25
0.367,296.719,25
0.368,296.728,25
0.369,296.738,25
0.37,296.747,25
0.371,296.757,25
0.372,296.766,25
0.373,296.776,25
0.374,296.785,25
0.375,296.795,25
0.376,296.804,25
0.377,296.814,25
0.378,296.823,25
0.379,296.833,25
0.38,296.842,25
0.381,296.851,25
0.382,296.861,25
0.383,296.87,25
0.384,296.88,25
0.385,296.889,25
0.386,296.899,25
0.387,296.908,25
0.388,296.918,25
0.389,296.927,25
0.39,296.937,25
0.391,296.946,25
0.392,296.956,25
0.393,296.965,25
0.394,296.975,25
0.395,296.984,25
0.396,296.994,25
0.397,297.003,25
0.398,297.013,25
0.399,297.022,25
0.4,297.032,25
0.401,297.041,25
0.402,297.05,25
