"time","yRising","yFalling","yEither"
0,0,0,0
0.5,-0.756802,0,-0.756802
1,-0.756802,0.989358,0.989358
1.5,-0.536573,0.989358,-0.536573
2,-0.536573,-0.287903,-0.287903
2.5,0.912945,-0.287903,0.912945
3,0.912945,-0.905578,-0.905578
3.5,0.270906,-0.905578,0.270906
4,0.270906,0.551427,0.551427
4.5,-0.991779,0.551427,-0.991779
5,-0.991779,0.745113,0.745113
5.5,0.0177019,0.745113,0.0177019
6,0.0177019,-0.768255,-0.768255
6.5,0.986628,-0.768255,0.986628
7,0.986628,-0.521551,-0.521551
7.5,-0.304811,-0.521551,-0.304811
8,-0.304811,0.920026,0.920026
8.5,-0.897928,0.920026,-0.897928
9,-0.897928,0.253823,0.253823
9.5,0.566108,0.253823,0.566108
10,0.566108,-0.993889,-0.993889
