"time","revolute1_w","revolute2_w"
0,0,0
0.1,-2.46417,3.17496
0.2,-4.1546,3.66001
0.3,-4.34018,-0.647528
0.4,-2.06895,-9.3226
0.5,-4.41287,-3.39742
0.6,-6.78341,6.55364
0.7,-5.07397,4.69628
0.8,-1.91737,-1.20874
0.9,0.923488,-5.35322
1,2.9469,-7.24867
1.1,4.03642,-5.37319
1.2,5.07228,-1.15708
1.3,3.3776,7.03315
1.4,-2.46579,20.8667
1.5,4.2673,4.81983
1.6,5.17346,-2.91021
1.7,4.30854,-7.32504
1.8,3.33311,-9.00018
1.9,0.328035,-4.47016
2,-2.49741,-0.621466
2.1,-5.64289,6.04141
2.2,-8.02849,11.0881
2.3,-5.17375,-1.20722
2.4,0.158344,-14.4137
2.5,-2.50219,-5.96213
2.6,-2.91248,-1.35446
2.7,-1.51972,-0.443366
2.8,0.400414,-1.24992
2.9,2.39844,-1.75403
3,4.09903,-0.0315922
3,4.09903,-0.0315922
