"time","CC_r(0)","CC_r(1)","CC_r(2)","CC_r(3)","CC_r(4)","CC_r(5)","CC_r(6)","CC_r(7)","CC_r(8)","CC_r(9)","CC_r(10)","CC_r(11)","CC_r(12)","CC_r(13)","CC_r(14)","CC_r(15)","CC_r(16)","CC_r(17)","CC_r(18)","CC_r(19)","CC_r(20)","CC_r(21)","CC_r(22)","CC_r(23)","CC_r(24)","CC_r(25)","CC_r(26)","CC_r(27)","CC_r(28)","CC_r(29)","CC_r(30)","CC_r(31)","CC_r(32)","CC_r(33)","CC_r(34)","CC_r(35)","CC_r(36)","CC_r(37)","CC_r(38)","CC_r(39)","CC_r(40)","CC_r(41)","CC_r(42)","CC_r(43)","CC_r(44)","CC_r(45)","CC_r(46)","CC_r(47)","CC_r(48)","CC_r(49)","CC_r(50)","CC_r(51)","CC_r(52)","CC_r(53)","CC_r(54)","CC_r(55)","CC_r(56)","CC_r(57)","CC_r(58)","CC_r(59)","CC_r(60)","CC_r(61)","CC_r(62)","CC_r(63)","CC_r(64)","CC_r(65)","CC_r(66)","CC_r(67)","CC_r(68)","CC_r(69)","CC_r(70)","CC_r(71)","CC_r(72)","CC_r(73)","CC_r(74)","CC_r(75)","CC_r(76)","CC_r(77)","CC_r(78)","CC_r(79)","CC_r(80)","CC_r(81)","CC_r(82)","CC_r(83)","CC_r(84)","CC_r(85)","CC_r(86)","CC_r(87)","CC_r(88)","CC_r(89)","CC_r(90)","CC_r(91)","CC_r(92)","CC_r(93)","CC_r(94)","CC_r(95)","CC_r(96)","CC_r(97)","CC_r(98)","CC_r(99)","CC_r(100)","CC_r(101)","CC_r(102)","CC_r(103)","CC_r(104)","CC_r(105)","CC_r(106)","CC_r(107)","CC_r(108)","CC_r(109)","CC_r(110)","CC_r(111)","CC_r(112)","CC_r(113)","CC_r(114)","CC_r(115)","CC_r(116)","CC_r(117)","CC_r(118)","CC_r(119)","CC_r(120)","CC_r(121)","CC_r(122)","CC_r(123)","CC_r(124)","CC_r(125)","CC_r(126)","CC_r(127)","CC_r(128)","CC_r(129)","CC_r(130)","CC_r(131)","CC_r(132)","CC_r(133)","CC_r(134)","CC_r(135)","CC_r(136)","CC_r(137)","CC_r(138)","CC_r(139)","CC_r(140)","CC_r(141)","CC_r(142)","CC_r(143)","CC_r(144)","CC_r(145)","CC_r(146)"
0,0,0,10,10,-0,0,0,0,-0,0,0,0,-0,0,0,0,-0,-0,-0,0,-0,0,0,-0,0,0,1,3,0,3,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-0,0,-0,0,-0,0,-0,0,10,0,0,0,0,0,0,-0,-0,0,-0,0,0,-0,0,0,1,3,0,3,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-19.99999366,-0,-10,-0,-0,-1.000000001,-1,-1,0.4,0.9,-9.999996829,-10.99999651,-0,-0,-0.999999999,-1,-1
0.01,0.01,0.09955291282,9.915577595,9.915577595,-6.909137395,0.000500007017,0.09999779381,0.09999779381,9.999307338,0,0,0,-0,0,0,0,-0,-10.99754723,-0.0009999307338,0,-0,0,16.90844473,-9.999307338,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9.915577595,-6.909137395,0.09999779381,9.999307338,0,-0,0,-0,0.09955291282,9.915577595,0.000500007017,0.09999779381,0,0,0,0,-10.99754723,-0.0009999307338,0,-0,0,16.90844473,-9.999307338,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.99861468,-0,-9.815579801,-0.09999779381,-0,-1.000000001,-1,-1,0.39,0.89,-20.99685457,-21.9967853,-0.0009999307338,-0,-0.999999999,-1,-1
0.02,0.02,0.1984114441,9.860801204,9.860801204,-4.119186318,0.00199991874,0.19998084,0.19998084,9.997038841,0,0,0,-0,0,0,0,-0,-10.9953311,-0.0009997038841,0,-0,0,14.11622516,-9.997038841,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9.860801204,-4.119186318,0.19998084,9.997038841,0,-0,0,-0,0.1984114441,9.860801204,0.00199991874,0.19998084,0,0,0,0,-10.9953311,-0.0009997038841,0,-0,0,14.11622516,-9.997038841,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.99407768,-0,-9.660820364,-0.19998084,-0,-1.000000001,-1,-1,0.38,0.88,-20.99236994,-21.99207383,-0.0009997038841,-0,-0.999999999,-1,-1
0.03,0.03,0.296853024,9.831261183,9.831261183,-1.903021751,0.004499521014,0.2999333083,0.2999333083,9.993191695,0,0,0,-0,0,0,0,-0,-10.99132124,-0.0009993191695,0,-0,0,11.89621345,-9.993191695,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9.831261183,-1.903021751,0.2999333083,9.993191695,0,-0,0,-0,0.296853024,9.831261183,0.004499521014,0.2999333083,0,0,0,0,-10.99132124,-0.0009993191695,0,-0,0,11.89621345,-9.993191695,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.98638339,-0,-9.531327874,-0.2999333083,-0,-1.000000001,-1,-1,0.37,0.87,-20.98451294,-21.98383211,-0.0009993191695,-0,-0.999999999,-1,-1
0.04,0.04,0.3950978508,9.820092819,9.820092819,-0.4772013454,0.007998429882,0.399839414,0.399839414,9.987766508,0,0,0,-0,0,0,0,-0,-10.98549666,-0.0009987766508,0,-0,0,10.46496785,-9.987766508,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9.820092819,-0.4772013454,0.399839414,9.987766508,0,-0,0,-0,0.3950978508,9.820092819,0.007998429882,0.399839414,0,0,0,0,-10.98549666,-0.0009987766508,0,-0,0,10.46496785,-9.987766508,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.97553302,-0,-9.420253405,-0.399839414,-0,-1.000000001,-1,-1,0.36,0.86,-20.97326317,-21.97203982,-0.0009987766508,-0,-0.9999999991,-1,-1
0.05,0.05,0.4932872031,9.818616028,9.818616028,0.01923586246,0.0124961022,0.4996833812,0.4996833812,9.980764138,0,0,0,-0,0,0,0,-0,-10.9778444,-0.0009980764138,0,-0,0,9.961528275,-9.980764138,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9.818616028,0.01923586246,0.4996833812,9.980764138,0,-0,0,-0,0.4932872031,9.818616028,0.0124961022,0.4996833812,0,0,0,0,-10.9778444,-0.0009980764138,0,-0,0,9.961528275,-9.980764138,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.96152828,-0,-9.318932647,-0.4996833812,-0,-1.000000001,-1,-1,0.35,0.85,-20.95860854,-21.95668495,-0.0009980764138,-0,-0.9999999991,-1,-1
0.06,0.06,0.5914703781,9.817219101,9.817219101,-0.4616205255,0.01799183781,0.5994494432,0.5994494432,9.972185688,0,0,0,-0,0,0,0,-0,-10.96836088,-0.0009972185688,0,-0,0,10.43380621,-9.972185688,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9.817219101,-0.4616205255,0.5994494432,9.972185688,0,-0,0,-0,0.5914703781,9.817219101,0.01799183781,0.5994494432,0,0,0,0,-10.96836088,-0.0009972185688,0,-0,0,10.43380621,-9.972185688,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.94437138,-0,-9.217769658,-0.5994494432,-0,-1.000000001,-1,-1,0.34,0.84,-20.94054657,-21.93776513,-0.0009972185688,-0,-0.9999999991,-0.9999999999,-1
0.07,0.07,0.6895996754,9.80627957,9.80627957,-1.871862572,0.02448477886,0.6991218458,0.6991218458,9.962032516,0,0,0,-0,0,0,0,-0,-10.95705238,-0.0009962032516,0,-0,0,11.83389509,-9.962032516,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9.80627957,-1.871862572,0.6991218458,9.962032516,0,-0,0,-0,0.6895996754,9.80627957,0.02448477886,0.6991218458,0,0,0,0,-10.95705238,-0.0009962032516,0,-0,0,11.83389509,-9.962032516,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.92406503,-0,-9.107157724,-0.6991218458,-0,-1.000000001,-1,-1,0.33,0.83,-20.91908489,-21.91528814,-0.0009962032516,-0,-0.9999999991,-0.9999999999,-1
0.08,0.08,0.7875351407,9.777137283,9.777137283,-4.072453699,0.03197391006,0.7986848497,0.7986848497,9.950306222,0,0,0,-0,0,0,0,-0,-10.94393457,-0.0009950306222,0,-0,0,14.02275992,-9.950306222,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9.777137283,-4.072453699,0.7986848497,9.950306222,0,-0,0,-0,0.7875351407,9.777137283,0.03197391006,0.7986848497,0,0,0,0,-10.94393457,-0.0009950306222,0,-0,0,14.02275992,-9.950306222,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.90061244,-0,-8.978452433,-0.7986848497,-0,-1.000000001,-1,-1,0.32,0.82,-20.89424079,-21.88927141,-0.0009950306222,-0,-0.9999999991,-0.9999999999,-1
0.09,0.09,0.8850585608,9.722911104,9.722911104,-6.846838717,0.04045805878,0.8981227327,0.8981227327,9.93700866,0,0,0,-0,0,0,0,-0,-10.92903114,-0.000993700866,0,-0,0,16.78384738,-9.93700866,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,9.722911104,-6.846838717,0.8981227327,9.93700866,0,-0,0,-0,0.8850585608,9.722911104,0.04045805878,0.8981227327,0,0,0,0,-10.92903114,-0.000993700866,0,-0,0,16.78384738,-9.93700866,0,0,0,-1,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,-0,-19.87401732,-0,-8.824788372,-0.8981227327,-0,-1.000000001,-1,-1,0.31,0.81,-20.8660398,-21.85974067,-0.000993700866,-0,-0.9999999991,-0.9999999999,-1
