    "time",    "J1_w",    "J2_w",    "J3_w",    "J4_w"
     0.255, 7.8610646, 2.5069043,4.4408921e-015,-2.6860206e-011
     0.258, 7.8619678, 2.5353669,4.8849813e-015,-2.6859762e-011
     0.261, 7.8622044, 2.5637935,4.4408921e-015,-2.6860206e-011
     0.264, 7.8615202, 2.5921838,4.4408921e-015,-2.6860206e-011
     0.267, 7.8596698, 2.6205373,4.8849813e-015,-2.6859762e-011
      0.27, 7.8564184, 2.6488536,4.4408921e-015,-2.6860206e-011
     0.273, 7.8515438, 2.6771325,3.9968029e-015,-2.6860649e-011
     0.276, 7.8448388, 2.7053733,4.4408921e-015,-2.6860205e-011
     0.279, 7.8361125, 2.7335758,5.3290705e-015,-2.6859317e-011
     0.282, 7.8251925, 2.7617395,4.8849813e-015,-2.685976e-011
     0.285, 7.8119261, 2.7898641,4.8849813e-015,-2.685976e-011
     0.288,  7.796182, 2.8179491,4.8849813e-015,-2.6859759e-011
     0.291, 7.7778508, 2.8459942,4.8849813e-015,-2.6859759e-011
     0.294, 7.7568468, 2.8739989,4.4408921e-015,-2.6860202e-011
     0.297, 7.7331083, 2.9019628,5.3290705e-015,-2.6859314e-011
       0.3, 7.7065982, 2.9298856,5.7731597e-015,-2.685887e-011
     0.303, 7.6773042, 2.9577669,6.6613381e-015,-2.6857981e-011
     0.306, 7.6452394, 2.9856062,6.2172489e-015,-2.6858425e-011
     0.309, 7.6104417, 3.0134031,4.8849813e-015,-2.6859757e-011
     0.312, 7.5729735, 3.0411573,5.3290705e-015,-2.6859313e-011
     0.315, 7.5329215, 3.0688684,5.7731597e-015,-2.6858869e-011
     0.318, 7.4903957,  3.096536,6.6613381e-015,-2.6857981e-011
     0.321, 7.4455282, 3.1241596,6.2172489e-015,-2.6858425e-011
     0.324, 7.3984726, 3.1517389,5.7731597e-015,-2.6858869e-011
     0.327, 7.3494021, 3.1792735,6.2172489e-015,-2.6858425e-011
      0.33, 7.2985083, 3.2067631,6.2172489e-015,-2.6858425e-011
     0.333, 7.2459993, 3.2342071,6.2172489e-015,-2.6858425e-011
     0.336,  7.192098, 3.2616053,6.2172489e-015,-2.6858425e-011
     0.339, 7.1370399, 3.2889572,6.2172489e-015,-2.6858425e-011
     0.342, 7.0810715, 3.3162624,6.2172489e-015,-2.6858425e-011
     0.345, 7.0244474, 3.3435207,5.7731597e-015,-2.6858869e-011
     0.348, 6.9674289, 3.3707314,5.3290705e-015,-2.6859313e-011
     0.351, 6.9102807, 3.3978944,5.3290705e-015,-2.6859313e-011
