"Time","light_intensity","light_switch","headlight","light_switch_old","off_counter","on_counter"
0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
1.000000000000000E-02,0.000000000000000E+00,1.176470588235300E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
2.000000000000000E-02,0.000000000000000E+00,2.352941176470600E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
3.000000000000000E-02,0.000000000000000E+00,3.529411764705900E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
4.000000000000000E-02,0.000000000000000E+00,4.705882352941200E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
5.000000000000000E-02,0.000000000000000E+00,5.882352941176500E-01,1.000000000000000E+00,1.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
6.000000000000000E-02,0.000000000000000E+00,7.058823529411800E-01,1.000000000000000E+00,1.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
7.000000000000001E-02,0.000000000000000E+00,8.235294117647100E-01,1.000000000000000E+00,1.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
8.000000000000000E-02,0.000000000000000E+00,9.411764705882401E-01,1.000000000000000E+00,1.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
9.000000000000000E-02,0.000000000000000E+00,1.058823529411800E+00,1.000000000000000E+00,1.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
1.000000000000000E-01,0.000000000000000E+00,1.176470588235300E+00,1.000000000000000E+00,1.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
1.100000000000000E-01,0.000000000000000E+00,1.294117647058800E+00,1.000000000000000E+00,1.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
1.200000000000000E-01,0.000000000000000E+00,1.411764705882400E+00,1.000000000000000E+00,1.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
1.300000000000000E-01,0.000000000000000E+00,1.529411764705900E+00,1.000000000000000E+00,2.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00
