"time","_h","_v"
0.0000000000000000E+000,9.9998500000000001E-001,-1.0000000000000000E-002
6.0000000000000001E-003,9.9968499999999982E-001,-7.0000000000000007E-002
1.2000000000000004E-002,9.9915999999999960E-001,-1.1999999999999998E-001
1.8000000000000009E-002,9.9800499999999936E-001,-1.9000000000000003E-001
2.4000000000000014E-002,9.9662499999999921E-001,-2.5000000000000006E-001
3.0000000000000020E-002,9.9488499999999902E-001,-3.1000000000000011E-001
3.6000000000000025E-002,9.9278499999999881E-001,-3.7000000000000016E-001
4.2000000000000030E-002,9.9032499999999857E-001,-4.3000000000000022E-001
4.8000000000000036E-002,9.8750499999999841E-001,-4.9000000000000027E-001
5.4000000000000041E-002,9.8432499999999823E-001,-5.5000000000000027E-001
6.0000000000000046E-002,9.8078499999999802E-001,-6.1000000000000032E-001
6.6000000000000045E-002,9.7688499999999789E-001,-6.7000000000000037E-001
7.2000000000000050E-002,9.7262499999999763E-001,-7.3000000000000043E-001
7.8000000000000055E-002,9.6800499999999745E-001,-7.9000000000000048E-001
8.4000000000000061E-002,9.6302499999999724E-001,-8.5000000000000053E-001
9.0000000000000066E-002,9.5768499999999712E-001,-9.1000000000000059E-001
9.6000000000000071E-002,9.5198499999999686E-001,-9.7000000000000064E-001
1.0200000000000008E-001,9.4592499999999669E-001,-1.0300000000000007E+000
1.0800000000000008E-001,9.3950499999999648E-001,-1.0900000000000007E+000
1.1400000000000009E-001,9.3272499999999625E-001,-1.1500000000000008E+000
1.2000000000000009E-001,9.2558499999999599E-001,-1.2100000000000009E+000
1.2600000000000008E-001,9.1935999999999585E-001,-1.2600000000000009E+000
1.3200000000000009E-001,9.1155999999999571E-001,-1.3200000000000010E+000
1.3800000000000009E-001,9.0339999999999543E-001,-1.3800000000000010E+000
1.4400000000000010E-001,8.9342499999999525E-001,-1.4500000000000011E+000
1.5000000000000011E-001,8.8448499999999508E-001,-1.5100000000000011E+000
1.5600000000000011E-001,8.7518499999999488E-001,-1.5700000000000012E+000
1.6200000000000012E-001,8.6552499999999466E-001,-1.6300000000000012E+000
1.6800000000000012E-001,8.5550499999999452E-001,-1.6900000000000013E+000
1.7400000000000013E-001,8.4512499999999424E-001,-1.7500000000000013E+000
1.8000000000000013E-001,8.3438499999999405E-001,-1.8100000000000014E+000
1.8600000000000014E-001,8.2328499999999383E-001,-1.8700000000000014E+000
1.9200000000000014E-001,8.1182499999999369E-001,-1.9300000000000015E+000
1.9800000000000015E-001,8.0000499999999342E-001,-1.9900000000000015E+000
2.0400000000000015E-001,7.8782499999999323E-001,-2.0500000000000003E+000
2.1000000000000016E-001,7.7528499999999312E-001,-2.1099999999999990E+000
2.1600000000000016E-001,7.6238499999999287E-001,-2.1699999999999977E+000
2.2200000000000017E-001,7.4912499999999271E-001,-2.2299999999999964E+000
2.2800000000000017E-001,7.3550499999999253E-001,-2.2899999999999952E+000
2.3400000000000018E-001,7.2152499999999242E-001,-2.3499999999999939E+000
2.4000000000000019E-001,7.0718499999999229E-001,-2.4099999999999926E+000
2.4600000000000019E-001,6.9248499999999213E-001,-2.4699999999999913E+000
2.5200000000000017E-001,6.7742499999999195E-001,-2.5299999999999900E+000
2.5800000000000017E-001,6.6200499999999185E-001,-2.5899999999999888E+000
2.6400000000000018E-001,6.4622499999999172E-001,-2.6499999999999875E+000
2.7000000000000018E-001,6.3008499999999157E-001,-2.7099999999999862E+000
2.7600000000000019E-001,6.1358499999999150E-001,-2.7699999999999849E+000
2.8200000000000019E-001,5.9672499999999140E-001,-2.8299999999999836E+000
2.8800000000000020E-001,5.7950499999999139E-001,-2.8899999999999824E+000
2.9400000000000021E-001,5.6192499999999124E-001,-2.9499999999999811E+000
3.0000000000000021E-001,5.4398499999999117E-001,-3.0099999999999798E+000
3.0600000000000022E-001,5.2568499999999108E-001,-3.0699999999999785E+000
3.1200000000000022E-001,5.0702499999999107E-001,-3.1299999999999772E+000
3.1800000000000023E-001,4.8800499999999120E-001,-3.1899999999999760E+000
3.2400000000000023E-001,4.6862499999999147E-001,-3.2499999999999747E+000
3.3000000000000024E-001,4.4888499999999176E-001,-3.3099999999999734E+000
3.3600000000000024E-001,4.2878499999999203E-001,-3.3699999999999721E+000
3.4200000000000025E-001,4.0832499999999233E-001,-3.4299999999999708E+000
3.4800000000000025E-001,3.8750499999999266E-001,-3.4899999999999696E+000
3.5400000000000026E-001,3.6632499999999302E-001,-3.5499999999999683E+000
3.6000000000000026E-001,3.4478499999999335E-001,-3.6099999999999670E+000
3.6600000000000027E-001,3.2288499999999370E-001,-3.6699999999999657E+000
3.7200000000000027E-001,3.0062499999999404E-001,-3.7299999999999645E+000
3.7800000000000028E-001,2.7800499999999440E-001,-3.7899999999999632E+000
3.8400000000000029E-001,2.5502499999999473E-001,-3.8499999999999619E+000
3.9000000000000029E-001,2.3168499999999495E-001,-3.9099999999999606E+000
3.9600000000000030E-001,2.0798499999999517E-001,-3.9699999999999593E+000
4.0200000000000030E-001,1.8392499999999540E-001,-4.0299999999999585E+000
4.0800000000000031E-001,1.5950499999999562E-001,-4.0899999999999572E+000
4.1400000000000031E-001,1.3472499999999585E-001,-4.1499999999999559E+000
4.2000000000000032E-001,1.0958499999999607E-001,-4.2099999999999547E+000
4.2600000000000032E-001,8.4084999999996315E-002,-4.2699999999999534E+000
4.3200000000000033E-001,5.8224999999996585E-002,-4.3299999999999521E+000
4.3800000000000033E-001,3.2004999999996883E-002,-4.3899999999999508E+000
4.4400000000000034E-001,5.4249999999971760E-003,-4.4499999999999496E+000
4.5000000000000034E-001,9.3119999999998950E-003,3.0989999999999647E+000
4.5600000000000035E-001,2.7665999999999680E-002,3.0389999999999660E+000
4.6200000000000035E-001,4.5659999999999486E-002,2.9789999999999672E+000
4.6800000000000036E-001,6.3293999999999295E-002,2.9189999999999685E+000
4.7400000000000037E-001,8.0567999999999085E-002,2.8589999999999698E+000
4.8000000000000037E-001,9.7481999999998875E-002,2.7989999999999711E+000
4.8600000000000038E-001,1.1403599999999868E-001,2.7389999999999723E+000
4.9200000000000038E-001,1.3022999999999851E-001,2.6789999999999736E+000
4.9800000000000039E-001,1.4606399999999833E-001,2.6189999999999749E+000
5.0400000000000034E-001,1.6153799999999816E-001,2.5589999999999762E+000
5.1000000000000034E-001,1.7665199999999798E-001,2.4989999999999775E+000
5.1600000000000035E-001,1.9140599999999783E-001,2.4389999999999787E+000
5.2200000000000035E-001,2.0579999999999768E-001,2.3789999999999800E+000
5.2800000000000036E-001,2.1983399999999753E-001,2.3189999999999813E+000
5.3400000000000036E-001,2.3350799999999741E-001,2.2589999999999826E+000
5.4000000000000037E-001,2.4682199999999727E-001,2.1989999999999839E+000
5.4600000000000037E-001,2.5977599999999729E-001,2.1389999999999851E+000
5.5200000000000038E-001,2.7236999999999734E-001,2.0789999999999864E+000
5.5800000000000038E-001,2.8460399999999741E-001,2.0189999999999877E+000
5.6400000000000039E-001,2.9647799999999747E-001,1.9589999999999879E+000
5.7000000000000040E-001,3.0799199999999755E-001,1.8989999999999878E+000
5.7600000000000040E-001,3.1914599999999760E-001,1.8389999999999878E+000
5.8200000000000041E-001,3.2993999999999768E-001,1.7789999999999877E+000
