time,ContinuousState[0],ContinuousState[1],ContinuousState[2],ContinuousState[3],ContinuousState[4],ContinuousState[5],ContinuousState[6],ContinuousState[7],EventIndicator[0],EventIndicator[1],EventIndicator[2],Out1,Out2,Out3[1],Out3[2],Out4,Out5,Out6
0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
0.02,0.000195993269424439,0.000391986538848878,1.26797248166826E-006,0.000195993269424439,0.000197259282846201,0.000194739294500556,0.000194739294500556,1.26197549615395E-006,-0.999608013461151,0.000391986538848878,0,0.000195993269424439,0.000391986538848878,1.26797248166826E-006,0.000195993269424439,0.0201959259761793,0.000194739294500556,0.000193477319004402
0.04,0.000795893075057595,0.00159178615011519,1.05271396697967E-005,0.000795893075057595,0.000806517055057555,0.000785477132634409,0.000785477132634409,1.0423942089312E-005,-0.998408213849885,0.00159178615011519,0,0.000795893075057595,0.00159178615011519,1.05271396697967E-005,0.000795893075057595,0.0407958512416917,0.000785477132634409,0.000775053190545097
0.06,0.00179545946764244,0.00359091893528488,3.57814966968582E-005,0.00179545946764244,0.0018317733541936,0.0017602136157247,0.0017602136157247,3.52538517060662E-005,-0.996409081064715,0.00359091893528488,0,0.00179545946764244,0.00359091893528488,3.57814966968582E-005,0.00179545946764244,0.0617957798336382,0.0017602136157247,0.00172495976401864
0.0800000000000001,0.00319429263394931,0.00638858526789863,8.50206408234249E-005,0.00319429263394931,0.00328102833921444,0.00311094895498912,0.00311094895498912,8.33516789877969E-005,-0.993611414732101,0.00638858526789863,0,0.00319429263394931,0.00638858526789863,8.50206408234249E-005,0.00319429263394931,0.0831957223083872,0.00311094895498912,0.00302759727600132
0.1,0.00499183305936255,0.0099836661187251,0.000166224575693441,0.00499183305936255,0.00516228247364469,0.00482968365426899,0.00482968365426899,0.000162157405485575,-0.990016333881275,0.0099836661187251,0,0.00499183305936255,0.0099836661187251,0.000166224575693441,0.00499183305936255,0.104995699120473,0.00482968365426899,0.00466752624878342
0.12,0.00718736175167888,0.0143747235033578,0.000287360519512863,0.00718736175167888,0.00748353675675597,0.0069084187245167,0.0069084187245167,0.000278951027462145,-0.985625276496642,0.0143747235033578,0,0.00718736175167888,0.0143747235033578,0.000287360519512863,0.00718736175167888,0.127195744045675,0.0069084187245167,0.00662946769705455
0.14,0.00978000052869469,0.0195600010573894,0.000456379718180545,0.00978000052869469,0.0102527930264658,0.00933915596028107,0.00933915596028107,0.000440852568721046,-0.980439998942611,0.0195600010573894,0,0.00978000052869469,0.0195600010573894,0.000456379718180545,0.00978000052869469,0.149795907670702,0.00933915596028107,0.00889830339156003
0.16,0.0127687123694672,0.0255374247389345,0.000681214264947684,0.0127687123694672,0.0134780543292701,0.0121138982700798,0.0121138982700798,0.000654822099528885,-0.974462575261066,0.0255374247389345,0,0.0127687123694672,0.0255374247389345,0.000681214264947684,0.0127687123694672,0.172796260943516,0.0121138982700798,0.0114590761705509
0.18,0.0161523018291092,0.0323046036582183,0.000969773927662717,0.0161523018291092,0.0171673253649774,0.0152246500666188,0.0152246500666188,0.000927659762660119,-0.967695396341782,0.0323046036582183,0,0.0161523018291092,0.0323046036582183,0.000969773927662717,0.0161523018291092,0.196196898790802,0.0152246500666188,0.0142969903039587
0.2,0.0199294155169505,0.0398588310339011,0.00132994298498989,0.0199294155169505,0.0213286130021461,0.0186634177093513,0.0186634177093513,0.0012660058078329,-0.960141168966099,0.0398588310339011,0,0.0199294155169505,0.0398588310339011,0.00132994298498989,0.0199294155169505,0.219997943797208,0.0186634177093513,0.0173974119015184
