"time","step-size","csv.i.In1","source.i.Out1"
0.0,0.0,0.0,0.0
0.01,0.01,0.01,0.0
0.02,0.01,0.019999,1.0E-4
0.03,0.01,0.029996,2.9999E-4
0.04,0.01,0.039989,5.999499999999999E-4
0.05,0.01,0.049979,9.998399999999999E-4
0.060000000000000005,0.01,0.05996400000000001,0.0014996299999999998
0.07,0.01,0.069943,0.00209927
0.08,0.01,0.079915,0.0027987
0.09,0.01,0.089879,0.0035978499999999997
0.09999999999999999,0.01,0.09983299999999999,0.00449664
0.10999999999999999,0.01,0.10977799999999999,0.00549497
0.11999999999999998,0.01,0.11971199999999999,0.00659275
0.12999999999999998,0.01,0.12963399999999997,0.007789869999999999
0.13999999999999999,0.01,0.13954299999999997,0.009086209999999999
0.15,0.01,0.149438,0.010481639999999999
0.16,0.01,0.159318,0.011976019999999999
0.17,0.01,0.169182,0.013569199999999998
0.18000000000000002,0.01,0.17903000000000002,0.015261019999999998
0.19000000000000003,0.01,0.18885900000000003,0.01705132
0.20000000000000004,0.01,0.19866900000000004,0.018939909999999997
0.21000000000000005,0.01,0.20846000000000006,0.020926599999999997
0.22000000000000006,0.01,0.21823000000000006,0.023011199999999996
0.23000000000000007,0.01,0.22797800000000004,0.025193499999999997
0.24000000000000007,0.01,0.23770300000000008,0.027473279999999996
0.25000000000000006,0.01,0.24740400000000007,0.029850309999999998
0.26000000000000006,0.01,0.25708100000000006,0.03232435
0.2700000000000001,0.01,0.26673100000000005,0.03489516
0.2800000000000001,0.01,0.27635600000000005,0.03756247
0.2900000000000001,0.01,0.2859520000000001,0.04032603
0.3000000000000001,0.01,0.2955200000000001,0.04318555
0.3100000000000001,0.01,0.30505900000000014,0.04614075
0.3200000000000001,0.01,0.3145670000000001,0.04919134
0.3300000000000001,0.01,0.32404300000000014,0.05233701
0.34000000000000014,0.01,0.3334870000000001,0.055577440000000006
0.35000000000000014,0.01,0.34289800000000015,0.05891231000000001
0.36000000000000015,0.01,0.35227400000000014,0.06234129000000001
0.37000000000000016,0.01,0.3616150000000002,0.06586403
0.38000000000000017,0.01,0.3709200000000002,0.06948018
0.3900000000000002,0.01,0.3801880000000002,0.07318938
0.4000000000000002,0.01,0.38941800000000015,0.07699126
0.4100000000000002,0.01,0.3986090000000002,0.08088544
0.4200000000000002,0.01,0.40776000000000023,0.08487153
0.4300000000000002,0.01,0.4168710000000002,0.08894913
0.4400000000000002,0.01,0.42593900000000023,0.09311784000000001
0.45000000000000023,0.01,0.43496600000000024,0.09737723000000001
0.46000000000000024,0.01,0.44394800000000023,0.10172689000000001
0.47000000000000025,0.01,0.45288600000000023,0.10616637000000001
0.48000000000000026,0.01,0.4617790000000002,0.11069523
0.49000000000000027,0.01,0.4706260000000002,0.11531302
0.5000000000000002,0.01,0.47942600000000024,0.12001928
0.5100000000000002,0.01,0.4881770000000002,0.12481354
0.5200000000000002,0.01,0.49688000000000015,0.12969531
0.5300000000000002,0.01,0.5055330000000002,0.13466411
0.5400000000000003,0.01,0.5141360000000003,0.13971944
0.5500000000000003,0.01,0.5226870000000002,0.1448608
