"time","freqHz","T2","T3","J1.flange_a.phi","J1.flange_a.tau","J1.flange_b.phi","J1.flange_b.tau","J1.J","J1.phi","der(J1.phi)"
0,0.2,0.4,0.9,0,0,0,-10,1,0,10
0.0015,0.2,0.4,0.9,0.0149887,0.471065,0.0149887,-9.99999,1,0.0149887,9.98536
0.003,0.2,0.4,0.9,0.0299564,0.941083,0.0299564,-9.99996,1,0.0299564,9.97143
0.0045,0.2,0.4,0.9,0.0449048,1.40901,0.0449048,-9.99988,1,0.0449048,9.95819
0.006,0.2,0.4,0.9,0.0598337,1.87381,0.0598337,-9.99977,1,0.0598337,9.94565
0.0075,0.2,0.4,0.9,0.0747446,2.33445,0.0747446,-9.99963,1,0.0747446,9.9338
0.009,0.2,0.4,0.9,0.0896385,2.78991,0.0896385,-9.99945,1,0.0896385,9.92263
0.0105,0.2,0.4,0.9,0.104516,3.23917,0.104516,-9.99923,1,0.104516,9.91215
0.012,0.2,0.4,0.9,0.119378,3.68125,0.119378,-9.99898,1,0.119378,9.90232
0.0135,0.2,0.4,0.9,0.134226,4.11514,0.134226,-9.99869,1,0.134226,9.89316
0.015,0.2,0.4,0.9,0.149061,4.53991,0.149061,-9.99837,1,0.149061,9.88463
0.0165,0.2,0.4,0.9,0.163883,4.95459,0.163883,-9.99801,1,0.163883,9.87674
0.018,0.2,0.4,0.9,0.178695,5.35827,0.178695,-9.99762,1,0.178695,9.86944
0.0195,0.2,0.4,0.9,0.193495,5.75005,0.193495,-9.99719,1,0.193495,9.86276
0.021,0.2,0.4,0.9,0.208286,6.12907,0.208286,-9.99673,1,0.208286,9.85664
0.0225,0.2,0.4,0.9,0.223068,6.49448,0.223068,-9.99623,1,0.223068,9.85109
0.024,0.2,0.4,0.9,0.237843,6.84547,0.237843,-9.99569,1,0.237843,9.84607
0.0255,0.2,0.4,0.9,0.25261,7.18126,0.25261,-9.99512,1,0.25261,9.84156
0.027,0.2,0.4,0.9,0.26737,7.50111,0.26737,-9.99451,1,0.26737,9.83755
0.0285,0.2,0.4,0.9,0.282125,7.8043,0.282125,-9.99387,1,0.282125,9.83399
0.03,0.2,0.4,0.9,0.296874,8.09017,0.296874,-9.99319,1,0.296874,9.83089
0.0315,0.2,0.4,0.9,0.311619,8.35807,0.311619,-9.99248,1,0.311619,9.82822
0.033,0.2,0.4,0.9,0.32636,8.60742,0.32636,-9.99173,1,0.32636,9.82593
0.0345,0.2,0.4,0.9,0.341098,8.83766,0.341098,-9.99095,1,0.341098,9.82402
0.036,0.2,0.4,0.9,0.355832,9.04827,0.355832,-9.99013,1,0.355832,9.82245
0.0375,0.2,0.4,0.9,0.370565,9.2388,0.370565,-9.98927,1,0.370565,9.82119
0.039,0.2,0.4,0.9,0.385295,9.40881,0.385295,-9.98838,1,0.385295,9.8202
0.0405,0.2,0.4,0.9,0.400024,9.55793,0.400024,-9.98745,1,0.400024,9.81945
0.042,0.2,0.4,0.9,0.414753,9.68583,0.414753,-9.98649,1,0.414753,9.81892
0.0435,0.2,0.4,0.9,0.42948,9.79223,0.42948,-9.98549,1,0.42948,9.81855
0.045,0.2,0.4,0.9,0.444208,9.87688,0.444208,-9.98446,1,0.444208,9.81834
0.0465,0.2,0.4,0.9,0.458935,9.93961,0.458935,-9.98339,1,0.458935,9.81823
0.048,0.2,0.4,0.9,0.473662,9.98027,0.473662,-9.98229,1,0.473662,9.81821
0.0495,0.2,0.4,0.9,0.488389,9.99877,0.488389,-9.98115,1,0.488389,9.81822
0.051,0.2,0.4,0.9,0.503117,9.99507,0.503117,-9.97998,1,0.503117,9.81825
0.0525,0.2,0.4,0.9,0.517844,9.96917,0.517844,-9.97877,1,0.517844,9.81826
0.054,0.2,0.4,0.9,0.532571,9.92115,0.532571,-9.97752,1,0.532571,9.81821
0.0555,0.2,0.4,0.9,0.547299,9.85109,0.547299,-9.97624,1,0.547299,9.81808
0.057,0.2,0.4,0.9,0.562026,9.75917,0.562026,-9.97493,1,0.562026,9.81783
0.0585,0.2,0.4,0.9,0.576752,9.64557,0.576752,-9.97357,1,0.576752,9.81743
0.06,0.2,0.4,0.9,0.591477,9.51056,0.591477,-9.97219,1,0.591477,9.81684
0.0615,0.2,0.4,0.9,0.606201,9.35444,0.606201,-9.97076,1,0.606201,9.81604
0.063,0.2,0.4,0.9,0.620924,9.17755,0.620924,-9.96931,1,0.620924,9.81499
0.0645,0.2,0.4,0.9,0.635645,8.98028,0.635645,-9.96781,1,0.635645,9.81366
0.066,0.2,0.4,0.9,0.650363,8.76307,0.650363,-9.96628,1,0.650363,9.81203
0.0675,0.2,0.4,0.9,0.665079,8.5264,0.665079,-9.96472,1,0.665079,9.81006
0.069,0.2,0.4,0.9,0.679791,8.27081,0.679791,-9.96312,1,0.679791,9.80773
0.0705,0.2,0.4,0.9,0.6945,7.99685,0.6945,-9.96148,1,0.6945,9.805
0.072,0.2,0.4,0.9,0.709205,7.70513,0.709205,-9.95981,1,0.709205,9.80184
0.0735,0.2,0.4,0.9,0.723905,7.39631,0.723905,-9.95811,1,0.723905,9.79824
0.075,0.2,0.4,0.9,0.738598,7.07107,0.738598,-9.95637,1,0.738598,9.79418
0.0765,0.2,0.4,0.9,0.753286,6.73012,0.753286,-9.95459,1,0.753286,9.78961
0.078,0.2,0.4,0.9,0.767966,6.37424,0.767966,-9.95278,1,0.767966,9.78453
0.0795,0.2,0.4,0.9,0.782639,6.0042,0.782639,-9.95093,1,0.782639,9.77889
0.081,0.2,0.4,0.9,0.797302,5.62083,0.797302,-9.94905,1,0.797302,9.77269
0.0825,0.2,0.4,0.9,0.811957,5.22499,0.811957,-9.94713,1,0.811957,9.76592
0.084,0.2,0.4,0.9,0.8266,4.81754,0.8266,-9.94518,1,0.8266,9.75855
0.0855,0.2,0.4,0.9,0.841232,4.39939,0.841232,-9.94319,1,0.841232,9.75056
0.087,0.2,0.4,0.9,0.855852,3.97148,0.855852,-9.94116,1,0.855852,9.74194
0.0885,0.2,0.4,0.9,0.870458,3.53475,0.870458,-9.9391,1,0.870458,9.73266
0.09,0.2,0.4,0.9,0.88505,3.09017,0.88505,-9.93701,1,0.88505,9.72274
0.0915,0.2,0.4,0.9,0.899627,2.63873,0.899627,-9.93488,1,0.899627,9.71214
0.093,0.2,0.4,0.9,0.914187,2.18143,0.914187,-9.93271,1,0.914187,9.70086
0.0945,0.2,0.4,0.9,0.92873,1.71929,0.92873,-9.93051,1,0.92873,9.6889
0.096,0.2,0.4,0.9,0.943254,1.25333,0.943254,-9.92828,1,0.943254,9.67624
0.0975,0.2,0.4,0.9,0.957759,0.784591,0.957759,-9.92601,1,0.957759,9.66288
0.099,0.2,0.4,0.9,0.972243,0.314108,0.972243,-9.9237,1,0.972243,9.64883
0.1005,0.2,0.4,0.9,0.986706,-0.157073,0.986706,-9.92136,1,0.986706,9.63407
0.102,0.2,0.4,0.9,1.00115,-0.627905,1.00115,-9.91898,1,1.00115,9.6186
0.1035,0.2,0.4,0.9,1.01556,-1.09734,1.01556,-9.91657,1,1.01556,9.60243
0.105,0.2,0.4,0.9,1.02995,-1.56434,1.02995,-9.91412,1,1.02995,9.58557
0.1065,0.2,0.4,0.9,1.04432,-2.02787,1.04432,-9.91164,1,1.04432,9.568
0.108,0.2,0.4,0.9,1.05866,-2.4869,1.05866,-9.90912,1,1.05866,9.54975
0.1095,0.2,0.4,0.9,1.07297,-2.9404,1.07297,-9.90657,1,1.07297,9.53082
0.111,0.2,0.4,0.9,1.08725,-3.38738,1.08725,-9.90398,1,1.08725,9.51122
0.1125,0.2,0.4,0.9,1.1015,-3.82683,1.1015,-9.90136,1,1.1015,9.49095
0.114,0.2,0.4,0.9,1.11572,-4.25779,1.11572,-9.8987,1,1.11572,9.47004
0.1155,0.2,0.4,0.9,1.12991,-4.6793,1.12991,-9.896,1,1.12991,9.44849
0.117,0.2,0.4,0.9,1.14407,-5.09041,1.14407,-9.89327,1,1.14407,9.42631
0.1185,0.2,0.4,0.9,1.15819,-5.49023,1.15819,-9.89051,1,1.15819,9.40354
0.12,0.2,0.4,0.9,1.17228,-5.87785,1.17228,-9.88771,1,1.17228,9.38017
0.1215,0.2,0.4,0.9,1.18633,-6.25243,1.18633,-9.88488,1,1.18633,9.35624
0.123,0.2,0.4,0.9,1.20035,-6.61312,1.20035,-9.88201,1,1.20035,9.33176
0.1245,0.2,0.4,0.9,1.21433,-6.95913,1.21433,-9.8791,1,1.21433,9.30676
0.126,0.2,0.4,0.9,1.22827,-7.28969,1.22827,-9.87616,1,1.22827,9.28125
0.1275,0.2,0.4,0.9,1.24217,-7.60406,1.24217,-9.87319,1,1.24217,9.25526
0.129,0.2,0.4,0.9,1.25604,-7.90155,1.25604,-9.87018,1,1.25604,9.22882
0.1305,0.2,0.4,0.9,1.26986,-8.1815,1.26986,-9.86713,1,1.26986,9.20194
0.132,0.2,0.4,0.9,1.28364,-8.44328,1.28364,-9.86405,1,1.28364,9.17466
0.1335,0.2,0.4,0.9,1.29739,-8.68632,1.29739,-9.86094,1,1.29739,9.14701
0.135,0.2,0.4,0.9,1.31109,-8.91007,1.31109,-9.85779,1,1.31109,9.11901
0.1365,0.2,0.4,0.9,1.32474,-9.11403,1.32474,-9.8546,1,1.32474,9.0907
0.138,0.2,0.4,0.9,1.33836,-9.29776,1.33836,-9.85138,1,1.33836,9.06211
0.1395,0.2,0.4,0.9,1.35193,-9.46085,1.35193,-9.84813,1,1.35193,9.03325
0.141,0.2,0.4,0.9,1.36546,-9.60294,1.36546,-9.84484,1,1.36546,9.00417
0.1425,0.2,0.4,0.9,1.37894,-9.7237,1.37894,-9.84151,1,1.37894,8.97489
0.144,0.2,0.4,0.9,1.39238,-9.82287,1.39238,-9.83815,1,1.39238,8.94546
0.1455,0.2,0.4,0.9,1.40578,-9.90024,1.40578,-9.83476,1,1.40578,8.91591
0.147,0.2,0.4,0.9,1.41913,-9.95562,1.41913,-9.83133,1,1.41913,8.88625
0.1485,0.2,0.4,0.9,1.43244,-9.9889,1.43244,-9.82786,1,1.43244,8.85653
0.15,0.2,0.4,0.9,1.4457,-10,1.4457,-9.82436,1,1.4457,8.82678
0.1515,0.2,0.4,0.9,1.45892,-9.9889,1.45892,-9.82083,1,1.45892,8.79704
0.153,0.2,0.4,0.9,1.47209,-9.95562,1.47209,-9.81726,1,1.47209,8.76735
0.1545,0.2,0.4,0.9,1.48522,-9.90024,1.48522,-9.81365,1,1.48522,8.73772
0.156,0.2,0.4,0.9,1.49831,-9.82287,1.49831,-9.81001,1,1.49831,8.70819
0.1575,0.2,0.4,0.9,1.51135,-9.7237,1.51135,-9.80634,1,1.51135,8.6788
0.159,0.2,0.4,0.9,1.52434,-9.60294,1.52434,-9.80263,1,1.52434,8.64958
0.1605,0.2,0.4,0.9,1.5373,-9.46085,1.5373,-9.79889,1,1.5373,8.62057
0.162,0.2,0.4,0.9,1.5502,-9.29776,1.5502,-9.79511,1,1.5502,8.5918
0.1635,0.2,0.4,0.9,1.56307,-9.11403,1.56307,-9.79129,1,1.56307,8.56328
0.165,0.2,0.4,0.9,1.57589,-8.91007,1.57589,-9.78745,1,1.57589,8.53506
0.1665,0.2,0.4,0.9,1.58868,-8.68632,1.58868,-9.78356,1,1.58868,8.50717
0.168,0.2,0.4,0.9,1.60142,-8.44328,1.60142,-9.77964,1,1.60142,8.47964
0.1695,0.2,0.4,0.9,1.61412,-8.1815,1.61412,-9.77569,1,1.61412,8.4525
0.171,0.2,0.4,0.9,1.62677,-7.90155,1.62677,-9.7717,1,1.62677,8.42576
0.1725,0.2,0.4,0.9,1.63939,-7.60406,1.63939,-9.76768,1,1.63939,8.39945
0.174,0.2,0.4,0.9,1.65197,-7.28969,1.65197,-9.76363,1,1.65197,8.37362
0.1755,0.2,0.4,0.9,1.66451,-6.95913,1.66451,-9.75953,1,1.66451,8.34828
0.177,0.2,0.4,0.9,1.67702,-6.61312,1.67702,-9.75541,1,1.67702,8.32345
0.1785,0.2,0.4,0.9,1.68948,-6.25243,1.68948,-9.75125,1,1.68948,8.29916
0.18,0.2,0.4,0.9,1.70191,-5.87785,1.70191,-9.74705,1,1.70191,8.27541
0.1815,0.2,0.4,0.9,1.71431,-5.49023,1.71431,-9.74282,1,1.71431,8.25224
0.183,0.2,0.4,0.9,1.72667,-5.09041,1.72667,-9.73856,1,1.72667,8.22966
0.1845,0.2,0.4,0.9,1.739,-4.6793,1.739,-9.73426,1,1.739,8.2077
0.186,0.2,0.4,0.9,1.75129,-4.25779,1.75129,-9.72992,1,1.75129,8.18636
0.1875,0.2,0.4,0.9,1.76356,-3.82683,1.76356,-9.72556,1,1.76356,8.16568
0.189,0.2,0.4,0.9,1.77579,-3.38738,1.77579,-9.72115,1,1.77579,8.14566
0.1905,0.2,0.4,0.9,1.78799,-2.9404,1.78799,-9.71671,1,1.78799,8.12633
0.192,0.2,0.4,0.9,1.80017,-2.4869,1.80017,-9.71224,1,1.80017,8.10765
0.1935,0.2,0.4,0.9,1.81231,-2.02787,1.81231,-9.70774,1,1.81231,8.08965
0.195,0.2,0.4,0.9,1.82443,-1.56434,1.82443,-9.70319,1,1.82443,8.07235
0.1965,0.2,0.4,0.9,1.83653,-1.09734,1.83653,-9.69862,1,1.83653,8.05575
0.198,0.2,0.4,0.9,1.8486,-0.627905,1.8486,-9.69401,1,1.8486,8.03987
0.1995,0.2,0.4,0.9,1.86064,-0.157073,1.86064,-9.68936,1,1.86064,8.0247
0.201,0.2,0.4,0.9,1.87267,0.314108,1.87267,-9.68469,1,1.87267,8.01026
0.2025,0.2,0.4,0.9,1.88467,0.784591,1.88467,-9.67997,1,1.88467,7.99653
0.204,0.2,0.4,0.9,1.89666,1.25333,1.89666,-9.67523,1,1.89666,7.98354
0.2055,0.2,0.4,0.9,1.90862,1.71929,1.90862,-9.67044,1,1.90862,7.97122
0.207,0.2,0.4,0.9,1.92057,2.18143,1.92057,-9.66563,1,1.92057,7.95962
0.2085,0.2,0.4,0.9,1.9325,2.63873,1.9325,-9.66078,1,1.9325,7.94871
0.21,0.2,0.4,0.9,1.94441,3.09017,1.94441,-9.65589,1,1.94441,7.9385
0.2115,0.2,0.4,0.9,1.95631,3.53475,1.95631,-9.65097,1,1.95631,7.92897
0.213,0.2,0.4,0.9,1.9682,3.97148,1.9682,-9.64602,1,1.9682,7.92012
0.2145,0.2,0.4,0.9,1.98007,4.39939,1.98007,-9.64103,1,1.98007,7.91192
0.216,0.2,0.4,0.9,1.99193,4.81754,1.99193,-9.63601,1,1.99193,7.90437
0.2175,0.2,0.4,0.9,2.00378,5.22499,2.00378,-9.63095,1,2.00378,7.89746
0.219,0.2,0.4,0.9,2.01562,5.62083,2.01562,-9.62586,1,2.01562,7.89116
0.2205,0.2,0.4,0.9,2.02745,6.0042,2.02745,-9.62074,1,2.02745,7.88547
0.222,0.2,0.4,0.9,2.03928,6.37424,2.03928,-9.61558,1,2.03928,7.88034
0.2235,0.2,0.4,0.9,2.05109,6.73012,2.05109,-9.61038,1,2.05109,7.87578
0.225,0.2,0.4,0.9,2.0629,7.07107,2.0629,-9.60516,1,2.0629,7.87175
0.2265,0.2,0.4,0.9,2.07471,7.39631,2.07471,-9.59989,1,2.07471,7.86822
0.228,0.2,0.4,0.9,2.08651,7.70513,2.08651,-9.5946,1,2.08651,7.86517
0.2295,0.2,0.4,0.9,2.0983,7.99685,2.0983,-9.58927,1,2.0983,7.86257
0.231,0.2,0.4,0.9,2.11009,8.27081,2.11009,-9.58391,1,2.11009,7.86042
0.2325,0.2,0.4,0.9,2.12188,8.5264,2.12188,-9.57851,1,2.12188,7.85869
0.234,0.2,0.4,0.9,2.13367,8.76307,2.13367,-9.57308,1,2.13367,7.85734
0.2355,0.2,0.4,0.9,2.14546,8.98028,2.14546,-9.56761,1,2.14546,7.85634
0.237,0.2,0.4,0.9,2.15724,9.17755,2.15724,-9.56211,1,2.15724,7.85566
0.2385,0.2,0.4,0.9,2.16902,9.35444,2.16902,-9.55658,1,2.16902,7.85526
0.24,0.2,0.4,0.9,2.18081,9.51056,2.18081,-9.55101,1,2.18081,7.85512
0.2415,0.2,0.4,0.9,2.19259,9.64557,2.19259,-9.54541,1,2.19259,7.85519
0.243,0.2,0.4,0.9,2.20437,9.75917,2.20437,-9.53977,1,2.20437,7.85544
0.2445,0.2,0.4,0.9,2.21616,9.85109,2.21616,-9.5341,1,2.21616,7.85588
0.246,0.2,0.4,0.9,2.22794,9.92115,2.22794,-9.5284,1,2.22794,7.85645
0.2475,0.2,0.4,0.9,2.23973,9.96917,2.23973,-9.52266,1,2.23973,7.85712
0.249,0.2,0.4,0.9,2.25152,9.99507,2.25152,-9.51689,1,2.25152,7.85785
0.2505,0.2,0.4,0.9,2.2633,9.99877,2.2633,-9.51108,1,2.2633,7.85861
0.252,0.2,0.4,0.9,2.27509,9.98027,2.27509,-9.50525,1,2.27509,7.85936
0.2535,0.2,0.4,0.9,2.28688,9.93961,2.28688,-9.49937,1,2.28688,7.86007
0.255,0.2,0.4,0.9,2.29868,9.87688,2.29868,-9.49347,1,2.29868,7.86071
0.2565,0.2,0.4,0.9,2.31047,9.79223,2.31047,-9.48753,1,2.31047,7.86123
0.258,0.2,0.4,0.9,2.32226,9.68583,2.32226,-9.48155,1,2.32226,7.86164
0.2595,0.2,0.4,0.9,2.33405,9.55793,2.33405,-9.47555,1,2.33405,7.86187
0.261,0.2,0.4,0.9,2.34585,9.40881,2.34585,-9.4695,1,2.34585,7.8619
0.2625,0.2,0.4,0.9,2.35764,9.2388,2.35764,-9.46343,1,2.35764,7.8617
0.264,0.2,0.4,0.9,2.36943,9.04827,2.36943,-9.45732,1,2.36943,7.86124
0.2655,0.2,0.4,0.9,2.38123,8.83766,2.38123,-9.45118,1,2.38123,7.86048
0.267,0.2,0.4,0.9,2.39302,8.60742,2.39302,-9.445,1,2.39302,7.8594
0.2685,0.2,0.4,0.9,2.40481,8.35807,2.40481,-9.4388,1,2.40481,7.85797
0.27,0.2,0.4,0.9,2.41659,8.09017,2.41659,-9.43255,1,2.41659,7.85616
0.2715,0.2,0.4,0.9,2.42838,7.8043,2.42838,-9.42628,1,2.42838,7.85394
0.273,0.2,0.4,0.9,2.44016,7.50111,2.44016,-9.41997,1,2.44016,7.85128
0.2745,0.2,0.4,0.9,2.45193,7.18126,2.45193,-9.41362,1,2.45193,7.84817
0.276,0.2,0.4,0.9,2.4637,6.84547,2.4637,-9.40725,1,2.4637,7.84457
0.2775,0.2,0.4,0.9,2.47547,6.49448,2.47547,-9.40084,1,2.47547,7.84047
0.279,0.2,0.4,0.9,2.48723,6.12907,2.48723,-9.39439,1,2.48723,7.83584
0.2805,0.2,0.4,0.9,2.49898,5.75005,2.49898,-9.38792,1,2.49898,7.83066
0.282,0.2,0.4,0.9,2.51072,5.35827,2.51072,-9.38141,1,2.51072,7.82491
0.2835,0.2,0.4,0.9,2.52245,4.95459,2.52245,-9.37486,1,2.52245,7.81857
0.285,0.2,0.4,0.9,2.53418,4.53991,2.53418,-9.36829,1,2.53418,7.81163
0.2865,0.2,0.4,0.9,2.54589,4.11514,2.54589,-9.36168,1,2.54589,7.80406
0.288,0.2,0.4,0.9,2.55759,3.68125,2.55759,-9.35503,1,2.55759,7.79586
0.2895,0.2,0.4,0.9,2.56928,3.23917,2.56928,-9.34836,1,2.56928,7.78701
0.291,0.2,0.4,0.9,2.58095,2.78991,2.58095,-9.34165,1,2.58095,7.7775
0.2925,0.2,0.4,0.9,2.59261,2.33445,2.59261,-9.3349,1,2.59261,7.76733
0.294,0.2,0.4,0.9,2.60425,1.87381,2.60425,-9.32813,1,2.60425,7.75648
0.2955,0.2,0.4,0.9,2.61588,1.40901,2.61588,-9.32132,1,2.61588,7.74495
0.297,0.2,0.4,0.9,2.62749,0.941083,2.62749,-9.31448,1,2.62749,7.73272
0.2985,0.2,0.4,0.9,2.63908,0.471065,2.63908,-9.3076,1,2.63908,7.7198
0.3,0.2,0.4,0.9,2.65065,5.61107E-13,2.65065,-9.30069,1,2.65065,7.70617
0.3015,0.2,0.4,0.9,2.6622,-0.471065,2.6622,-9.29375,1,2.6622,7.69185
0.303,0.2,0.4,0.9,2.67373,-0.941083,2.67373,-9.28678,1,2.67373,7.67683
0.3045,0.2,0.4,0.9,2.68523,-1.40901,2.68523,-9.27977,1,2.68523,7.66112
0.306,0.2,0.4,0.9,2.69671,-1.87381,2.69671,-9.27273,1,2.69671,7.64473
0.3075,0.2,0.4,0.9,2.70817,-2.33445,2.70817,-9.26566,1,2.70817,7.62766
