"time","heat@expseu_","speed@expseu_"
0.0,100000.0,100.0
1.0,100000.0,94.508488082
2.0,100000.0,88.8960633024
3.0,100000.0,83.205923066
4.0,100000.0,77.4726714448
5.0,100000.0,71.73297377
6.0,100000.0,66.0342190715
7.0,100000.0,60.4461791668
8.0,100000.0,55.0701050929
9.0,100000.0,50.0442290397
10.0,100000.0,45.5491391615
11.0,100000.0,41.8133875932
12.0,100000.0,39.1230536445
13.0,100000.0,37.9115106878
14.0,100000.0,38.9072587182
15.0,100000.0,42.7240425667
16.0,100000.0,50.0893825421
17.0,100000.0,61.9085104628
18.0,99913.6016871,79.2323712838
19.0,98030.4192196,103.234406499
20.0,94421.4261734,135.06955287
21.0,89005.9059039,175.696078681
22.0,81858.1811126,225.666368067
23.0,73232.4116582,284.932407064
24.0,63543.4894663,352.743625518
25.0,53314.8691061,427.655148136
26.0,43105.8644543,507.647629257
27.0,33432.5940022,590.342333011
28.0,24703.4026335,673.258474631
29.0,17173.6883722,754.07856691
30.0,10945.4317939,830.840459758
31.0,5990.97410486,902.043239286
32.0,2184.49392724,966.69355134
33.0,2489.84539046,1019.27508849
34.0,23069.2126587,1023.21916636
35.0,53867.2501115,978.551663069
36.0,85989.3622669,897.490975523
37.0,97066.710029,828.258902438
38.0,93810.0789402,786.24330167
39.0,85682.569323,766.665126089
40.0,76711.4156492,764.174544041
41.0,68584.4274597,773.702940368
42.0,61923.4830498,790.889298394
43.0,56830.4870183,812.259103066
44.0,53161.7017873,835.241591717
45.0,50668.409739,858.057775214
46.0,49077.5931721,879.597985945
47.0,48151.3919704,899.230605872
48.0,47878.3262201,916.316107874
49.0,48238.1638031,930.318616858
50.0,49031.7802136,941.19787871
51.0,50040.3360313,949.25041086
52.0,51094.6868426,954.935914324
53.0,52085.697941,958.754754287
54.0,52955.8844893,961.179526202
55.0,53684.3566673,962.616984366
56.0,54273.2240931,963.397213344
57.0,54736.8374196,963.773690865
58.0,55094.5579275,963.933045677
59.0,55366.6377241,964.00677434
60.0,55571.8227138,964.082372693
61.0,55726.1045246,964.214083037
62.0,55842.5444642,964.432144303
63.0,55931.5681573,964.749892427
64.0,56001.2704991,965.169043232
65.0,56057.6971179,965.683800041
66.0,56105.2104767,966.284048295
67.0,56146.9063069,966.957611429
68.0,56184.9555191,967.69166824
69.0,56220.8291719,968.473626486
70.0,56255.462509,969.291704106
71.0,56289.4074358,970.135279778
72.0,56322.965107,970.995076269
73.0,56356.275342,971.86315461
74.0,56389.3693056,972.732826051
75.0,56422.2094566,973.598541823
76.0,56454.7163435,974.455781039
77.0,56486.7930656,975.300933759
78.0,56518.3287145,976.131176457
79.0,56549.2485689,976.944375947
80.0,56579.4521827,977.738939675
81.0,56608.8983174,978.513726872
82.0,56637.5301298,979.267985575
83.0,56665.3071958,980.001214966
84.0,56692.210746,980.71316389
85.0,56718.2053863,981.403806807
86.0,56743.2821389,982.073156083
87.0,56767.4309329,982.721488259
88.0,56790.6505755,983.349127716
89.0,56812.9497964,983.956525155
90.0,56834.3453456,984.544134731
91.0,56854.8619618,985.112449356
92.0,56874.5215402,985.661948968
93.0,56893.3488505,986.19311322
94.0,56911.3608928,986.706440355
95.0,56928.5798338,987.20244624
96.0,56945.0249165,987.681650913
97.0,56960.7292565,988.144564817
98.0,56975.7138316,988.591737088
99.0,56990.0046996,989.023617813
100.0,57003.6267267,989.440729859
