"time","outChar","outDateAndTime2"
0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.00000000000000E-01,0.00000000000000E+00,0.00000000000000E+00
2.00000000000000E-01,4.00000000000000E+00,6.00000000000000E+02
3.00000000000000E-01,6.00000000000000E+00,1.50000000000000E+03
4.00000000000000E-01,8.00000000000000E+00,2.80000000000000E+03
5.00000000000000E-01,1.00000000000000E+01,4.50000000000000E+03
6.00000000000000E-01,1.20000000000000E+01,6.60000000000000E+03
7.00000000000000E-01,1.40000000000000E+01,9.10000000000000E+03
8.00000000000000E-01,1.60000000000000E+01,1.20000000000000E+04
9.00000000000000E-01,1.80000000000000E+01,1.53000000000000E+04
1.00000000000000E+00,2.00000000000000E+01,1.90000000000000E+04
1.10000000000000E+00,2.20000000000000E+01,2.31000000000000E+04
1.20000000000000E+00,2.40000000000000E+01,2.76000000000000E+04
1.30000000000000E+00,2.60000000000000E+01,3.25000000000000E+04
1.40000000000000E+00,2.80000000000000E+01,3.78000000000000E+04
1.50000000000000E+00,3.00000000000000E+01,4.35000000000000E+04
1.60000000000000E+00,3.20000000000000E+01,4.96000000000000E+04
1.70000000000000E+00,3.40000000000000E+01,5.61000000000000E+04
1.80000000000000E+00,3.60000000000000E+01,6.30000000000000E+04
1.90000000000000E+00,3.80000000000000E+01,7.03000000000000E+04
2.00000000000000E+00,4.00000000000000E+01,7.80000000000000E+04
2.10000000000000E+00,4.20000000000000E+01,8.61000000000000E+04
2.20000000000000E+00,4.40000000000000E+01,9.46000000000000E+04
2.30000000000000E+00,4.60000000000000E+01,1.03500000000000E+05
2.40000000000000E+00,4.80000000000000E+01,1.12800000000000E+05
2.50000000000000E+00,5.00000000000000E+01,1.22500000000000E+05
2.60000000000000E+00,5.20000000000000E+01,1.32600000000000E+05
2.70000000000000E+00,5.40000000000000E+01,1.43100000000000E+05
2.80000000000000E+00,5.60000000000000E+01,1.54000000000000E+05
2.90000000000000E+00,5.80000000000000E+01,1.65300000000000E+05
3.00000000000000E+00,6.00000000000000E+01,1.77000000000000E+05
3.10000000000000E+00,6.20000000000000E+01,1.89100000000000E+05
3.20000000000000E+00,6.40000000000000E+01,2.01600000000000E+05
3.30000000000000E+00,6.60000000000000E+01,2.14500000000000E+05
3.40000000000000E+00,6.80000000000000E+01,2.27800000000000E+05
3.50000000000000E+00,7.00000000000000E+01,2.41500000000000E+05
3.60000000000000E+00,7.20000000000000E+01,2.55600000000000E+05
3.70000000000000E+00,7.40000000000000E+01,2.70100000000000E+05
3.80000000000000E+00,7.60000000000000E+01,2.85000000000000E+05
