"time","Out1[1]","Out1[2]","Out2","Out3","Out5","Out6","Out7","Out8","Out9","EventIndicator[0]","EventIndicator[1]","EventIndicator[2]","EventIndicator[3]","EventIndicator[4]","EventIndicator[5]","EventIndicator[6]","EventIndicator[7]","EventIndicator[8]","EventIndicator[9]","EventIndicator[10]","SineWave1_Amp","SineWave1_Bias","SineWave1_Freq","SineWave1_Phase","Gain1_Gain[0]","Gain1_Gain[1]","Gain_Gain","SineWave2_Amp","SineWave2_Bias","SineWave2_Freq","SineWave2_Phase","DeadZone_Start","DeadZone_End","SineWave5_Amp","SineWave5_Bias","SineWave5_Freq","SineWave5_Phase","SineWave3_Amp","SineWave3_Bias","SineWave3_Freq","SineWave3_Phase","SineWave4_Amp","SineWave4_Bias","SineWave4_Freq","SineWave4_Phase","Step_Time","Step_Y0","Step_YFinal","HitCrossing_Offset","SineWave6_Amp","SineWave6_Bias","SineWave6_Freq","SineWave6_Phase","Quantizer_Interval","SineWave7_Amp","SineWave7_Bias","SineWave7_Freq","SineWave7_Phase","Relay_OnVal","Relay_OffVal","Relay_YOn","Relay_YOff","SineWave10_Amp","SineWave10_Bias","SineWave10_Freq","SineWave10_Phase","Saturation_UpperSat","Saturation_LowerSat","Step2_Time","Step2_Y0","Step2_YFinal","SineWave11_Amp","SineWave11_Bias","SineWave11_Freq","SineWave11_Phase","Step3_Time","Step3_Y0","Step3_YFinal","Constant_Value","SineWave12_Amp","SineWave12_Bias","SineWave12_Freq","SineWave12_Phase","FixPtSwitch_Threshold","Out4","indicators.z[0]","indicators.z[1]","indicators.z[2]","indicators.z[3]","indicators.z[4]","indicators.z[5]","indicators.z[6]","indicators.z[7]","indicators.z[8]","indicators.z[9]","indicators.z[10]","indicators.z[11]","solver.numSteps","solver.minStepSize","solver.maxStepSize","solver.minOrder","solver.maxOrder","solver.numStateEvents","solver.numTimeEvents","Out1[1]_ref","Out1[2]_ref","Out2_ref","Out3_ref","Out4_ref","Out5_ref","Out6_ref","Out7_ref","Out8_ref","Out9_ref","EventIndicator[0]_ref","EventIndicator[1]_ref","EventIndicator[2]_ref","EventIndicator[3]_ref","EventIndicator[4]_ref","EventIndicator[5]_ref","EventIndicator[6]_ref","EventIndicator[7]_ref","EventIndicator[8]_ref","EventIndicator[9]_ref","EventIndicator[10]_ref","SineWave1_Amp_ref","SineWave1_Bias_ref","SineWave1_Freq_ref","SineWave1_Phase_ref","Gain1_Gain[0]_ref","Gain1_Gain[1]_ref","Gain_Gain_ref","SineWave2_Amp_ref","SineWave2_Bias_ref","SineWave2_Freq_ref","SineWave2_Phase_ref","DeadZone_Start_ref","DeadZone_End_ref","SineWave5_Amp_ref","SineWave5_Bias_ref","SineWave5_Freq_ref","SineWave5_Phase_ref","SineWave3_Amp_ref","SineWave3_Bias_ref","SineWave3_Freq_ref","SineWave3_Phase_ref","SineWave4_Amp_ref","SineWave4_Bias_ref","SineWave4_Freq_ref","SineWave4_Phase_ref","Step_Time_ref","Step_Y0_ref","Step_YFinal_ref","HitCrossing_Offset_ref","SineWave6_Amp_ref","SineWave6_Bias_ref","SineWave6_Freq_ref","SineWave6_Phase_ref","Quantizer_Interval_ref","SineWave7_Amp_ref","SineWave7_Bias_ref","SineWave7_Freq_ref","SineWave7_Phase_ref","Relay_OnVal_ref","Relay_OffVal_ref","Relay_YOn_ref","Relay_YOff_ref","SineWave10_Amp_ref","SineWave10_Bias_ref","SineWave10_Freq_ref","SineWave10_Phase_ref","Saturation_UpperSat_ref","Saturation_LowerSat_ref","Step2_Time_ref","Step2_Y0_ref","Step2_YFinal_ref","SineWave11_Amp_ref","SineWave11_Bias_ref","SineWave11_Freq_ref","SineWave11_Phase_ref","Step3_Time_ref","Step3_Y0_ref","Step3_YFinal_ref","Constant_Value_ref","SineWave12_Amp_ref","SineWave12_Bias_ref","SineWave12_Freq_ref","SineWave12_Phase_ref","FixPtSwitch_Threshold_ref","qtronic.silver.allow_non_virtual_can","qtronic.silver.env.PROCESSOR_LEVEL","qtronic.silver.env.NUMBER_OF_PROCESSORS","qtronic.silver.real_time","qtronic.silver.env.Timestep","qtronic.silver.macro_step","qtronic.silver.version.sp","qtronic.silver.version.minor","qtronic.silver.version.major","qtronic.silver.internal.stepDisabled","qtronic.silver.internal.pauseDisabled"
         0,         0,         0,         0,         0,         0,       -12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0, 3.1415927,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0, 3.1415927,         0,         5,      -0.1,      -0.3,         0,         4,         0, 3.1415927,         0,         3,         0,         0,       0.5,      -0.5,        -1,         0,      -0.5,      -0.5,       0.5,        -5,         0,        -5,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       -12,         0,         0,         0,         0,       0.5,      -0.5,        -1,         0,      -0.5,      -0.5,       0.5,        -5,         0,        -5,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0,   3.14159,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0,   3.14159,         0,         5,      -0.1,      -0.3,         0,         4,         0,   3.14159,         0,         3,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.1, 1.1996668, 3.1996668,         0,0.16971681,       0.5,       -12,0.39933367,       0.1,  1.236068,0.19966683,0.69966683,-0.30033317,      -0.9,         0,-0.10066633,-0.10066633,0.89933367,      -4.9,  1.136068,      -4.9,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0, 3.1415927,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0, 3.1415927,         0,         5,      -0.1,      -0.3,         0,         4,         0, 3.1415927,         0,         3,         0,0.19966683,0.69966683,-0.30033317,      -0.9,         0,-0.10066633,-0.10066633,0.89933367,      -4.9,  1.136068,      -4.9,  1.336068,        21,    5e-007,0.023562604,         0,         2,         2,         0,   1.19967,   3.19967,         0,  0.169717,         0,       0.5,       -12,  0.399334,       0.1,   1.23607,  0.199667,  0.699667, -0.300333,      -0.9,         0, -0.100666, -0.100666,  0.899334,      -4.9,   1.13607,      -4.9,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0,   3.14159,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0,   3.14159,         0,         5,      -0.1,      -0.3,         0,         4,         0,   3.14159,         0,         3,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.2, 1.3973387, 3.3973387,         0,0.33773786,         1,        12,       0.5,       0.1,  2.351141,0.39733866,0.89733866,-0.10266134,      -0.8,         0, 1.2946773,0.29467732, 1.2946773,      -4.8,  2.251141,      -4.8,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0, 3.1415927,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0, 3.1415927,         0,         5,      -0.1,      -0.3,         0,         4,         0, 3.1415927,         0,         3,         0,0.39733866,0.89733866,-0.10266134,      -0.8,         0, 1.2946773,0.29467732, 1.2946773,      -4.8,  2.251141,      -4.8,  2.451141,        33,    1e-005,0.044916215,         0,         2,         3,         0,   1.39734,   3.39734,         0,  0.337738,         0,         1,        12,       0.5,       0.1,   2.35114,  0.397339,  0.897339, -0.102661,      -0.8,         0,   1.29468,  0.294677,   1.29468,      -4.8,   2.25114,      -4.8,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0,   3.14159,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0,   3.14159,         0,         5,      -0.1,      -0.3,         0,         4,         0,   3.14159,         0,         3,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.3, 1.5910404, 3.5910404,0.091040413,0.50238435,         1,        12,       0.5,       0.1,         0,0.59104041, 1.0910404,0.091040413,      -0.7,         0, 1.6820808,0.68208083, 1.6820808,      -4.7,  3.136068,      -4.7,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0, 3.1415927,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0, 3.1415927,         0,         5,      -0.1,      -0.3,         0,         4,         0, 3.1415927,         0,         3,         0,0.59104041, 1.0910404,0.091040413,      -0.7,         0, 1.6820808,0.68208083, 1.6820808,      -4.7,  3.136068,      -4.7,  3.336068,        45,    1e-005,0.036440018,         0,         2,         4,         0,   1.59104,   3.59104, 0.0910404,  0.502384,         0,         1,        12,       0.5,       0.1,         0,   0.59104,   1.09104, 0.0910404,      -0.7,         0,   1.68208,  0.682081,   1.68208,      -4.7,   3.13607,      -4.7,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0,   3.14159,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0,   3.14159,         0,         5,      -0.1,      -0.3,         0,         4,         0,   3.14159,         0,         3,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.4, 1.7788367, 3.7788367,0.27883668,0.66201118,       1.5,        12,       0.5,       0.1,         0,0.77883668, 1.2788367,0.27883668,      -0.6,         0, 2.0576734, 1.0576734, 2.0576734,      -4.6, 3.7042261,      -4.6,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0, 3.1415927,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0, 3.1415927,         0,         5,      -0.1,      -0.3,         0,         4,         0, 3.1415927,         0,         3,         0,0.77883668, 1.2788367,0.27883668,      -0.6,         0, 2.0576734, 1.0576734, 2.0576734,      -4.6, 3.7042261,      -4.6, 3.9042261,        47,0.023092035,0.046184071,         1,         1,         4,         0,   1.77884,   3.77884,  0.278837,  0.662011,         0,       1.5,        12,       0.5,       0.1,         0,  0.778837,   1.27884,  0.278837,      -0.6,         0,   2.05767,   1.05767,   2.05767,      -4.6,   3.70423,      -4.6,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0,   3.14159,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0,   3.14159,         0,         5,      -0.1,      -0.3,         0,         4,         0,   3.14159,         0,         3,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.5, 1.9588511, 3.9588511,0.45885108,0.81502342,         2,        12,       0.5,       0.1,         0,0.95885108, 1.4588511,0.45885108,      -0.5,         0, 2.4177022, 1.4177022, 2.4177022,      -4.5,       3.9,      -4.5,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0, 3.1415927,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0, 3.1415927,         0,         5,      -0.1,      -0.3,         0,         4,         0, 3.1415927,         0,         3,         0,0.95885108, 1.4588511,0.45885108,      -0.5,         0, 2.4177022, 1.4177022, 2.4177022,      -4.5,       3.9,      -4.5,       4.1,        48,0.053815929,0.053815929,         1,         1,         4,         0,   1.95885,   3.95885,  0.458851,  0.815023,         0,         2,        12,       0.5,       0.1,         0,  0.958851,   1.45885,  0.458851,      -0.5,         0,    2.4177,    1.4177,    2.4177,      -4.5,       3.9,      -4.5,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0,   3.14159,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0,   3.14159,         0,         5,      -0.1,      -0.3,         0,         4,         0,   3.14159,         0,         3,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.6, 2.1292849, 4.1292849,0.62928495, 0.9598922,       2.5,        12,       0.5,       0.1,         0, 1.1292849, 1.6292849,0.62928495,      -0.4,         0, 2.7585699, 1.7585699, 2.7585699,      -4.4, 3.7042261,      -4.4,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0, 3.1415927,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0, 3.1415927,         0,         5,      -0.1,      -0.3,         0,         4,         0, 3.1415927,         0,         3,         0, 1.1292849, 1.6292849,0.62928495,      -0.4,         0, 2.7585699, 1.7585699, 2.7585699,      -4.4, 3.7042261,      -4.4, 3.9042261,        49,       0.1,       0.1,         1,         1,         4,         0,   2.12928,   4.12928,  0.629285,  0.959892,         0,       2.5,        12,       0.5,       0.1,         0,   1.12928,   1.62928,  0.629285,      -0.4,         0,   2.75857,   1.75857,   2.75857,      -4.4,   3.70423,      -4.4,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0,   3.14159,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0,   3.14159,         0,         5,      -0.1,      -0.3,         0,         4,         0,   3.14159,         0,         3,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.7, 2.2884354, 4.2884354,0.78843537, 1.0951701,       2.5,        12,       0.5,       0.1,         0, 1.2884354, 1.7884354,0.78843537,      -0.3,         0, 3.0768707, 2.0768707, 3.0768707,      -4.3,  3.136068,      -4.3,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0, 3.1415927,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0, 3.1415927,         0,         5,      -0.1,      -0.3,         0,         4,         0, 3.1415927,         0,         3,         0, 1.2884354, 1.7884354,0.78843537,      -0.3,         0, 3.0768707, 2.0768707, 3.0768707,      -4.3,  3.136068,      -4.3,  3.336068,        50,       0.1,       0.1,         1,         1,         4,         0,   2.28844,   4.28844,  0.788435,   1.09517,         0,       2.5,        12,       0.5,       0.1,         0,   1.28844,   1.78844,  0.788435,      -0.3,         0,   3.07687,   2.07687,   3.07687,      -4.3,   3.13607,      -4.3,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0,   3.14159,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0,   3.14159,         0,         5,      -0.1,      -0.3,         0,         4,         0,   3.14159,         0,         3,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.8, 2.4347122, 4.4347122,0.93471218, 1.2195054,         3,        12,       0.5,       0.1,  2.351141, 1.4347122, 1.9347122,0.93471218,      -0.2,         0, 3.3694244, 2.3694244, 3.3694244,      -4.2,  2.251141,      -4.2,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0, 3.1415927,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0, 3.1415927,         0,         5,      -0.1,      -0.3,         0,         4,         0, 3.1415927,         0,         3,         0, 1.4347122, 1.9347122,0.93471218,      -0.2,         0, 3.3694244, 2.3694244, 3.3694244,      -4.2,  2.251141,      -4.2,  2.451141,        51,       0.1,       0.1,         1,         1,         4,         0,   2.43471,   4.43471,  0.934712,   1.21951,         0,         3,        12,       0.5,       0.1,   2.35114,   1.43471,   1.93471,  0.934712,      -0.2,         0,   3.36942,   2.36942,   3.36942,      -4.2,   2.25114,      -4.2,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0,   3.14159,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0,   3.14159,         0,         5,      -0.1,      -0.3,         0,         4,         0,   3.14159,         0,         3,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
       0.9, 2.5666538, 4.5666538, 1.0666538, 1.3316557,         3,        12,       0.5,       0.1,  1.236068, 1.5666538, 2.0666538, 1.0666538,      -0.1,         0, 3.6333076, 2.6333076, 3.6333076,      -4.1,  1.136068,      -4.1,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0, 3.1415927,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0, 3.1415927,         0,         5,      -0.1,      -0.3,         0,         4,         0, 3.1415927,         0,         3,         0, 1.5666538, 2.0666538, 1.0666538,      -0.1,         0, 3.6333076, 2.6333076, 3.6333076,      -4.1,  1.136068,      -4.1,  1.336068,        52,       0.1,       0.1,         1,         1,         4,         0,   2.56665,   4.56665,   1.06665,   1.33166,         0,         3,        12,       0.5,       0.1,   1.23607,   1.56665,   2.06665,   1.06665,      -0.1,         0,   3.63331,   2.63331,   3.63331,      -4.1,   1.13607,      -4.1,         2,         0,         1,         0,         1,         3,         1,         2,         0,         1,         0,      -0.5,       0.5,         2,         0,         1,         0,       0.3,         0,         1,         0,       0.7,         0,   3.14159,         0,         1,         0,         4,         4,         4,         0,         1,         0,       0.5,         4,         0,         1,         0,       0.5,      -0.5,        12,       -12,         4,         0,         1,         0,       0.5,      -0.5,         5,       0.1,       0.3,         4,         0,   3.14159,         0,         5,      -0.1,      -0.3,         0,         4,         0,   3.14159,         0,         3,         0,         6,         2,         0,     0.003,       0.1,         0,         0,1.4821969e-323,         0,         0
