"time","y_sum","y_product","y_triggeredAdd","y_multiSwitch"
6.03,2,6,6,4
6.06,2,6,6,4
6.09,2,6,6,4
6.12,2,6,6,4
6.15,2,6,6,4
6.18,2,6,6,4
6.21,2,6,6,4
6.24,2,6,6,4
6.27,2,6,6,4
6.3,2,6,6,4
6.33,2,6,6,4
6.36,2,6,6,4
6.39,2,6,6,4
6.42,2,6,6,4
6.45,2,6,6,4
6.48,2,6,6,4
6.51,2,6,6,6
6.54,2,6,6,6
6.57,1,3,6,6
6.6,1,3,6,6
6.63,1,3,6,6
6.66,1,3,6,6
6.69,1,3,6,6
6.72,1,3,6,6
6.75,1,3,6,6
6.78,1,3,6,6
6.81,1,3,6,6
6.84,1,3,6,6
6.87,1,3,6,6
6.9,1,3,6,6
6.93,1,3,6,6
6.96,1,3,6,6
6.99,1,3,6,6
7.02,1,3,7,4
7.05,1,3,7,4
7.08,1,3,7,4
7.11,1,3,7,4
7.14,1,3,7,4
7.17,1,3,7,4
7.2,1,3,7,4
7.23,1,3,7,4
7.26,1,3,7,4
7.29,1,3,7,4
7.32,1,3,7,4
7.35,1,3,7,4
7.38,1,3,7,4
7.41,1,3,7,4
7.44,1,3,7,4
7.47,1,3,7,4
7.5,1,3,7,6
7.53,1,3,7,6
7.56,1,3,7,6
7.59,1,3,7,6
7.62,1,3,7,2
7.65,1,3,7,2
7.68,1,3,7,2
7.71,1,3,7,2
7.74,1,3,7,2
7.77,1,3,7,2
7.8,1,3,7,2
7.83,1,3,7,2
7.86,1,3,7,2
7.89,1,3,7,2
7.92,1,3,7,2
7.95,1,3,7,2
7.98,1,3,7,2
8.01,1,3,8,4
8.04,1,3,8,4
8.07,1,3,8,4
8.1,1,3,8,4
8.13,1,3,8,4
8.16,1,3,8,4
8.19,1,3,8,4
8.22,1,3,8,4
8.25,1,3,8,4
8.28,1,3,8,4
8.31,1,3,8,4
8.34,1,3,8,4
8.37,1,3,8,4
8.4,1,3,8,4
8.43,1,3,8,4
8.46,2,6,8,4
8.49,2,6,8,4
8.52,2,6,8,6
8.55,2,6,8,6
8.58,2,6,8,6
8.61,2,6,8,6
8.64,2,6,8,6
8.67,2,6,8,6
8.7,2,6,8,6
8.73,2,6,8,6
8.76,2,6,8,6
8.79,2,6,8,6
8.82,2,6,8,6
8.85,2,6,8,6
8.88,2,6,8,6
8.91,2,6,8,6
8.94,2,6,8,6
8.97,2,6,8,6
9,2,6,9,4
9.03,2,6,9,4
9.06,2,6,9,4
9.09,2,6,9,4
9.12,2,6,9,4
9.15,2,6,9,4
9.18,3,9,9,4
9.21,3,9,9,4
9.24,3,9,9,4
9.27,3,9,9,4
9.3,3,9,9,4
9.33,3,9,9,4
9.36,3,9,9,4
9.39,3,9,9,4
9.42,3,9,9,4
9.45,3,9,9,4
9.48,3,9,9,4
9.51,3,9,9,6
9.54,3,9,9,6
9.57,3,9,9,6
9.6,3,9,9,2
9.63,3,9,9,2
9.66,3,9,9,2
9.69,3,9,9,2
9.72,3,9,9,2
9.75,4,12,9,2
9.78,4,12,9,2
9.81,4,12,9,2
9.84,4,12,9,2
9.87,4,12,9,2
9.9,4,12,9,2
9.93,4,12,9,2
9.96,4,12,9,2
9.99,4,12,9,2
10,4,12,10,4
