"time","outDateAndTime2","outChar"
0,0,0
0.1,600,4
0.2,1500,6
0.3,3600,9
0.4,5500,11
0.5,7800,13
0.6,10500,15
0.7,13600,17
0.8,15300,18
0.9,19000,20
1,23100,22
1.1,27600,24
1.2,32500,26
1.3,37800,28
1.4,43500,30
1.5,49600,32
1.6,56100,34
1.7,63000,36
1.8,70300,38
1.9,78000,40
2,86100,42
2.1,94600,44
2.2,108100,47
2.3,117600,49
2.4,127500,51
2.5,137800,53
2.6,148500,55
2.7,159600,57
2.8,171100,59
2.9,183000,61
3,195300,63
3.1,208000,65
3.2,221100,67
3.3,234600,69
3.4,248500,71
3.5,262800,73
3.6,277500,75
3.7,292600,77
3.8,308100,79
3.9,324000,81
4,340300,83
4.1,357000,85
4.2,374100,87
4.3,391600,89
4.4,409500,91
4.5,427800,93
4.6,446500,95
4.7,465600,97
4.8,485100,99
4.9,505000,101
5,525300,103
5.1,546000,105
5.2,567100,107
5.3,588600,109
5.4,610500,111
5.5,632800,113
5.6,655500,115
5.7,678600,117
5.8,702100,119
5.9,726000,121
6,750300,123
6.1,775000,125
6.2,800100,127
6.3,825600,129
6.4,851500,131
6.5,877800,133
6.6,904500,135
6.7,931600,137
6.8,959100,139
6.9,987000,141
7,1015300,143
7.1,1044000,145
7.2,1073100,147
7.3,1102600,149
7.4,1132500,151
7.5,1162800,153
7.6,1193500,155
7.7,1224600,157
7.8,1256100,159
7.9,1288000,161
8,1320300,163
8.1,1353000,165
8.2,1386100,167
8.3,1419600,169
8.4,1453500,171
8.5,1487800,173
8.6,1522500,175
8.7,1557600,177
8.8,1593100,179
8.9,1629000,181
9,1665300,183
9.1,1702000,185
9.2,1739100,187
9.3,1776600,189
9.4,1814500,191
9.5,1852800,193
9.6,1891500,195
9.7,1911000,196
9.8,1950300,198
9.9,1990000,200
10,2030100,202
10.1,2070600,204
10.2,2111500,206
10.3,2152800,208
10.4,2194500,210
10.5,2236600,212
10.6,2279100,214
10.7,2322000,216
10.8,2365300,218
10.9,2409000,220
11,2453100,222
11.1,2497600,224
11.2,2542500,226
11.3,2587800,228
11.4,2633500,230
11.5,2679600,232
11.6,2726100,234
11.7,2773000,236
11.8,2820300,238
11.9,2868000,240
12,2916100,242
12.1,2964600,244
12.2,3013500,246
12.3,3062800,248
12.4,3112500,250
12.5,3162600,252
12.6,3213100,254
12.7,3264000,0
12.8,3315300,2
12.9,3367000,4
13,3419100,6
13.1,3471600,8
13.2,3524500,10
13.3,3577800,12
13.4,3631500,14
13.5,3685600,16
13.6,3740100,18
13.7,3795000,20
13.8,3850300,22
13.9,3906000,24
14,3962100,26
14.1,4018600,28
14.2,4075500,30
14.3,4132800,32
14.4,4190500,34
14.5,4248600,36
14.6,4307100,38
14.7,4366000,40
14.8,4425300,42
14.9,4485000,44
15,4545100,46
15.1,4605600,48
15.2,4666500,50
15.3,4727800,52
15.4,4789500,54
15.5,4851600,56
15.6,4914100,58
15.7,4977000,60
15.8,5040300,62
15.9,5104000,64
16,5168100,66
16.1,5232600,68
16.2,5297500,70
16.3,5362800,72
16.4,5428500,74
16.5,5494600,76
16.6,5561100,78
16.7,5628000,80
16.8,5695300,82
16.9,5763000,84
17,5831100,86
17.1,5899600,88
17.2,5968500,90
17.3,6037800,92
17.4,6107500,94
17.5,6177600,96
17.6,6248100,98
17.7,6319000,100
17.8,6390300,102
17.9,6462000,104
18,6534100,106
18.1,6606600,108
18.2,6679500,110
18.3,6752800,112
18.4,6826500,114
18.5,6900600,116
18.6,6975100,118
18.7,7050000,120
18.8,7125300,122
18.9,7201000,124
19,7277100,126
19.1,7353600,128
19.2,7430500,130
19.3,7507800,132
19.4,7585500,134
19.5,7663600,136
19.6,7742100,138
19.7,7821000,140
19.8,7900300,142
19.9,7980000,144
20,8060100,146
20.1,8140600,148
20.2,8221500,150
20.3,8302800,152
20.4,8384500,154
20.5,8466600,156
20.6,8549100,158
20.7,8632000,160
20.8,8715300,162
20.9,8799000,164
21,8883100,166
21.1,8967600,168
21.2,9052500,170
21.3,9137800,172
21.4,9223500,174
21.5,9309600,176
21.6,9396100,178
21.7,9483000,180
21.8,9570300,182
21.9,9658000,184
22,9746100,186
22.1,9834600,188
22.2,9923500,190
22.3,10012800,192
22.4,10102500,194
22.5,10192600,196
22.6,10283100,198
22.7,10374000,200
22.8,10465300,202
22.9,10557000,204
23,10649100,206
23.1,10741600,208
23.2,10834500,210
23.3,10927800,212
23.4,11021500,214
23.5,11115600,216
23.6,11210100,218
23.7,11305000,220
23.8,11400300,222
23.9,11496000,224
24,11592100,226
24.1,11688600,228
24.2,11785500,230
24.3,11882800,232
24.4,11980500,234
24.5,12078600,236
24.6,12177100,238
24.7,12276000,240
24.8,12375300,242
24.9,12475000,244
25,12575100,246
25.1,12675600,248
25.2,12776500,250
25.3,12877800,252
25.4,12979500,254
25.5,13081600,0
25.6,13184100,2
25.7,13287000,4
25.8,13390300,6
25.9,13494000,8
26,13598100,10
26.1,13702600,12
26.2,13807500,14
26.3,13912800,16
26.4,14018500,18
26.5,14124600,20
26.6,14231100,22
26.7,14338000,24
26.8,14445300,26
26.9,14553000,28
27,14661100,30
27.1,14769600,32
27.2,14878500,34
27.3,14987800,36
27.4,15097500,38
27.5,15207600,40
27.6,15318100,42
27.7,15429000,44
27.8,15540300,46
27.9,15652000,48
28,15764100,50
28.1,15876600,52
28.2,15989500,54
28.3,16102800,56
28.4,16216500,58
28.5,16330600,60
28.6,16445100,62
28.7,16560000,64
28.8,16675300,66
28.9,16791000,68
29,16907100,70
29.1,17023600,72
29.2,17140500,74
29.3,17257800,76
29.4,17375500,78
29.5,17493600,80
29.6,17612100,82
29.7,17731000,84
29.8,17850300,86
29.9,17970000,88
30,18090100,90
30.1,18210600,92
30.2,18331500,94
30.3,18452800,96
30.4,18574500,98
30.5,18696600,100
30.6,18819100,102
30.7,18942000,104
30.8,19065300,106
30.9,19189000,108
31,19313100,110
31.1,19437600,112
31.2,19562500,114
31.3,19687800,116
31.4,19813500,118
31.5,19939600,120
31.6,20066100,122
31.7,20193000,124
31.8,20320300,126
31.9,20448000,128
32,20576100,130
32.1,20704600,132
32.2,20833500,134
32.3,20962800,136
32.4,21092500,138
32.5,21222600,140
32.6,21353100,142
32.7,21484000,144
32.8,21615300,146
32.9,21747000,148
33,21879100,150
33.1,22011600,152
33.2,22144500,154
33.3,22277800,156
33.4,22411500,158
33.5,22545600,160
33.6,22680100,162
33.7,22815000,164
33.8,22950300,166
33.9,23086000,168
34,23222100,170
34.1,23358600,172
34.2,23495500,174
34.3,23632800,176
34.4,23770500,178
34.5,23908600,180
34.6,24047100,182
34.7,24186000,184
34.8,24325300,186
34.9,24465000,188
35,24605100,190
35.1,24745600,192
35.2,24886500,194
35.3,25027800,196
35.4,25169500,198
35.5,25311600,200
35.6,25454100,202
35.7,25597000,204
35.8,25740300,206
35.9,25884000,208
36,26028100,210
36.1,26172600,212
36.2,26317500,214
36.3,26462800,216
36.4,26608500,218
36.5,26754600,220
36.6,26901100,222
36.7,27048000,224
36.8,27195300,226
36.9,27343000,228
37,27491100,230
37.1,27639600,232
37.2,27788500,234
37.3,27937800,236
37.4,28087500,238
37.5,28237600,240
37.6,28463500,243
37.7,28614600,245
37.8,28766100,247
37.9,28918000,249
38,29070300,251
38.1,29223000,253
38.2,29376100,255
38.3,29529600,1
38.4,29683500,3
38.5,29837800,5
38.6,29992500,7
38.7,30147600,9
38.8,30303100,11
38.9,30459000,13
39,30615300,15
39.1,30772000,17
39.2,30929100,19
39.3,31086600,21
39.4,31244500,23
39.5,31402800,25
39.6,31561500,27
39.7,31720600,29
39.8,31880100,31
39.9,32040000,33
40,32200300,35
40.1,32361000,37
40.2,32522100,39
40.3,32683600,41
40.4,32845500,43
40.5,33007800,45
40.6,33170500,47
40.7,33333600,49
40.8,33497100,51
40.9,33661000,53
41,33825300,55
41.1,33990000,57
41.2,34155100,59
41.3,34320600,61
41.4,34486500,63
41.5,34652800,65
41.6,34819500,67
41.7,34986600,69
41.8,35154100,71
41.9,35322000,73
42,35490300,75
42.1,35659000,77
42.2,35828100,79
42.3,35997600,81
42.4,36167500,83
42.5,36337800,85
42.6,36508500,87
42.7,36679600,89
42.8,36851100,91
42.9,37023000,93
43,37195300,95
43.1,37368000,97
43.2,37541100,99
43.3,37714600,101
43.4,37888500,103
43.5,38062800,105
43.6,38237500,107
43.7,38412600,109
43.8,38588100,111
43.9,38764000,113
44,38940300,115
44.1,39117000,117
44.2,39294100,119
44.3,39471600,121
44.4,39649500,123
44.5,39827800,125
44.6,40006500,127
44.7,40185600,129
44.8,40365100,131
44.9,40545000,133
45,40725300,135
45.1,40906000,137
45.2,41087100,139
45.3,41268600,141
45.4,41450500,143
45.5,41632800,145
45.6,41815500,147
45.7,41998600,149
45.8,42182100,151
45.9,42366000,153
46,42550300,155
46.1,42735000,157
46.2,42920100,159
46.3,43105600,161
46.4,43291500,163
46.5,43477800,165
46.6,43664500,167
46.7,43851600,169
46.8,44039100,171
46.9,44227000,173
47,44415300,175
47.1,44604000,177
47.2,44793100,179
47.3,44982600,181
47.4,45172500,183
47.5,45362800,185
47.6,45553500,187
47.7,45744600,189
47.8,45936100,191
47.9,46128000,193
48,46320300,195
48.1,46513000,197
48.2,46706100,199
48.3,46899600,201
48.4,47093500,203
48.5,47287800,205
48.6,47482500,207
48.7,47677600,209
48.8,47873100,211
48.9,48069000,213
49,48265300,215
49.1,48462000,217
49.2,48659100,219
49.3,48856600,221
49.4,49054500,223
49.5,49252800,225
49.6,49451500,227
49.7,49650600,229
49.8,49850100,231
49.9,50050000,233
50,50250300,235
50.1,50451000,237
50.2,50652100,239
50.3,50853600,241
50.4,51055500,243
50.5,51257800,245
50.6,51460500,247
50.7,51663600,249
50.8,51867100,251
50.9,52071000,253
51,52275300,255
51.1,52480000,1
51.2,52685100,3
51.3,52890600,5
51.4,53096500,7
51.5,53302800,9
51.6,53509500,11
51.7,53716600,13
51.8,53924100,15
51.9,54132000,17
52,54340300,19
52.1,54549000,21
52.2,54758100,23
52.3,54967600,25
52.4,55177500,27
52.5,55387800,29
52.6,55598500,31
52.7,55809600,33
52.8,56021100,35
52.9,56233000,37
53,56445300,39
53.1,56658000,41
53.2,56871100,43
53.3,57084600,45
53.4,57298500,47
53.5,57512800,49
53.6,57727500,51
53.7,57942600,53
53.8,58158100,55
53.9,58374000,57
54,58590300,59
54.1,58807000,61
54.2,59024100,63
54.3,59241600,65
54.4,59459500,67
54.5,59677800,69
54.6,59896500,71
54.7,60115600,73
54.8,60335100,75
54.9,60555000,77
55,60775300,79
55.1,60996000,81
55.2,61217100,83
55.3,61438600,85
55.4,61660500,87
55.5,61882800,89
55.6,62105500,91
55.7,62328600,93
55.8,62552100,95
55.9,62776000,97
56,63000300,99
56.1,63225000,101
56.2,63450100,103
56.3,63675600,105
56.4,63901500,107
56.5,64127800,109
56.6,64354500,111
56.7,64581600,113
56.8,64809100,115
56.9,65037000,117
57,65265300,119
57.1,65494000,121
57.2,65723100,123
57.3,65952600,125
57.4,66182500,127
57.5,66412800,129
57.6,66643500,131
57.7,66874600,133
57.8,67106100,135
57.9,67338000,137
58,67570300,139
58.1,67803000,141
58.2,68036100,143
58.3,68269600,145
58.4,68503500,147
58.5,68737800,149
58.6,68972500,151
58.7,69207600,153
58.8,69443100,155
58.9,69679000,157
59,69915300,159
59.1,70152000,161
59.2,70389100,163
59.3,70626600,165
59.4,70864500,167
59.5,71102800,169
59.6,71341500,171
59.7,71580600,173
59.8,71820100,175
59.9,72060000,177
59.99,72180100,178
