"time","TAmb","TDif","TRes","heatCapacitor.T"
0,293.15,2,293.15,293.15
0.02,293.15,2,293.35,293.35
0.04,293.15,2,293.549,293.549
0.06,293.15,2,293.748,293.748
0.09,293.15,2,294.045,294.045
0.12,293.15,2,294.341,294.341
0.14,293.15,2,294.537,294.537
0.16,293.15,2,294.733,294.733
0.18,293.15,2,294.929,294.929
0.2,293.15,2,295.124,295.124
0.22,293.15,2,295.318,295.318
0.24,293.15,2,295.512,295.512
0.27,293.15,2,295.802,295.802
0.29,293.15,2,295.994,295.994
0.31,293.15,2,296.186,296.186
0.33,293.15,2,296.378,296.378
0.35,293.15,2,296.569,296.569
0.37,293.15,2,296.759,296.759
0.39,293.15,2,296.949,296.949
0.41,293.15,2,297.138,297.138
0.43,293.15,2,297.327,297.327
0.45,293.15,2,297.515,297.515
0.47,293.15,2,297.703,297.703
0.49,293.15,2,297.89,297.89
0.52,293.15,2,298.17,298.17
0.54,293.15,2,298.356,298.356
0.56,293.15,2,298.542,298.542
0.58,293.15,2,298.727,298.727
0.6,293.15,2,298.911,298.911
0.62,293.15,2,299.095,299.095
0.64,293.15,2,299.181,299.181
0.66,293.15,2,299.169,299.169
0.68,293.15,2,299.157,299.157
0.7,293.15,2,299.145,299.145
0.72,293.15,2,299.133,299.133
0.74,293.15,2,299.121,299.121
0.76,293.15,2,299.109,299.109
0.78,293.15,2,299.097,299.097
0.8,293.15,2,299.085,299.085
0.82,293.15,2,299.073,299.073
0.84,293.15,2,299.061,299.061
0.86,293.15,2,299.049,299.049
0.88,293.15,2,299.038,299.038
0.9,293.15,2,299.026,299.026
0.92,293.15,2,299.014,299.014
0.94,293.15,2,299.002,299.002
0.96,293.15,2,298.991,298.991
0.98,293.15,2,298.979,298.979
1,293.15,2,298.967,298.967
1.02,293.15,2,298.956,298.956
1.04,293.15,2,298.944,298.944
1.06,293.15,2,298.933,298.933
1.08,293.15,2,298.921,298.921
1.1,293.15,2,298.909,298.909
1.12,293.15,2,298.898,298.898
1.14,293.15,2,298.886,298.886
1.16,293.15,2,298.875,298.875
1.18,293.15,2,298.864,298.864
1.2,293.15,2,298.852,298.852
1.22,293.15,2,298.841,298.841
1.24,293.15,2,298.829,298.829
1.26,293.15,2,298.818,298.818
1.28,293.15,2,298.807,298.807
1.3,293.15,2,298.795,298.795
1.32,293.15,2,298.784,298.784
1.34,293.15,2,298.773,298.773
1.36,293.15,2,298.762,298.762
1.38,293.15,2,298.75,298.75
1.4,293.15,2,298.739,298.739
1.42,293.15,2,298.728,298.728
1.44,293.15,2,298.717,298.717
1.46,293.15,2,298.706,298.706
1.48,293.15,2,298.695,298.695
1.5,293.15,2,298.684,298.684
1.52,293.15,2,298.672,298.672
1.54,293.15,2,298.661,298.661
1.56,293.15,2,298.65,298.65
1.58,293.15,2,298.639,298.639
1.6,293.15,2,298.628,298.628
1.62,293.15,2,298.617,298.617
1.64,293.15,2,298.607,298.607
1.66,293.15,2,298.596,298.596
1.68,293.15,2,298.585,298.585
1.7,293.15,2,298.574,298.574
1.72,293.15,2,298.563,298.563
1.74,293.15,2,298.552,298.552
1.76,293.15,2,298.541,298.541
1.78,293.15,2,298.531,298.531
1.8,293.15,2,298.52,298.52
1.82,293.15,2,298.509,298.509
1.84,293.15,2,298.498,298.498
1.86,293.15,2,298.488,298.488
1.88,293.15,2,298.477,298.477
1.9,293.15,2,298.466,298.466
1.92,293.15,2,298.456,298.456
1.94,293.15,2,298.445,298.445
1.96,293.15,2,298.435,298.435
1.98,293.15,2,298.424,298.424
2.01,293.15,2,298.408,298.408
2.04,293.15,2,298.392,298.392
2.07,293.15,2,298.377,298.377
2.1,293.15,2,298.361,298.361
2.13,293.15,2,298.346,298.346
2.16,293.15,2,298.33,298.33
2.19,293.15,2,298.314,298.314
2.22,293.15,2,298.299,298.299
2.25,293.15,2,298.284,298.284
2.28,293.15,2,298.366,298.366
2.31,293.15,2,298.644,298.644
2.34,293.15,2,298.921,298.921
2.37,293.15,2,299.197,299.197
2.4,293.15,2,299.471,299.471
2.43,293.15,2,299.745,299.745
2.46,293.15,2,300.017,300.017
2.49,293.15,2,300.288,300.288
2.52,293.15,2,300.558,300.558
2.55,293.15,2,300.827,300.827
2.58,293.15,2,301.095,301.095
2.61,293.15,2,301.362,301.362
2.64,293.15,2,301.627,301.627
2.67,293.15,2,301.892,301.892
2.7,293.15,2,302.059,302.059
2.73,293.15,2,302.032,302.032
2.76,293.15,2,302.005,302.005
2.79,293.15,2,301.979,301.979
2.82,293.15,2,301.952,301.952
2.85,293.15,2,301.926,301.926
2.88,293.15,2,301.9,301.9
2.91,293.15,2,301.873,301.873
2.94,293.15,2,301.847,301.847
2.97,293.15,2,301.821,301.821
3,293.15,2,301.795,301.795
3.03,293.15,2,301.769,301.769
3.06,293.15,2,301.743,301.743
3.09,293.15,2,301.718,301.718
3.12,293.15,2,301.885,301.885
3.15,293.15,2,302.149,302.149
3.18,293.15,2,302.411,302.411
3.21,293.15,2,302.673,302.673
3.24,293.15,2,302.933,302.933
3.27,293.15,2,303.192,303.192
3.3,293.15,2,303.45,303.45
3.33,293.15,2,303.707,303.707
3.36,293.15,2,303.963,303.963
3.39,293.15,2,304.218,304.218
3.42,293.15,2,304.472,304.472
3.45,293.15,2,304.725,304.725
3.48,293.15,2,304.977,304.977
3.51,293.15,2,305.228,305.228
3.54,293.15,2,305.478,305.478
3.57,293.15,2,305.727,305.727
3.6,293.15,2,305.689,305.689
3.63,293.15,2,305.652,305.652
3.66,293.15,2,305.614,305.614
3.69,293.15,2,305.577,305.577
3.72,293.15,2,305.539,305.539
3.75,293.15,2,305.502,305.502
3.78,293.15,2,305.465,305.465
3.81,293.15,2,305.428,305.428
3.84,293.15,2,305.392,305.392
3.87,293.15,2,305.355,305.355
3.9,293.15,2,305.318,305.318
3.93,293.15,2,305.282,305.282
3.96,293.15,2,305.341,305.341
3.99,293.15,2,305.59,305.59
4.02,293.15,2,305.839,305.839
4.05,293.15,2,306.086,306.086
4.08,293.15,2,306.333,306.333
4.11,293.15,2,306.578,306.578
4.14,293.15,2,306.822,306.822
4.17,293.15,2,307.066,307.066
4.2,293.15,2,307.308,307.308
4.23,293.15,2,307.549,307.549
4.26,293.15,2,307.79,307.79
4.29,293.15,2,308.029,308.029
4.32,293.15,2,308.268,308.268
4.35,293.15,2,308.505,308.505
4.38,293.15,2,308.742,308.742
4.41,293.15,2,308.978,308.978
4.44,293.15,2,309.212,309.212
4.47,293.15,2,309.446,309.446
4.5,293.15,2,309.397,309.397
4.53,293.15,2,309.348,309.348
4.56,293.15,2,309.3,309.3
4.59,293.15,2,309.252,309.252
4.62,293.15,2,309.203,309.203
4.65,293.15,2,309.155,309.155
4.68,293.15,2,309.107,309.107
4.71,293.15,2,309.059,309.059
4.74,293.15,2,309.012,309.012
4.77,293.15,2,308.964,308.964
4.8,293.15,2,308.917,308.917
4.83,293.15,2,308.964,308.964
4.86,293.15,2,309.198,309.198
4.89,293.15,2,309.432,309.432
4.92,293.15,2,309.665,309.665
4.95,293.15,2,309.897,309.897
4.98,293.15,2,310.128,310.128
5.01,293.15,2,310.358,310.358
5.04,293.15,2,310.587,310.587
5.07,293.15,2,310.815,310.815
5.1,293.15,2,311.042,311.042
5.13,293.15,2,311.269,311.269
5.16,293.15,2,311.494,311.494
5.19,293.15,2,311.719,311.719
5.22,293.15,2,311.942,311.942
5.25,293.15,2,312.165,312.165
5.28,293.15,2,312.387,312.387
5.31,293.15,2,312.608,312.608
5.34,293.15,2,312.828,312.828
5.37,293.15,2,313.047,313.047
5.4,293.15,2,313.265,313.265
5.43,293.15,2,313.39,313.39
5.46,293.15,2,313.33,313.33
