    "time","Piston_r2","Inertia_w"
         0,0.29999993,         0
      0.01,0.29999983,0.10991519
      0.02,0.29999905,0.33161202
      0.03, 0.2999936,0.89031652
      0.04,0.29995574, 2.3526276
      0.05,0.29969341, 6.1796696
      0.06,0.29791722, 15.823934
      0.07,0.28736796,  35.60994
      0.08,0.24672636, 60.293543
      0.09, 0.1658191, 93.289401
       0.1,0.10313023, 129.82224
      0.11,0.12350229, 118.69673
      0.12,0.21505862, 91.034711
      0.13,0.29542137,  102.8199
      0.14,0.25761759,  101.1409
      0.15,0.14114442, 140.26817
      0.16,0.10423894,   166.131
      0.17,0.20266728, 122.37606
      0.18, 0.2999792, 149.83738
      0.19, 0.1919227, 140.30937
       0.2,0.10000191, 199.43575
      0.21,0.19546337, 147.47806
      0.22,0.29524286,  177.8748
      0.23,0.14405996, 188.32719
      0.24, 0.1225585, 206.80072
      0.25,0.28549271, 191.62836
      0.26,0.18498411, 183.64877
      0.27,0.10955605, 240.67469
      0.28,0.28106237, 208.98433
      0.29,0.17084713, 208.16958
       0.3,0.12648535, 244.88682
      0.31,0.29971631, 259.00017
      0.32,0.11560351, 274.14238
      0.33,0.20660845, 216.12193
      0.34,0.21696189, 222.73712
      0.35,0.11749178,   290.024
      0.36,0.29484104, 288.08889
      0.37,0.10063837, 326.61253
      0.38,0.28249723, 281.62098
      0.39,0.11754655, 321.95836
       0.4,0.24677278, 262.64856
      0.41,0.13555946, 313.94823
      0.42,0.23142109, 269.58678
      0.43,0.13734887, 325.20447
      0.44,0.24158753,   284.704
      0.45,0.12162237,  359.2708
      0.46,0.27450825, 325.03185
      0.47,0.10249856, 400.49564
      0.48,0.29934916, 394.16534
      0.49,0.10910792, 404.15092
       0.5,0.23590583, 319.34708
