    "time","revolute1.w","revolute2.w"
     0.249,-4.4713605, 2.1201949
    0.2505,-4.4751474, 2.0556907
     0.252, -4.478539, 1.9901729
    0.2535,  -4.48153, 1.9236415
     0.255,-4.4841148, 1.8560965
    0.2565,-4.4862878, 1.7875379
     0.258,-4.4880431, 1.7179651
    0.2595,-4.4893749, 1.6473778
     0.261, -4.490277, 1.5757753
    0.2625,-4.4907432, 1.5031567
     0.264,-4.4907671, 1.4295212
    0.2655,-4.4903422, 1.3548676
     0.267,-4.4894618, 1.2791947
    0.2685,-4.4881192, 1.2025012
      0.27,-4.4863075, 1.1247855
    0.2715,-4.4840197,  1.046046
     0.273,-4.4812486,0.96628084
    0.2745,-4.4779872,0.88548812
     0.276, -4.474228,0.80366576
    0.2775,-4.4699636,0.72081155
     0.279,-4.4651867,0.63692316
    0.2805,-4.4598895,0.55199812
     0.282,-4.4540646,0.46603382
    0.2835,-4.4477041,0.37902753
     0.285,-4.4408003,0.29097639
    0.2865,-4.4333455,0.20187742
     0.288,-4.4253317, 0.1117275
    0.2895,-4.4167511,0.020523396
     0.291,-4.4075958,-0.071738242
    0.2925,-4.3978579,-0.16506089
     0.294,-4.3875294,-0.25944813
    0.2955,-4.3766024,-0.35490367
     0.297,-4.3650691,-0.45143132
    0.2985,-4.3529214,-0.54903499
       0.3,-4.3401516,-0.6477187
    0.3015,-4.3267518,-0.74748654
     0.303,-4.3127143,-0.84834272
    0.3045,-4.2980315,-0.95029151
     0.306,-4.2826957,-1.0533373
    0.3075,-4.2666994,-1.1574844
     0.309,-4.2500352,-1.2627373
    0.3105,-4.2326959,-1.3691005
     0.312,-4.2146743,-1.4765785
    0.3135,-4.1959636,-1.5851759
     0.315,-4.1765569,-1.6948972
    0.3165,-4.1564475,-1.8057467
     0.318,-4.1356293,-1.9177289
    0.3195,-4.1140959,-2.0308482
     0.321,-4.0918416,-2.1451087
    0.3225,-4.0688608,-2.2605144
     0.324,-4.0451481,-2.3770692
    0.3255,-4.0206987,-2.4947766
     0.327, -3.995508,  -2.61364
    0.3285,-3.9695718,-2.7336622
      0.33,-3.9428863,-2.8548459
    0.3315,-3.9154483,-2.9771929
     0.333,-3.8872551,-3.1007049
    0.3345,-3.8583044,-3.2253825
     0.336,-3.8285947,-3.3512258
    0.3375, -3.798125, -3.478234
     0.339, -3.766895,-3.6064053
    0.3405,-3.7349054,-3.7357367
     0.342,-3.7021574, -3.866224
    0.3435,-3.6686533,-3.9978617
     0.345,-3.6343963,-4.1306423
    0.3465,-3.5993907,-4.2645569
     0.348, -3.563642,-4.3995942
    0.3495,-3.5271567, -4.535741
     0.351,-3.4899429,-4.6729813
    0.3525,-3.4520101,-4.8112963
     0.354,-3.4133692,-4.9506641
    0.3555,-3.3740329,-5.0910592
     0.357,-3.3340159,-5.2324524
    0.3585,-3.2933347,-5.3748102
      0.36,-3.2520079,-5.5180942
    0.3615,-3.2100566,-5.6622611
     0.363,-3.1675044,-5.8072615
    0.3645,-3.1243775,-5.9530401
     0.366, -3.080705,-6.0995347
    0.3675,-3.0365193,-6.2466754
     0.369,-2.9918561,-6.3943843
    0.3705,-2.9467545,-6.5425748
     0.372,-2.9012579,-6.6911504
    0.3735,-2.8554135,-6.8400044
     0.375, -2.809273,-6.9890189
    0.3765,-2.7628928,-7.1380642
     0.378,-2.7163343,-7.2869974
    0.3795,-2.6696642,-7.4356622
     0.381,-2.6229545,-7.5838877
    0.3825,-2.5762833,-7.7314878
     0.384,-2.5297344,-7.8782602
    0.3855, -2.483398,-8.0239858
     0.387,-2.4373708,-8.1684282
    0.3885,-2.3917558, -8.311333
      0.39,-2.3466629,-8.4524277
    0.3915,-2.3022085,-8.5914211
     0.393,-2.2585157,-8.7280038
    0.3945,-2.2157139,-8.8618481
     0.396,-2.1739388,-8.9926089
    0.3975,-2.1333318,-9.1199242
     0.399,-2.0940395, -9.243417
    0.4005,-2.0562134, -9.362696
     0.402,-2.0200086,-9.4773588
    0.4035, -1.985583,-9.5869937
     0.405,-1.9530964,-9.6911826
    0.4065,-1.9227089,-9.7895049
     0.408,-1.8945798,-9.8815413
    0.4095,-1.8688657,-9.9668775
     0.411, -1.845719,-10.045109
    0.4125,-1.8252863,-10.115847
     0.414,-1.8077062,-10.178721
    0.4155, -1.793108,-10.233385
     0.417,-1.7816093,-10.279524
    0.4185,-1.7733149,-10.316856
      0.42,-1.7683149,-10.345139
    0.4215,-1.7666832,-10.364171
     0.423,-1.7684767,-10.373799
    0.4245,-1.7737341,-10.373914
     0.426,-1.7824753,-10.364461
    0.4275,-1.7947011,-10.345433
     0.429,-1.8103935,-10.316875
    0.4305,-1.8295155,-10.278881
     0.432,-1.8520122,-10.231595
    0.4335,-1.8778115,-10.175203
     0.435,-1.9068255,-10.109936
    0.4365,-1.9389515,-10.036062
     0.438,-1.9740741,-9.9538818
    0.4395,-2.0120664,-9.8637266
     0.441,-2.0527922,-9.7659515
    0.4425,-2.0961076,-9.6609304
     0.444,-2.1418626,-9.5490518
    0.4455,-2.1899033,-9.4307137
     0.447,-2.2400731,-9.3063191
    0.4485,-2.2922144, -9.176272
      0.45,-2.3461702,-9.0409735
    0.4515,-2.4017849,-8.9008188
     0.453,-2.4589059,-8.7561937
    0.4545,-2.5173841,-8.6074727
     0.456, -2.577075,-8.4550169
    0.4575,-2.6378392, -8.299172
     0.459,-2.6995428,-8.1402677
    0.4605,-2.7620582,-7.9786164
     0.462,-2.8252637,-7.8145129
    0.4635,-2.8890441, -7.648234
     0.465,-2.9532908,-7.4800387
    0.4665,-3.0179014,-7.3101681
     0.468,-3.0827802,-7.1388463
    0.4695,-3.1478373,-6.9662802
     0.471,-3.2129892,-6.7926607
    0.4725,-3.2781582,-6.6181632
     0.474, -3.343272,-6.4429484
    0.4755,-3.4082639,-6.2671629
     0.477,-3.4730724,-6.0909405
    0.4785,-3.5376405,-5.9144024
      0.48, -3.601916,-5.7376585
    0.4815,-3.6658511,-5.5608082
     0.483, -3.729402,-5.3839407
    0.4845,-3.7925286,-5.2071364
     0.486,-3.8551945,-5.0304671
    0.4875,-3.9173667,-4.8539972
     0.489,-3.9790151,-4.6777837
    0.4905,-4.0401127,-4.5018774
     0.492,-4.1006351,-4.3263232
    0.4935,-4.1605607,-4.1511606
     0.495,-4.2198699,-3.9764245
    0.4965,-4.2785455,-3.8021453
     0.498,-4.3365723,-3.6283494
    0.4995, -4.393937,-3.4550598
     0.501,-4.4506282,-3.2822962
    0.5025,-4.5066359,-3.1100757
     0.504,-4.5619519,-2.9384127
    0.5055,-4.6165693,-2.7673193
     0.507,-4.6704826,-2.5968058
    0.5085,-4.7236874,-2.4268807
      0.51,-4.7761807,-2.2575509
    0.5115,-4.8279604, -2.088822
     0.513,-4.8790255,-1.9206985
    0.5145,-4.9293759,-1.7531839
     0.516,-4.9790125,-1.5862808
    0.5175,-5.0279369,-1.4199911
     0.519,-5.0761514,-1.2543162
    0.5205,-5.1236593,-1.0892571
     0.522,-5.1704641,-0.92481428
    0.5235,-5.2165704,-0.76098817
     0.525,-5.2619831,-0.59777893
    0.5265,-5.3067076,-0.43518668
     0.528,-5.3507499,-0.27321159
    0.5295,-5.3941163,-0.1118539
     0.531,-5.4368137,0.048885971
    0.5325,-5.4788492,0.20900735
     0.534,-5.5202302,0.36850926
    0.5355,-5.5609645,0.52739032
     0.537,-5.6010599,0.68564871
    0.5385,-5.6405247,0.84328208
      0.54,-5.6793671, 1.0002875
    0.5415,-5.7175955, 1.1566614
     0.543,-5.7552185, 1.3123993
    0.5445,-5.7922445, 1.4674963
     0.546,-5.8286821, 1.6219462
    0.5475,-5.8645396,  1.775742
     0.549,-5.8998255, 1.9288757
    0.5505,-5.9345478, 2.0813382
     0.552,-5.9687147, 2.2331189
    0.5535,-6.0023338, 2.3842061
     0.555,-6.0354126, 2.5345867
    0.5565,-6.0679581, 2.6842459
     0.558,-6.0999771, 2.8331673
    0.5595,-6.1314757, 2.9813327
     0.561,-6.1624597, 3.1287221
    0.5625, -6.192934, 3.2753132
     0.564,-6.2229032, 3.4210818
    0.5655, -6.252371, 3.5660011
     0.567,-6.2813403, 3.7100419
    0.5685,-6.3098132, 3.8531725
      0.57,-6.3377908,  3.995358
    0.5715,-6.3652732, 4.1365609
     0.573,-6.3922596, 4.2767401
    0.5745,-6.4187477, 4.4158514
     0.576,-6.4447343, 4.5538468
    0.5775,-6.4702146, 4.6906748
     0.579,-6.4951826, 4.8262797
    0.5805,-6.5196308, 4.9606017
     0.582,  -6.54355, 5.0935764
    0.5835,-6.5669294, 5.2251353
     0.585,-6.5897565, 5.3552047
    0.5865,-6.6120171, 5.4837062
     0.588, -6.633695, 5.6105562
    0.5895,-6.6547722,  5.735666
     0.591,-6.6752285, 5.8589412
    0.5925,-6.6950419, 5.9802822
     0.594,-6.7141882, 6.0995838
    0.5955, -6.732641, 6.2167351
     0.597,-6.7503721, 6.3316196
    0.5985,-6.7673508, 6.4441155
       0.6,-6.7835446, 6.5540952
    0.6015,-6.7989189, 6.6614261
     0.603,-6.8134368, 6.7659703
    0.6045,  -6.82706, 6.8675855
     0.606,-6.8397479, 6.9661246
    0.6075,-6.8514587, 7.0614371
     0.609,-6.8621488, 7.1533687
    0.6105,-6.8717733, 7.2417627
     0.612,-6.8802865, 7.3264602
    0.6135,-6.8876418, 7.4073016
     0.615, -6.893792, 7.4841266
    0.6165,-6.8986898, 7.5567761
     0.618,-6.9022883, 7.6250927
    0.6195,-6.9045409, 7.6889224
     0.621,-6.9054021, 7.7481154
    0.6225,-6.9048278, 7.8025275
     0.624,-6.9027758, 7.8520219
    0.6255,-6.8992063, 7.8964697
     0.627,-6.8940819, 7.9357522
    0.6285,-6.8873689, 7.9697616
      0.63,-6.8790368, 7.9984024
    0.6315,-6.8690593,  8.021593
     0.633,-6.8574146, 8.0392663
    0.6345,-6.8440855,  8.051371
     0.636,  -6.82906, 8.0578724
    0.6375, -6.812331, 8.0587531
     0.639,-6.7938974, 8.0540135
    0.6405,-6.7737633, 8.0436722
     0.642,-6.7519386, 8.0277658
    0.6435,-6.7284386, 8.0063493
     0.645,-6.7032844, 7.9794955
    0.6465,-6.6765024, 7.9472944
     0.648,-6.6481241, 7.9098529
    0.6495,-6.6181858, 7.8672934
     0.651,-6.5867286, 7.8197531
    0.6525,-6.5537978, 7.7673828
     0.654,-6.5194422, 7.7103457
    0.6555,-6.4837142, 7.6488154
     0.657, -6.446669, 7.5829754
    0.6585,-6.4083644, 7.5130167
      0.66,-6.3688599, 7.4391371
    0.6615,-6.3282166, 7.3615388
     0.663,-6.2864965, 7.2804279
    0.6645,-6.2437623, 7.1960123
     0.666,-6.2000767, 7.1085005
    0.6675,-6.1555023, 7.0181006
     0.669,-6.1101009, 6.9250187
    0.6705,-6.0639334, 6.8294584
     0.672,-6.0170596, 6.7316194
    0.6735,-5.9695374, 6.6316966
     0.675,-5.9214234, 6.5298799
    0.6765, -5.872772, 6.4263529
     0.678,-5.8236356, 6.3212931
    0.6795,-5.7740643, 6.2148708
     0.681, -5.724106, 6.1072493
    0.6825,-5.6738062, 5.9985845
     0.684, -5.623208, 5.8890245
    0.6855,-5.5723521, 5.7787101
     0.687,-5.5212768, 5.6677741
    0.6885, -5.470018, 5.5563421
      0.69,-5.4186092, 5.4445319
    0.6915,-5.3670817, 5.3324542
     0.693,-5.3154645, 5.2202122
    0.6945,-5.2637846, 5.1079025
     0.696,-5.2120668, 4.9956148
    0.6975, -5.160334, 4.8834323
     0.699,-5.1086071, 4.7714322
    0.7005,-5.0569053, 4.6596856
     0.702,-5.0052461, 4.5482579
    0.7035,-4.9536453, 4.4372092
     0.705,-4.9021173, 4.3265946
    0.7065,-4.8506751, 4.2164643
     0.708,-4.7993302, 4.1068639
    0.7095, -4.748093, 3.9978349
     0.711,-4.6969728, 3.8894145
    0.7125,-4.6459776, 3.7816365
     0.714,-4.5951145,  3.674531
    0.7155,-4.5443898, 3.5681246
     0.717,-4.4938089, 3.4624412
    0.7185,-4.4433762, 3.3575016
      0.72,-4.3930957, 3.2533239
    0.7215,-4.3429705,  3.149924
     0.723,-4.2930031, 3.0473152
    0.7245,-4.2431957, 2.9455088
     0.726,-4.1935497, 2.8445141
    0.7275,-4.1440662, 2.7443386
     0.729,-4.0947458,  2.644988
    0.7305,-4.0455888, 2.5464666
     0.732,-3.9965951, 2.4487771
    0.7335,-3.9477643, 2.3519209
     0.735,-3.8990957, 2.2558984
    0.7365,-3.8505885, 2.1607086
     0.738,-3.8022415, 2.0663495
    0.7395,-3.7540534, 1.9728182
     0.741,-3.7060226,  1.880111
    0.7425,-3.6581476, 1.7882233
     0.744,-3.6104266, 1.6971497
    0.7455,-3.5628576, 1.6068843
     0.747,-3.5154386, 1.5174204
    0.7485,-3.4681676, 1.4287509
      0.75,-3.4210424,  1.340868
    0.7515,-3.3740607, 1.2537637
     0.753,-3.3272203, 1.1674292
    0.7545,-3.2805189, 1.0818555
     0.756,-3.2339539,0.99703343
    0.7575,-3.1875232,0.91295313
     0.759,-3.1412242,0.82960467
    0.7605,-3.0950545,0.74697777
     0.762,-3.0490117,0.66506193
    0.7635,-3.0030934,0.58384641
     0.765, -2.957297,0.50332028
    0.7665,-2.9116201,0.42347241
     0.768,-2.8660602,0.34429151
    0.7695, -2.820615,0.26576614
     0.771, -2.775282,0.18788472
    0.7725,-2.7300587,0.11063554
     0.774,-2.6849427,0.034006786
    0.7755,-2.6399316,-0.042013454
     0.777,-2.5950231,-0.11743719
    0.7785,-2.5502147,-0.1922765
      0.78,-2.5055041,-0.26654355
    0.7815,-2.4608889,-0.34025057
     0.783,-2.4163669,-0.41340982
    0.7845,-2.3719355,-0.48603364
     0.786,-2.3275926,-0.5581344
    0.7875,-2.2833359,-0.62972452
     0.789, -2.239163,-0.70081643
    0.7905,-2.1950717,-0.7714226
     0.792,-2.1510597,-0.84155552
    0.7935,-2.1071248,-0.91122771
     0.795,-2.0632647,-0.98045168
    0.7965,-2.0194773,  -1.04924
     0.798,-1.9757602,-1.1176051
    0.7995,-1.9321113,-1.1855596
     0.801,-1.8885284, -1.253116
    0.8025,-1.8450094,-1.3202869
     0.804,-1.8015519,-1.3870847
    0.8055,-1.7581539,-1.4535219
     0.807,-1.7148132, -1.519611
    0.8085,-1.6715276,-1.5853645
      0.81,-1.6282951,-1.6507947
    0.8115,-1.5851134,-1.7159141
     0.813,-1.5419805,-1.7807349
    0.8145,-1.4988942,-1.8452695
     0.816,-1.4558525,  -1.90953
    0.8175,-1.4128533,-1.9735287
     0.819,-1.3698945,-2.0372777
    0.8205, -1.326974, -2.100789
     0.822,-1.2840899,-2.1640745
    0.8235,  -1.24124,-2.2271462
     0.825,-1.1984225,-2.2900157
    0.8265,-1.1556353,-2.3526948
     0.828,-1.1128764,-2.4151949
    0.8295, -1.070144,-2.4775276
     0.831,-1.0274362,-2.5397039
    0.8325,-0.98475115,-2.6017351
     0.834,-0.94208698,-2.6636321
    0.8355,-0.89944194,-2.7254057
     0.837,-0.85681431,-2.7870664
    0.8385,-0.81420243,-2.8486245
      0.84,-0.77160467,-2.9100903
    0.8415,-0.72901947,-2.9714736
     0.843,-0.68644537,-3.0327841
    0.8445,-0.64388093,-3.0940309
     0.846,-0.60132485,-3.1552233
    0.8475,-0.55877586,-3.2163697
     0.849,-0.51623283,-3.2774787
    0.8505,-0.47369471,-3.3385581
     0.852,-0.43116058,-3.3996156
    0.8535,-0.38862962,-3.4606581
     0.855,-0.34610116,-3.5216924
    0.8565,-0.30357466,-3.5827246
     0.858,-0.26104974,-3.6437604
    0.8595,-0.21852617,-3.7048047
     0.861,-0.1760039,-3.7658622
    0.8625,-0.13348306,-3.8269365
     0.864,-0.090963984,-3.8880309
    0.8655,-0.048447221,-3.9491478
     0.867,-0.0059335324,-4.0102889
    0.8685,0.036576078,-4.0714552
      0.87,0.079080356,-4.1326466
    0.8715,0.12157778,-4.1938624
     0.873,0.16406656,-4.2551009
    0.8745,0.20654458,-4.3163592
     0.876,0.24900946,-4.3776338
    0.8775,0.29145845,-4.4389197
     0.879, 0.3338885,-4.5002111
    0.8805,0.37629617,-4.5615009
     0.882,0.41867767,-4.6227809
    0.8835,0.46102882,-4.6840415
     0.885,0.50334504,-4.7452718
    0.8865,0.54562136,-4.8064598
     0.888,0.58785234,-4.8675919
    0.8895,0.63003215,-4.9286532
     0.891,0.67215448,-4.9896272
    0.8925,0.71421258, -5.050496
     0.894,0.75619924,-5.1112403
    0.8955,0.79810675,-5.1718392
     0.897,0.83992696,-5.2322701
    0.8985,0.88165121,-5.2925091
       0.9,0.92327038,-5.3525305
    0.9015,0.96477487,-5.4123071
     0.903, 1.0061546,-5.4718103
    0.9045, 1.0473991,-5.5310097
     0.906, 1.0884972,-5.5898737
    0.9075, 1.1294376,-5.6483689
     0.909, 1.1702085,-5.7064609
    0.9105, 1.2107976,-5.7641135
     0.912, 1.2511922,-5.8212895
    0.9135, 1.2913794,-5.8779504
     0.915, 1.3313459,-5.9340567
    0.9165, 1.3710782,-5.9895677
     0.918, 1.4105625, -6.044442
    0.9195, 1.4497847,-6.0986373
     0.921, 1.4887308,-6.1521109
    0.9225, 1.5273867,-6.2048194
     0.924,  1.565738,-6.2567192
    0.9255, 1.6037705,-6.3077666
     0.927, 1.6414701,-6.3579179
    0.9285,  1.678823,-6.4071298
      0.93, 1.7158152,-6.4553592
    0.9315, 1.7524335,-6.5025637
     0.933, 1.7886646,-6.5487018
    0.9345, 1.8244958, -6.593733
     0.936,  1.859915,-6.6376179
    0.9375, 1.8949105,-6.6803187
     0.939, 1.9294713, -6.721799
    0.9405,  1.963587,-6.7620243
     0.942, 1.9972479,-6.8009622
    0.9435, 2.0304453, -6.838582
     0.945, 2.0631711,-6.8748558
    0.9465, 2.0954181,-6.9097577
     0.948, 2.1271802,-6.9432644
    0.9495, 2.1584522,-6.9753554
     0.951, 2.1892297,-7.0060128
    0.9525, 2.2195095,-7.0352215
     0.954, 2.2492894, -7.062969
    0.9555,  2.278568,-7.0892461
     0.957, 2.3073453,-7.1140461
    0.9585,  2.335622,-7.1373653
      0.96,    2.3634,-7.1592028
    0.9615, 2.3906821,-7.1795603
     0.963,  2.417472,-7.1984426
    0.9645, 2.4437745,-7.2158567
     0.966, 2.4695952,-7.2318123
    0.9675, 2.4949405,-7.2463216
     0.969, 2.5198178, -7.259399
    0.9705,  2.544235, -7.271061
     0.972,  2.568201,-7.2813261
    0.9735, 2.5917253, -7.290215
     0.975, 2.6148178,-7.2977496
    0.9765, 2.6374891,-7.3039538
     0.978, 2.6597504,-7.3088525
    0.9795, 2.6816132,-7.3124722
     0.981, 2.7030895,-7.3148403
    0.9825, 2.7241914,-7.3159851
     0.984, 2.7449316,-7.3159358
    0.9855, 2.7653228,-7.3147219
     0.987,  2.785378,-7.3123737
    0.9885, 2.8051102,-7.3089217
      0.99, 2.8245326,-7.3043966
    0.9915, 2.8436583,-7.2988292
     0.993, 2.8625005,-7.2922501
    0.9945, 2.8810724,  -7.28469
     0.996, 2.8993869,-7.2761791
    0.9975, 2.9174571,-7.2667475
     0.999, 2.9352958,-7.2564246
    1.0005, 2.9529154,-7.2452394
     1.002, 2.9703285,-7.2332204
    1.0035, 2.9875473,-7.2203953
     1.005, 3.0045837,-7.2067912
    1.0065, 3.0214495,-7.1924345
     1.008, 3.0381561,-7.1773506
    1.0095, 3.0547146,-7.1615644
     1.011,  3.071136,-7.1450996
    1.0125, 3.0874308,-7.1279792
     1.014, 3.1036092,-7.1102255
    1.0155, 3.1196814,-7.0918595
     1.017, 3.1356568,-7.0729017
    1.0185, 3.1515448,-7.0533713
      1.02, 3.1673544,-7.0332868
    1.0215, 3.1830944,-7.0126659
     1.023, 3.1987731,-6.9915251
    1.0245, 3.2143985,-6.9698804
     1.026, 3.2299785,-6.9477464
    1.0275, 3.2455205,-6.9251373
     1.029, 3.2610316,-6.9020662
    1.0305, 3.2765188,-6.8785454
     1.032, 3.2919884,-6.8545865
    1.0335,  3.307447,-6.8302001
     1.035, 3.3229003,-6.8053961
    1.0365, 3.3383543,-6.7801837
     1.038, 3.3538143,-6.7545713
    1.0395, 3.3692854,-6.7285666
     1.041, 3.3847728,-6.7021765
    1.0425,  3.400281,-6.6754074
     1.044, 3.4158145, -6.648265
    1.0455, 3.4313776,-6.6207542
     1.047, 3.4469741,-6.5928794
    1.0485, 3.4626079,-6.5646445
      1.05, 3.4782825,-6.5360526
    1.0515, 3.4940013,-6.5071065
     1.053, 3.5097672,-6.4778083
    1.0545, 3.5255834,-6.4481597
     1.056, 3.5414524,-6.4181617
    1.0575, 3.5573768, -6.387815
     1.059,  3.573359,-6.3571199
    1.0605, 3.5894011,-6.3260762
     1.062,  3.605505, -6.294683
    1.0635, 3.6216726,-6.2629394
     1.065, 3.6379054, -6.230844
    1.0665,  3.654205,-6.1983948
     1.068, 3.6705726,-6.1655898
    1.0695, 3.6870094,-6.1324262
     1.071, 3.7035162,-6.0989014
    1.0725, 3.7200938, -6.065012
     1.074,  3.736743,-6.0307547
    1.0755, 3.7534642,-5.9961255
     1.077, 3.7702577,-5.9611204
    1.0785, 3.7871237,-5.9257352
      1.08, 3.8040622,-5.8899651
    1.0815, 3.8210731,-5.8538053
     1.083,  3.838156,-5.8172509
    1.0845, 3.8553106,-5.7802964
     1.086, 3.8725363,-5.7429363
    1.0875, 3.8898322,-5.7051649
     1.089, 3.9071976,-5.6669763
