"time","y5","y","y1","y2","y3","y4"
0,0,4,0,0,1,0
0.01,0.012353,4,0,0,1,0
0.02,0.031202,4,0,0,1,0
0.03,0.0500498,4,0,0,1,0
0.04,0.0688957,4,0,0,1,0
0.05,0.0877388,4,0,0,1,0
0.06,0.106578,4,0,0,1,0
0.07,0.125414,4,0,0,1,0
0.08,0.144244,4,0,0,1,0
0.09,0.163069,4,0,0,1,0
0.1,0.181887,4,0,0,1,0
0.11,0.200699,4,0,0,1,0
0.12,0.219502,4,0,0,1,0
0.13,0.238296,4,0,0,1,0
0.14,0.257082,4,0,0,1,0
0.15,0.275857,4,0,0,1,0
0.16,0.294621,4,0,0,1,0
0.17,0.313373,4,0,0,1,0
0.18,0.332113,4,0,0,1,0
0.19,0.35084,4,0,0,1,0
0.2,0.369554,4,0,0,1,0
0.21,0.388252,4,0,0,1,0
0.22,0.406935,4,0,0,1,0
0.23,0.425603,4,0,0,1,0
0.24,0.444253,4,0,0,1,0
0.25,0.462886,4,0,0,1,0
0.26,0.4815,4,0,0,1,0
0.27,0.506089,4,0,1,2,0
0.28,0.52146,4,0,1,2,0
0.29,0.540012,4,0,1,2,0
0.3,0.558543,4,0,1,2,0
0.31,0.577052,4,0,1,2,0
0.32,0.595538,4,0,1,2,0
0.33,0.614,4,0,1,2,0
0.34,0.632439,4,0,1,2,0
0.35,0.650852,4,0,1,2,0
0.36,0.66924,4,0,1,2,0
0.37,0.687601,4,0,1,2,0
0.38,0.705935,4,0,1,2,0
0.39,0.724241,4,0,1,2,0
0.4,0.742519,4,0,1,2,0
0.41,0.760767,4,0,1,2,0
0.42,0.778985,4,0,1,2,0
0.43,0.797173,4,0,1,2,0
0.44,0.815329,4,0,1,2,0
0.45,0.833453,4,0,1,2,0
0.46,0.851544,4,0,1,2,0
0.47,0.869601,4,0,1,2,0
0.48,0.887624,4,0,1,2,0
0.49,0.905612,4,0,1,2,0
0.5,0.923564,4,0,1,2,0
0.51,0.938792,6,0,1,2,0
0.52,0.956676,6,0,1,2,0
0.53,0.974522,6,0,1,2,0
0.54,0.99233,6,0,1,2,0
0.55,1.0101,6,0,1,2,0
0.56,1.02783,6,0,1,2,0
0.57,1.04552,6,0,1,2,0
0.58,1.06316,6,0,1,2,0
0.59,1.08077,6,0,1,2,0
0.6,1.09833,6,0,1,2,0
0.61,1.11585,6,0,1,2,0
0.62,1.13332,6,0,1,2,0
0.63,1.15076,6,0,1,2,0
0.64,1.16814,6,0,1,2,0
0.65,1.18548,6,0,1,2,0
0.66,1.20277,6,0,1,2,0
0.67,1.22002,6,0,1,2,0
0.68,1.23721,6,0,1,2,0
0.69,1.25436,6,0,1,2,0
0.7,1.27146,6,0,1,2,0
0.71,1.2885,6,0,1,2,0
0.72,1.3055,6,0,1,2,0
0.73,1.32245,6,0,1,2,0
0.74,1.33934,6,0,1,2,0
