"time","J1_w","J2_w","J3_w","J4_w"
0.1365,9.0907,1.35841,3.10862E-15,3.05797E-15
0.138,9.06211,1.37319,4.44089E-15,4.38759E-15
0.1395,9.03325,1.38796,3.77476E-15,3.71871E-15
0.141,9.00417,1.40273,3.10862E-15,3.04979E-15
0.1425,8.97489,1.4175,2.88658E-15,2.82491E-15
0.144,8.94546,1.43226,3.9968E-15,3.93229E-15
0.1455,8.91591,1.44701,5.10703E-15,5.03965E-15
0.147,8.88625,1.46176,5.77316E-15,5.70288E-15
0.1485,8.85653,1.4765,4.66294E-15,4.58975E-15
0.15,8.82678,1.49124,4.88498E-15,4.80888E-15
0.1515,8.79704,1.50598,5.55112E-15,5.47211E-15
0.153,8.76735,1.52071,5.9952E-15,5.91332E-15
0.1545,8.73772,1.53543,4.44089E-15,4.35614E-15
0.156,8.70819,1.55015,4.44089E-15,4.3533E-15
0.1575,8.6788,1.56486,5.10703E-15,5.01664E-15
0.159,8.64958,1.57957,6.21725E-15,6.1241E-15
0.1605,8.62057,1.59427,4.88498E-15,4.78912E-15
0.162,8.5918,1.60896,4.88498E-15,4.78646E-15
0.1635,8.56328,1.62365,4.66294E-15,4.56182E-15
0.165,8.53506,1.63834,4.21885E-15,4.11521E-15
0.1665,8.50717,1.65301,3.77476E-15,3.66868E-15
0.168,8.47964,1.66769,5.32907E-15,5.22062E-15
0.1695,8.4525,1.68235,3.77476E-15,3.66403E-15
0.171,8.42576,1.69701,4.66294E-15,4.55003E-15
0.1725,8.39945,1.71167,3.77476E-15,3.65978E-15
0.174,8.37362,1.72632,4.88498E-15,4.76803E-15
0.1755,8.34828,1.74096,4.44089E-15,4.32209E-15
0.177,8.32345,1.7556,4.88498E-15,4.76445E-15
0.1785,8.29916,1.77023,5.77316E-15,5.65102E-15
0.18,8.27541,1.78485,6.21725E-15,6.09362E-15
0.1815,8.25224,1.79947,5.77316E-15,5.64819E-15
0.183,8.22966,1.81408,6.21725E-15,6.09107E-15
0.1845,8.2077,1.82868,4.88498E-15,4.75774E-15
0.186,8.18636,1.84328,5.10703E-15,4.97887E-15
0.1875,8.16568,1.85787,6.21725E-15,6.08833E-15
0.189,8.14566,1.87246,6.43929E-15,6.30977E-15
0.1905,8.12633,1.88704,5.55112E-15,5.42114E-15
0.192,8.10765,1.90161,5.10703E-15,4.97661E-15
0.1935,8.08965,1.91617,5.32907E-15,5.19824E-15
0.195,8.07235,1.93073,5.10703E-15,4.97582E-15
0.1965,8.05575,1.94528,4.44089E-15,4.30934E-15
0.198,8.03987,1.95983,5.77316E-15,5.64126E-15
0.1995,8.0247,1.97436,4.44089E-15,4.30861E-15
0.201,8.01026,1.98889,4.44089E-15,4.30816E-15
0.2025,7.99653,2.00342,5.32907E-15,5.19579E-15
0.204,7.98354,2.01793,5.32907E-15,5.19513E-15
0.2055,7.97122,2.03244,5.32907E-15,5.19472E-15
0.207,7.95962,2.04695,4.88498E-15,4.75021E-15
0.2085,7.94871,2.06144,5.32907E-15,5.19387E-15
0.21,7.9385,2.07593,5.32907E-15,5.19344E-15
0.2115,7.92897,2.09041,5.77316E-15,5.63709E-15
0.213,7.92012,2.10488,5.32907E-15,5.19257E-15
0.2145,7.91192,2.11935,4.88498E-15,4.74807E-15
0.216,7.90437,2.1338,5.32907E-15,5.19179E-15
0.2175,7.89746,2.14825,4.44089E-15,4.30323E-15
0.219,7.89116,2.1627,4.88498E-15,4.74687E-15
0.2205,7.88547,2.17713,4.88498E-15,4.74642E-15
0.222,7.88034,2.19156,5.32907E-15,5.19007E-15
0.2235,7.87578,2.20598,4.88498E-15,4.74558E-15
0.225,7.87175,2.22039,4.88498E-15,4.74521E-15
0.2265,7.86822,2.23479,4.88498E-15,4.74489E-15
0.228,7.86517,2.24919,4.44089E-15,4.30055E-15
0.2295,7.86257,2.26358,5.32907E-15,5.18857E-15
0.231,7.86042,2.27796,5.77316E-15,5.63249E-15
0.2325,7.85869,2.29233,5.77316E-15,5.63227E-15
0.234,7.85734,2.30669,6.21725E-15,6.07616E-15
0.2355,7.85634,2.32105,6.21725E-15,6.076E-15
0.237,7.85566,2.3354,5.32907E-15,5.18768E-15
0.2385,7.85526,2.34974,6.21725E-15,6.07575E-15
0.24,7.85512,2.36407,6.21725E-15,6.07566E-15
0.2415,7.85519,2.37839,6.21725E-15,6.07558E-15
0.243,7.85544,2.3927,5.32907E-15,5.18735E-15
0.2445,7.85588,2.40701,5.77316E-15,5.63142E-15
0.246,7.85645,2.4213,5.32907E-15,5.18734E-15
0.2475,7.85712,2.43559,5.77316E-15,5.63145E-15
0.249,7.85785,2.44987,5.77316E-15,5.63149E-15
0.2505,7.85861,2.46414,5.32907E-15,5.18744E-15
0.252,7.85936,2.47841,5.77316E-15,5.63157E-15
