"time","part5_displacement_output"
0.000,315.89470000
0.001,315.89470000
0.002,315.61030000
0.003,315.32600000
0.004,315.04160000
0.005,314.75710000
0.006,314.47270000
0.007,314.18820000
0.008,313.90360000
0.009,313.61900000
0.010,313.33440000
0.011,313.04970000
0.012,312.76500000
0.013,312.48020000
0.014,312.19540000
0.015,311.91060000
0.016,311.62570000
0.017,311.34080000
0.018,311.05590000
0.019,310.77090000
0.020,310.48580000
0.021,310.20080000
0.022,309.91570000
0.023,309.63050000
0.024,309.34530000
0.025,309.06010000
0.026,308.77480000
0.027,308.48950000
0.028,308.20420000
0.029,307.91880000
0.030,307.63340000
0.031,307.34790000
0.032,307.06240000
0.033,306.77690000
0.034,306.49130000
0.035,306.20570000
0.036,305.92000000
0.037,305.63430000
0.038,305.34860000
0.039,305.06280000
0.040,304.77700000
0.041,304.49120000
0.042,304.20530000
0.043,303.91940000
0.044,303.63340000
0.045,303.34740000
0.046,303.06140000
0.047,302.77530000
0.048,302.48920000
0.049,302.20300000
0.050,301.91680000
0.051,301.63060000
0.052,301.34430000
0.053,301.05800000
0.054,300.77160000
0.055,300.48520000
0.056,300.19880000
0.057,299.91240000
0.058,299.62590000
0.059,299.33930000
0.060,299.05270000
0.061,298.76610000
0.062,298.47950000
0.063,298.19280000
0.064,297.90600000
0.065,297.61930000
0.066,297.33250000
0.067,297.04560000
0.068,296.75870000
0.069,296.47180000
0.070,296.18490000
0.071,295.89790000
0.072,295.61080000
0.073,295.32380000
0.074,295.03660000
0.075,294.74950000
0.076,294.46230000
0.077,294.17510000
0.078,293.88780000
0.079,293.60050000
0.080,293.31320000
0.081,293.02580000
0.082,292.73840000
0.083,292.45100000
0.084,292.16350000
0.085,291.87600000
0.086,291.58840000
0.087,291.30080000
0.088,291.01320000
0.089,290.72550000
0.090,290.43780000
0.091,290.15010000
0.092,289.86230000
0.093,289.57450000
0.094,289.28660000
0.095,288.99870000
0.096,288.71080000
0.097,288.42280000
0.098,288.13480000
0.099,287.84680000
0.100,287.55870000
0.101,287.27060000
0.102,286.98240000
0.103,286.69420000
0.104,286.40600000
0.105,286.11780000
0.106,285.82950000
0.107,285.54110000
0.108,285.25280000
0.109,284.96430000
0.110,284.67590000
0.111,284.38740000
0.112,284.09890000
0.113,283.81030000
0.114,283.52180000
0.115,283.23310000
0.116,282.94450000
0.117,282.65580000
0.118,282.36700000
0.119,282.07830000
0.120,281.78940000
0.121,281.50060000
0.122,281.21170000
0.123,280.92280000
0.124,280.63380000
0.125,280.34480000
0.126,280.05580000
0.127,279.76680000
0.128,279.47770000
0.129,279.18850000
0.130,278.89940000
0.131,278.61010000
0.132,278.32090000
0.133,278.03160000
0.134,277.74230000
0.135,277.45300000
0.136,277.16360000
0.137,276.87410000
0.138,276.58470000
0.139,276.29520000
0.140,276.00570000
0.141,275.71610000
0.142,275.42650000
0.143,275.13680000
0.144,274.84720000
0.145,274.55750000
0.146,274.26770000
0.147,273.97790000
0.148,273.68810000
0.149,273.39830000
0.150,273.10840000
0.151,272.81850000
0.152,272.52850000
0.153,272.23850000
0.154,271.94850000
0.155,271.65840000
0.156,271.36830000
0.157,271.07820000
0.158,270.78800000
0.159,270.49780000
0.160,270.20760000
0.161,269.91730000
0.162,269.62700000
0.163,269.33660000
0.164,269.04630000
0.165,268.75580000
0.166,268.46540000
0.167,268.17490000
0.168,267.88440000
0.169,267.59380000
0.170,267.30320000
0.171,267.01260000
0.172,266.72190000
0.173,266.43120000
0.174,266.14050000
0.175,265.84970000
0.176,265.55890000
0.177,265.26810000
0.178,264.97720000
0.179,264.68630000
0.180,264.39540000
0.181,264.10440000
0.182,263.81340000
0.183,263.52240000
0.184,263.23130000
0.185,262.94020000
0.186,262.64900000
0.187,262.35780000
0.188,262.06660000
0.189,261.77540000
0.190,261.48410000
0.191,261.19280000
0.192,260.90140000
0.193,260.61000000
0.194,260.31860000
0.195,260.02720000
0.196,259.73570000
0.197,259.44410000
0.198,259.15260000
0.199,258.86100000
0.200,258.56940000
0.201,258.27770000
0.202,257.98600000
0.203,257.69430000
0.204,257.40250000
0.205,257.11070000
0.206,256.81890000
0.207,256.52700000
0.208,256.23510000
0.209,255.94320000
0.210,255.65120000
0.211,255.35920000
0.212,255.06720000
0.213,254.77510000
0.214,254.48300000
0.215,254.19090000
0.216,253.89870000
0.217,253.60650000
0.218,253.31430000
0.219,253.02200000
