"time","part1_rot_motion_input"
0,0
0.001,-0.000994838
0.002,-0.001989675
0.003,-0.002984513
0.004,-0.003979351
0.005,-0.004974188
0.006,-0.005969026
0.007,-0.006963864
0.008,-0.007958701
0.009,-0.008953539
0.01,-0.009948377
0.011,-0.010943214
0.012,-0.011938052
0.013,-0.01293289
0.014,-0.013927727
0.015,-0.014922565
0.016,-0.015917403
0.017,-0.01691224
0.018,-0.017907078
0.019,-0.018901916
0.02,-0.019896753
0.021,-0.020891591
0.022,-0.021886429
0.023,-0.022881266
0.024,-0.023876104
0.025,-0.024870942
0.026,-0.02586578
0.027,-0.026860617
0.028,-0.027855455
0.029,-0.028850293
0.03,-0.02984513
0.031,-0.030839968
0.032,-0.031834806
0.033,-0.032829643
0.034,-0.033824481
0.035,-0.034819319
0.036,-0.035814156
0.037,-0.036808994
0.038,-0.037803832
0.039,-0.038798669
0.04,-0.039793507
0.041,-0.040788345
0.042,-0.041783182
0.043,-0.04277802
0.044,-0.043772858
0.045,-0.044767695
0.046,-0.045762533
0.047,-0.046757371
0.048,-0.047752208
0.049,-0.048747046
0.05,-0.049741884
0.051,-0.050736721
0.052,-0.051731559
0.053,-0.052726397
0.054,-0.053721234
0.055,-0.054716072
0.056,-0.05571091
0.057,-0.056705747
0.058,-0.057700585
0.059,-0.058695423
0.06,-0.05969026
0.061,-0.060685098
0.062,-0.061679936
0.063,-0.062674773
0.064,-0.063669611
0.065,-0.064664449
0.066,-0.065659286
0.067,-0.066654124
0.068,-0.067648962
0.069,-0.068643799
0.07,-0.069638637
0.071,-0.070633475
0.072,-0.071628313
0.073,-0.07262315
0.074,-0.073617988
0.075,-0.074612826
0.076,-0.075607663
0.077,-0.076602501
0.078,-0.077597339
0.079,-0.078592176
0.08,-0.079587014
0.081,-0.080581852
0.082,-0.081576689
0.083,-0.082571527
0.084,-0.083566365
0.085,-0.084561202
0.086,-0.08555604
0.087,-0.086550878
0.088,-0.087545715
0.089,-0.088540553
0.09,-0.089535391
0.091,-0.090530228
0.092,-0.091525066
0.093,-0.092519904
0.094,-0.093514741
0.095,-0.094509579
0.096,-0.095504417
0.097,-0.096499254
0.098,-0.097494092
0.099,-0.09848893
0.1,-0.099483767
0.101,-0.100478605
0.102,-0.101473443
0.103,-0.10246828
0.104,-0.103463118
0.105,-0.104457956
0.106,-0.105452793
0.107,-0.106447631
0.108,-0.107442469
0.109,-0.108437306
0.11,-0.109432144
0.111,-0.110426982
0.112,-0.111421819
0.113,-0.112416657
0.114,-0.113411495
0.115,-0.114406332
0.116,-0.11540117
0.117,-0.116396008
0.118,-0.117390845
0.119,-0.118385683
0.12,-0.119380521
0.121,-0.120375359
0.122,-0.121370196
0.123,-0.122365034
0.124,-0.123359872
0.125,-0.124354709
0.126,-0.125349547
0.127,-0.126344385
0.128,-0.127339222
0.129,-0.12833406
0.13,-0.129328898
0.131,-0.130323735
0.132,-0.131318573
0.133,-0.132313411
0.134,-0.133308248
0.135,-0.134303086
0.136,-0.135297924
0.137,-0.136292761
0.138,-0.137287599
0.139,-0.138282437
0.14,-0.139277274
0.141,-0.140272112
0.142,-0.14126695
0.143,-0.142261787
0.144,-0.143256625
0.145,-0.144251463
0.146,-0.1452463
0.147,-0.146241138
0.148,-0.147235976
0.149,-0.148230813
0.15,-0.149225651
0.151,-0.150220489
0.152,-0.151215326
0.153,-0.152210164
0.154,-0.153205002
0.155,-0.154199839
0.156,-0.155194677
0.157,-0.156189515
0.158,-0.157184352
0.159,-0.15817919
0.16,-0.159174028
0.161,-0.160168865
0.162,-0.161163703
0.163,-0.162158541
0.164,-0.163153378
0.165,-0.164148216
0.166,-0.165143054
0.167,-0.166137891
0.168,-0.167132729
0.169,-0.168127567
0.17,-0.169122405
0.171,-0.170117242
0.172,-0.17111208
0.173,-0.172106918
0.174,-0.173101755
0.175,-0.174096593
0.176,-0.175091431
0.177,-0.176086268
0.178,-0.177081106
0.179,-0.178075944
0.18,-0.179070781
0.181,-0.180065619
0.182,-0.181060457
0.183,-0.182055294
0.184,-0.183050132
0.185,-0.18404497
0.186,-0.185039807
0.187,-0.186034645
0.188,-0.187029483
0.189,-0.18802432
0.19,-0.189019158
0.191,-0.190013996
0.192,-0.191008833
0.193,-0.192003671
0.194,-0.192998509
0.195,-0.193993346
0.196,-0.194988184
0.197,-0.195983022
0.198,-0.196977859
0.199,-0.197972697
0.2,-0.198967535
0.201,-0.199962372
0.202,-0.20095721
0.203,-0.201952048
0.204,-0.202946885
0.205,-0.203941723
0.206,-0.204936561
0.207,-0.205931398
0.208,-0.206926236
0.209,-0.207921074
0.21,-0.208915911
0.211,-0.209910749
0.212,-0.210905587
0.213,-0.211900424
0.214,-0.212895262
0.215,-0.2138901
0.216,-0.214884938
0.217,-0.215879775
0.218,-0.216874613
0.219,-0.217869451
0.22,-0.218864288
0.221,-0.219859126
0.222,-0.220853964
0.223,-0.221848801
0.224,-0.222843639
0.225,-0.223838477
0.226,-0.224833314
0.227,-0.225828152
0.228,-0.22682299
0.229,-0.227817827
0.23,-0.228812665
0.231,-0.229807503
0.232,-0.23080234
0.233,-0.231797178
0.234,-0.232792016
0.235,-0.233786853
0.236,-0.234781691
0.237,-0.235776529
0.238,-0.236771366
0.239,-0.237766204
0.24,-0.238761042
0.241,-0.239755879
0.242,-0.240750717
0.243,-0.241745555
0.244,-0.242740392
0.245,-0.24373523
0.246,-0.244730068
0.247,-0.245724905
0.248,-0.246719743
0.249,-0.247714581
0.25,-0.248709418
0.251,-0.249704256
0.252,-0.250699094
0.253,-0.251693931
0.254,-0.252688769
0.255,-0.253683607
0.256,-0.254678444
0.257,-0.255673282
0.258,-0.25666812
0.259,-0.257662957
0.26,-0.258657795
0.261,-0.259652633
0.262,-0.26064747
0.263,-0.261642308
0.264,-0.262637146
0.265,-0.263631984
0.266,-0.264626821
0.267,-0.265621659
0.268,-0.266616497
0.269,-0.267611334
0.27,-0.268606172
0.271,-0.26960101
0.272,-0.270595847
0.273,-0.271590685
0.274,-0.272585523
0.275,-0.27358036
0.276,-0.274575198
0.277,-0.275570036
0.278,-0.276564873
0.279,-0.277559711
0.28,-0.278554549
0.281,-0.279549386
0.282,-0.280544224
0.283,-0.281539062
0.284,-0.282533899
0.285,-0.283528737
0.286,-0.284523575
0.287,-0.285518412
0.288,-0.28651325
0.289,-0.287508088
0.29,-0.288502925
0.291,-0.289497763
0.292,-0.290492601
0.293,-0.291487438
0.294,-0.292482276
0.295,-0.293477114
0.296,-0.294471951
0.297,-0.295466789
0.298,-0.296461627
0.299,-0.297456464
0.3,-0.298451302
0.301,-0.29944614
