"time","FMU_Interface_OUT0_BatteryCharge","FMU_Interface_OUT1_Current","FMU_Interface_OUT2_NetVoltage","FMU_Interface_OUT3_Power"
0,0,0,0,0
0.01,91.2,-115.34,19.577,-2.2581
0.02,91.2,-115.34,19.577,-2.2581
0.03,91.199,-115.34,19.577,-2.2581
0.04,91.199,-115.34,19.577,-2.2581
0.05,91.199,-115.34,19.577,-2.2581
0.06,91.198,-115.34,19.577,-2.258
0.07,91.198,-115.34,19.577,-2.258
0.08,91.198,-115.34,19.577,-2.258
0.09,91.197,-115.34,19.577,-2.258
0.1,91.197,-115.34,19.577,-2.258
0.11,91.197,-115.34,19.577,-2.258
0.12,91.196,-115.34,19.577,-2.258
0.13,91.196,-115.34,19.577,-2.258
0.14,91.196,-115.34,19.577,-2.258
0.15,91.196,-115.34,19.577,-2.258
0.16,91.195,-115.34,19.577,-2.258
0.17,91.195,-115.34,19.577,-2.258
0.18,91.195,-115.34,19.577,-2.2579
0.19,91.194,-115.34,19.577,-2.2579
0.2,91.194,-115.33,19.577,-2.2579
0.21,91.194,-115.33,19.577,-2.2579
0.22,91.193,-115.33,19.577,-2.2579
0.23,91.193,-115.33,19.577,-2.2579
0.24,91.193,-115.33,19.577,-2.2579
0.25,91.192,-115.33,19.577,-2.2579
0.26,91.192,-115.33,19.577,-2.2579
0.27,91.192,-115.33,19.577,-2.2579
0.28,91.191,-115.33,19.577,-2.2579
0.29,91.191,-115.33,19.577,-2.2579
0.3,91.191,-115.33,19.577,-2.2579
0.31,91.19,-115.33,19.577,-2.2578
0.32,91.19,-115.33,19.577,-2.2578
0.33,91.19,-115.33,19.577,-2.2578
0.34,91.189,-115.33,19.577,-2.2578
0.35,91.189,-115.33,19.577,-2.2578
0.36,91.189,-115.33,19.577,-2.2578
0.37,91.188,-115.33,19.577,-2.2578
0.38,91.188,-115.33,19.577,-2.2578
0.39,91.188,-115.32,19.578,-2.2578
0.4,91.188,-115.32,19.578,-2.2578
0.41,91.187,-115.32,19.578,-2.2578
0.42,91.187,-115.32,19.578,-2.2578
0.43,91.187,-115.32,19.578,-2.2577
0.44,91.186,-115.32,19.578,-2.2577
0.45,91.186,-115.32,19.578,-2.2577
0.46,91.186,-115.32,19.578,-2.2577
0.47,91.185,-115.32,19.578,-2.2577
0.48,91.185,-115.32,19.578,-2.2577
0.49,91.185,-115.32,19.578,-2.2577
0.5,91.184,-115.32,19.578,-2.2577
0.51,91.184,-115.32,19.578,-2.2577
0.52,91.184,-115.32,19.578,-2.2577
0.53,91.183,-115.32,19.578,-2.2577
0.54,91.183,-115.32,19.578,-2.2577
0.55,91.183,-115.32,19.578,-2.2577
0.56,91.182,-115.32,19.578,-2.2576
0.57,91.182,-115.32,19.578,-2.2576
0.58,91.182,-115.31,19.578,-2.2576
0.59,91.181,-115.31,19.578,-2.2576
0.6,91.181,-115.31,19.578,-2.2576
0.61,91.181,-115.31,19.578,-2.2576
0.62,91.18,-115.31,19.578,-2.2576
0.63,91.18,-115.31,19.578,-2.2576
0.64,91.18,-115.31,19.578,-2.2576
0.65,91.179,-115.31,19.578,-2.2576
0.66,91.179,-115.31,19.578,-2.2576
0.67,91.179,-115.31,19.578,-2.2576
0.68,91.179,-115.31,19.578,-2.2575
0.69,91.178,-115.31,19.578,-2.2575
0.7,91.178,-115.31,19.578,-2.2575
0.71,91.178,-115.31,19.578,-2.2575
0.72,91.177,-115.31,19.578,-2.2575
0.73,91.177,-115.31,19.578,-2.2575
0.74,91.177,-115.31,19.578,-2.2575
0.75,91.176,-115.31,19.578,-2.2575
0.76,91.176,-115.31,19.578,-2.2575
0.77,91.176,-115.3,19.578,-2.2575
0.78,91.175,-115.3,19.578,-2.2575
0.79,91.175,-115.3,19.578,-2.2575
0.8,91.175,-115.3,19.578,-2.2575
0.81,91.174,-115.3,19.578,-2.2574
0.82,91.174,-115.3,19.578,-2.2574
0.83,91.174,-115.3,19.578,-2.2574
0.84,91.173,-115.3,19.578,-2.2574
0.85,91.173,-115.3,19.578,-2.2574
0.86,91.173,-115.3,19.578,-2.2574
0.87,91.172,-115.3,19.578,-2.2574
0.88,91.172,-115.3,19.578,-2.2574
0.89,91.172,-115.3,19.579,-2.2574
0.9,91.171,-115.3,19.579,-2.2574
0.91,91.171,-115.3,19.579,-2.2574
0.92,91.171,-115.3,19.579,-2.2574
0.93,91.171,-115.3,19.579,-2.2573
0.94,91.17,-115.3,19.579,-2.2573
0.95,91.17,-115.3,19.579,-2.2573
0.96,91.17,-115.29,19.579,-2.2573
0.97,91.169,-115.29,19.579,-2.2573
0.98,91.169,-115.29,19.579,-2.2573
0.99,91.169,-115.29,19.579,-2.2573
1,91.168,-115.29,19.579,-2.2573
1.01,91.168,-115.29,19.579,-2.2573
1.02,91.168,-115.29,19.579,-2.2573
1.03,91.167,-115.29,19.579,-2.2573
1.04,91.167,-115.29,19.579,-2.2573
1.05,91.167,-115.29,19.579,-2.2573
1.06,91.166,-115.29,19.579,-2.2572
1.07,91.166,-115.29,19.579,-2.2572
1.08,91.166,-115.29,19.579,-2.2572
1.09,91.165,-115.29,19.579,-2.2572
1.1,91.165,-115.29,19.579,-2.2572
1.11,91.165,-115.29,19.579,-2.2572
1.12,91.164,-115.29,19.579,-2.2572
1.13,91.164,-115.29,19.579,-2.2572
1.14,91.164,-115.29,19.579,-2.2572
1.15,91.163,-115.28,19.579,-2.2572
1.16,91.163,-115.28,19.579,-2.2572
1.17,91.163,-115.28,19.579,-2.2572
1.18,91.163,-115.28,19.579,-2.2571
1.19,91.162,-115.28,19.579,-2.2571
1.2,91.162,-115.28,19.579,-2.2571
1.21,91.162,-115.28,19.579,-2.2571
1.22,91.161,-115.28,19.579,-2.2571
1.23,91.161,-115.28,19.579,-2.2571
1.24,91.161,-115.28,19.579,-2.2571
1.25,91.16,-115.28,19.579,-2.2571
1.26,91.16,-115.28,19.579,-2.2571
1.27,91.16,-115.28,19.579,-2.2571
1.28,91.159,-115.28,19.579,-2.2571
1.29,91.159,-115.28,19.579,-2.2571
1.3,91.159,-115.28,19.579,-2.2571
1.31,91.158,-115.28,19.579,-2.257
1.32,91.158,-115.28,19.579,-2.257
1.33,91.158,-115.28,19.579,-2.257
1.34,91.157,-115.27,19.579,-2.257
1.35,91.157,-115.27,19.579,-2.257
1.36,91.157,-115.27,19.579,-2.257
1.37,91.156,-115.27,19.579,-2.257
1.38,91.156,-115.27,19.579,-2.257
1.39,91.156,-115.27,19.58,-2.257
1.4,91.155,-115.27,19.58,-2.257
1.41,91.155,-115.27,19.58,-2.257
1.42,91.155,-115.27,19.58,-2.257
1.43,91.155,-115.27,19.58,-2.2569
1.44,91.154,-115.27,19.58,-2.2569
1.45,91.154,-115.27,19.58,-2.2569
1.46,91.154,-115.27,19.58,-2.2569
1.47,91.153,-115.27,19.58,-2.2569
1.48,91.153,-115.27,19.58,-2.2569
1.49,91.153,-115.27,19.58,-2.2569
1.5,91.152,-115.27,19.58,-2.2569
1.51,91.152,-115.27,19.58,-2.2569
1.52,91.152,-115.27,19.58,-2.2569
1.53,91.151,-115.26,19.58,-2.2569
1.54,91.151,-115.26,19.58,-2.2569
