"time",	"outputs"
0,	282.8427
0.0001,	281.1732
0.0002,	279.5042
0.0003,	277.8394
0.0004,	276.1841
0.0005,	274.5423
0.0006,	272.9159
0.0007,	271.3055
0.0008,	269.7101
0.0009,	268.1269
0.001,	266.5517
0.0011,	264.9788
0.0012,	263.4008
0.0013,	261.8091
0.0014,	260.1938
0.0015,	258.5436
0.0016,	256.875
0.0017,	255.2065
0.0018,	253.538
0.0019,	251.8695
0.002,	250.2086
0.0021,	248.5818
0.0022,	247.0176
0.0023,	245.5424
0.0024,	244.1806
0.0025,	242.9547
0.0026,	241.8846
0.0027,	240.9882
0.0028,	240.2805
0.0029,	239.7741
0.003,	239.4791
0.0031,	239.4026
0.0032,	239.5489
0.0033,	239.9199
0.0034,	240.5143
0.0035,	241.3282
0.0036,	242.3549
0.0037,	243.585
0.0038,	245.0065
0.0039,	246.6046
0.004,	248.3624
0.0041,	250.2601
0.0042,	252.2762
0.0043,	254.3867
0.0044,	256.5656
0.0045,	258.7854
0.0046,	261.0168
0.0047,	263.2288
0.0048,	265.3896
0.0049,	267.4658
0.005,	269.4237
0.0051,	271.2284
0.0052,	272.845
0.0053,	274.2393
0.0054,	275.3889
0.0055,	276.2794
0.0056,	276.8966
0.0057,	277.2267
0.0058,	277.2561
0.0059,	276.9719
0.006,	276.4025
0.0061,	275.784
0.0062,	275.167
0.0063,	274.5627
0.0064,	273.981
0.0065,	273.43
0.0066,	272.9159
0.0067,	272.4434
0.0068,	272.0154
0.0069,	271.6327
0.007,	271.2947
0.0071,	270.9987
0.0072,	270.7404
0.0073,	270.5137
0.0074,	270.3108
0.0075,	270.1223
0.0076,	269.9373
0.0077,	269.7431
0.0078,	269.526
0.0079,	269.2708
0.008,	268.9609
0.0081,	268.5789
0.0082,	268.1064
0.0083,	267.5237
0.0084,	266.8109
0.0085,	265.9474
0.0086,	264.9151
0.0087,	263.7129
0.0088,	262.3441
0.0089,	260.8931
0.009,	259.4594
0.0091,	258.0671
0.0092,	256.7384
0.0093,	255.4933
0.0094,	254.3504
0.0095,	253.3256
0.0096,	252.433
0.0097,	251.6843
0.0098,	251.0887
0.0099,	250.6532
0.01,	250.3823
0.0101,	250.2779
0.0102,	250.3396
0.0103,	250.5644
0.0104,	250.9469
0.0105,	251.4794
0.0106,	252.1517
0.0107,	252.9514
0.0108,	253.8637
0.0109,	254.8721
0.011,	255.9575
0.0111,	257.0995
0.0112,	258.2757
0.0113,	259.462
0.0114,	260.6329
0.0115,	261.7618
0.0116,	262.8207
0.0117,	263.7808
0.0118,	264.6125
0.0119,	265.2867
0.012,	265.787
0.0121,	266.1046
0.0122,	266.2308
0.0123,	266.1562
0.0124,	265.8714
0.0125,	265.3668
0.0126,	264.6325
0.0127,	263.6589
0.0128,	262.4361
0.0129,	260.9547
0.013,	261.1687
0.0131,	261.4422
0.0132,	261.3432
0.0133,	261.2931
0.0134,	261.3485
0.0135,	261.5087
0.0136,	261.7709
0.0137,	262.1301
0.0138,	262.5791
0.0139,	263.109
0.014,	263.7087
0.0141,	264.3652
0.0142,	265.0639
0.0143,	265.7882
0.0144,	266.5201
0.0145,	267.24
0.0146,	267.9271
0.0147,	268.5592
0.0148,	269.113
0.0149,	269.5644
0.015,	269.8884
0.0151,	270.0596
0.0152,	270.0518
0.0153,	269.842
0.0154,	269.4227
0.0155,	268.791
0.0156,	267.9441
0.0157,	266.8786
0.0158,	265.5914
0.0159,	264.0791
0.016,	263.1653
0.0161,	262.1721
0.0162,	261.2554
0.0163,	260.4292
0.0164,	259.7043
0.0165,	259.0896
0.0166,	258.5915
0.0167,	258.2144
0.0168,	257.9606
0.0169,	257.8298
0.017,	257.8199
0.0171,	257.9261
0.0172,	258.1419
0.0173,	258.4585
0.0174,	258.8648
0.0175,	259.348
0.0176,	259.8932
0.0177,	260.4839
0.0178,	261.1017
0.0179,	261.7267
0.018,	262.3375
0.0181,	262.9113
0.0182,	263.4243
0.0183,	263.8516
0.0184,	264.1675
0.0185,	264.3455
0.0186,	264.363
0.0187,	264.2129
0.0188,	263.8907
0.0189,	263.3919
0.019,	262.7112
0.0191,	261.8537
0.0192,	260.9847
0.0193,	260.1752
0.0194,	259.441
0.0195,	258.7961
0.0196,	258.2523
0.0197,	257.8195
0.0198,	257.5053
0.0199,	257.3152
0.02,	257.2521
0.0201,	257.3172
0.0202,	257.5091
0.0203,	257.824
0.0204,	258.2563
0.0205,	258.7979
0.0206,	259.4386
0.0207,	260.1663
0.0208,	260.9669
0.0209,	261.8241
0.021,	262.7202
0.0211,	263.6356
0.0212,	264.5493
0.0213,	265.4388
0.0214,	266.2802
0.0215,	267.0488
0.0216,	267.7187
0.0217,	268.2633
0.0218,	268.6553
0.0219,	268.8672
0.022,	268.8804
0.0221,	268.6888
0.0222,	268.2876
0.0223,	267.6712
0.0224,	266.8344
0.0225,	265.8665
0.0226,	264.9253
0.0227,	264.0295
0.0228,	263.1947
0.0229,	262.4343
0.023,	261.7599
0.0231,	261.181
0.0232,	260.7051
0.0233,	260.3374
0.0234,	260.0811
0.0235,	259.9371
0.0236,	259.9044
0.0237,	259.9794
0.0238,	260.1568
0.0239,	260.4289
0.024,	260.7861
0.0241,	261.2168
0.0242,	261.7075
0.0243,	262.2427
0.0244,	262.8056
0.0245,	263.3774
0.0246,	263.938
0.0247,	264.4659
0.0248,	264.9385
0.0249,	265.332
0.025,	265.6217
0.0251,	265.7822
0.0252,	265.7876
0.0253,	265.6192
0.0254,	265.2725
0.0255,	264.744
0.0256,	264.0299
0.0257,	263.1262
0.0258,	262.1332
0.0259,	261.1849
0.026,	260.2991
0.0261,	259.4915
0.0262,	258.776
0.0263,	258.1645
0.0264,	257.6664
0.0265,	257.2894
0.0266,	257.0387
0.0267,	256.9171
0.0268,	256.9256
0.0269,	257.0625
0.027,	257.3239
0.0271,	257.7039
0.0272,	258.1942
0.0273,	258.7844
0.0274,	259.4622
0.0275,	260.2131
0.0276,	261.0208
0.0277,	261.8673
0.0278,	262.7327
0.0279,	263.5959
0.028,	264.434
0.0281,	265.2232
0.0282,	265.9384
0.0283,	266.5536
0.0284,	267.0421
0.0285,	267.3765
0.0286,	267.5309
0.0287,	267.494
0.0288,	267.2606
0.0289,	266.8255
0.029,	266.1829
0.0291,	265.3296
0.0292,	264.4144
0.0293,	263.5397
0.0294,	262.7218
0.0295,	261.9751
0.0296,	261.3121
0.0297,	260.7433
0.0298,	260.2771
0.0299,	259.9198
0.03,	259.6755
0.0301,	259.5461
0.0302,	259.5315
0.0303,	259.6291
0.0304,	259.8344
0.0305,	260.1405
0.0306,	260.5388
0.0307,	261.0184
0.0308,	261.5665
0.0309,	262.1684
0.031,	262.8077
0.0311,	263.4663
0.0312,	264.1245
0.0313,	264.7612
0.0314,	265.3541
0.0315,	265.8797
0.0316,	266.3135
0.0317,	266.6302
0.0318,	266.8037
0.0319,	266.8083
0.032,	266.629
0.0321,	266.262
0.0322,	265.7034
0.0323,	264.9492
0.0324,	264.0003
0.0325,	263.0096
0.0326,	262.0632
0.0327,	261.1782
0.0328,	260.3699
0.0329,	259.6517
0.033,	259.0349
0.0331,	258.5286
0.0332,	258.1398
0.0333,	257.8734
0.0334,	257.7318
0.0335,	257.7155
0.0336,	257.8224
0.0337,	258.0485
0.0338,	258.3874
0.0339,	258.8305
0.034,	259.3673
0.0341,	259.9852
0.0342,	260.6696
0.0343,	261.404
0.0344,	262.1703
0.0345,	262.9487
0.0346,	263.718
0.0347,	264.4554
0.0348,	265.1372
0.0349,	265.7385
0.035,	266.2334
0.0351,	266.5953
0.0352,	266.7973
0.0353,	266.8182
0.0354,	266.6515
0.0355,	266.2926
0.0356,	265.7364
0.0357,	264.9775
0.0358,	264.0105
0.0359,	262.8294
0.036,	261.4284
0.0361,	260.3448
0.0362,	260.0274
0.0363,	259.1895
0.0364,	257.8726
0.0365,	257.932
0.0366,	258.4348
0.0367,	258.5951
0.0368,	258.3842
0.0369,	257.7745
0.037,	256.74
0.0371,	255.6619
0.0372,	258.0043
0.0373,	260.1148
0.0374,	261.9973
0.0375,	263.6555
0.0376,	265.093
0.0377,	266.3136
0.0378,	267.3206
0.0379,	268.1173
0.038,	268.7069
0.0381,	269.0921
0.0382,	269.2755
0.0383,	269.2593
0.0384,	269.0455
0.0385,	268.6357
0.0386,	268.0313
0.0387,	267.233
0.0388,	266.2415
0.0389,	265.057
0.039,	263.6795
0.0391,	262.1084
0.0392,	260.571
0.0393,	259.0982
0.0394,	257.708
0.0395,	256.4177
0.0396,	255.2429
0.0397,	254.1968
0.0398,	253.2904
0.0399,	252.5325
0.04,	251.9292
0.0401,	251.4844
0.0402,	251.1996
0.0403,	251.0737
0.0404,	251.1033
0.0405,	251.2826
0.0406,	251.6034
0.0407,	252.0552
0.0408,	252.6252
0.0409,	253.2986
0.041,	254.0585
0.0411,	254.8861
0.0412,	255.7605
0.0413,	256.6596
0.0414,	257.5593
0.0415,	258.4345
0.0416,	259.2586
0.0417,	260.004
0.0418,	260.6424
0.0419,	261.1483
0.042,	261.5109
0.0421,	261.7228
0.0422,	261.7758
0.0423,	261.6611
0.0424,	261.3695
0.0425,	260.8914
0.0426,	260.2167
0.0427,	259.3352
0.0428,	258.2364
0.0429,	256.9099
0.043,	255.5613
0.0431,	256.7462
0.0432,	257.5109
0.0433,	257.8817
0.0434,	257.8861
0.0435,	257.5531
0.0436,	256.9122
0.0437,	255.9938
0.0438,	254.8285
0.0439,	253.4471
0.044,	251.8805
0.0441,	254.8741
0.0442,	258.038
0.0443,	260.5379
0.0444,	262.3152
0.0445,	263.3155
0.0446,	263.4889
0.0447,	262.7909
0.0448,	263.8259
0.0449,	267.9428
0.045,	271.8793
0.0451,	275.6457
0.0452,	279.2454
0.0453,	282.6814
0.0454,	285.9561
0.0455,	289.0714
0.0456,	292.0286
0.0457,	294.8286
0.0458,	297.4716
0.0459,	299.9573
0.046,	302.2844
0.0461,	304.4515
0.0462,	306.4563
0.0463,	308.2958
0.0464,	309.9666
0.0465,	311.4646
0.0466,	312.7851
0.0467,	313.9229
0.0468,	314.8723
0.0469,	315.627
0.047,	316.1803
0.0471,	316.5251
0.0472,	316.6539
0.0473,	316.5589
0.0474,	316.2321
0.0475,	315.665
0.0476,	314.8494
0.0477,	313.7766
0.0478,	312.4379
0.0479,	310.8372
0.048,	309.1676
0.0481,	307.498
0.0482,	305.8284
0.0483,	304.1589
0.0484,	302.4894
0.0485,	300.8199
0.0486,	299.1505
0.0487,	297.4811
0.0488,	295.8117
0.0489,	294.1424
0.049,	292.473
0.0491,	290.8037
0.0492,	289.1344
0.0493,	287.4651
0.0494,	285.7957
0.0495,	284.1264
0.0496,	282.4571
0.0497,	280.7878
0.0498,	279.1187
0.0499,	277.4563
0.05,	275.8118
0.0501,	274.195
0.0502,	272.6142
0.0503,	271.0757
0.0504,	269.5841
0.0505,	268.1422
0.0506,	266.7509
0.0507,	265.4095
0.0508,	264.1152
0.0509,	262.8637
0.051,	261.6489
0.0511,	260.4629
0.0512,	259.2963
0.0513,	258.1381
0.0514,	256.9758
0.0515,	255.7957
0.0516,	254.5826
0.0517,	253.3202
0.0518,	251.9921
0.0519,	250.5952
0.052,	249.1363
0.0521,	247.6716
0.0522,	246.2742
0.0523,	244.9696
0.0524,	243.7813
0.0525,	242.7309
0.0526,	241.8372
0.0527,	241.1171
0.0528,	240.5848
0.0529,	240.2519
0.053,	240.1273
0.0531,	240.2173
0.0532,	240.5254
0.0533,	241.0524
0.0534,	241.7964
0.0535,	242.7524
0.0536,	243.9131
0.0537,	245.2684
0.0538,	246.8055
0.0539,	248.509
0.054,	250.3614
0.0541,	252.3426
0.0542,	254.4304
0.0543,	256.6005
0.0544,	258.8268
0.0545,	261.0812
0.0546,	263.3344
0.0547,	265.5554
0.0548,	267.7122
0.0549,	269.7716
0.055,	271.6998
0.0551,	273.4624
0.0552,	275.0245
0.0553,	276.3515
0.0554,	277.4188
0.0555,	278.2121
0.0556,	278.718
0.0557,	278.9235
0.0558,	278.8159
0.0559,	278.3835
0.056,	277.6892
0.0561,	276.9612
0.0562,	276.2282
0.0563,	275.5023
0.0564,	274.7939
0.0565,	274.1119
0.0566,	273.4633
0.0567,	272.8535
0.0568,	272.2861
0.0569,	271.7628
0.057,	271.2837
0.0571,	270.8469
0.0572,	270.4488
0.0573,	270.0842
0.0574,	269.7461
0.0575,	269.4257
0.0576,	269.1128
0.0577,	268.7957
0.0578,	268.461
0.0579,	268.0943
0.058,	267.6797
0.0581,	267.2002
0.0582,	266.638
0.0583,	265.974
0.0584,	265.1886
0.0585,	264.2615
0.0586,	263.1768
0.0587,	261.9349
0.0588,	260.541
0.0589,	259.0948
