"time","y","z"
0,1.0000000000000000E+001,0.0000000000000000E+000
0.02,9.9980400000000014E+000,-1.9599999999999998E-001
0.04,9.9921600000000019E+000,-3.9199999999999996E-001
0.06,9.9823600000000017E+000,-5.8799999999999997E-001
0.08,9.9686400000000006E+000,-7.8399999999999992E-001
0.11,9.9407100000000010E+000,-1.0779999999999998E+000
0.13,9.9171900000000015E+000,-1.2740000000000000E+000
0.15,9.8897500000000012E+000,-1.4700000000000002E+000
0.16,9.8745600000000007E+000,-1.5680000000000003E+000
0.18,9.8412399999999991E+000,-1.7640000000000005E+000
0.2,9.8040000000000003E+000,-1.9600000000000006E+000
0.22,9.7628400000000006E+000,-2.1560000000000006E+000
0.24,9.7177600000000002E+000,-2.3520000000000003E+000
0.26,9.6687599999999989E+000,-2.5480000000000000E+000
0.28,9.6158400000000004E+000,-2.7439999999999998E+000
0.3,9.5590000000000011E+000,-2.9399999999999995E+000
0.32,9.4982400000000009E+000,-3.1359999999999992E+000
0.34,9.4335599999999999E+000,-3.3319999999999990E+000
0.36,9.3649600000000000E+000,-3.5279999999999987E+000
0.38,9.2924400000000009E+000,-3.7239999999999984E+000
0.4,9.2160000000000011E+000,-3.9199999999999982E+000
0.42,9.1356400000000004E+000,-4.1159999999999979E+000
0.44,9.0513599999999990E+000,-4.3119999999999976E+000
0.46,8.9631600000000002E+000,-4.5079999999999973E+000
0.48,8.8710400000000007E+000,-4.7039999999999971E+000
0.5,8.7750000000000004E+000,-4.8999999999999968E+000
0.52,8.6750399999999992E+000,-5.0959999999999965E+000
0.54,8.5711600000000008E+000,-5.2919999999999963E+000
0.56,8.4633600000000015E+000,-5.4879999999999960E+000
0.58,8.3516400000000015E+000,-5.6839999999999957E+000
0.6,8.2360000000000007E+000,-5.8799999999999955E+000
0.62,8.1164400000000008E+000,-6.0759999999999952E+000
0.64,7.9929600000000018E+000,-6.2719999999999949E+000
0.66,7.8655600000000021E+000,-6.4679999999999946E+000
0.68,7.7342400000000016E+000,-6.6639999999999944E+000
0.7,7.5990000000000020E+000,-6.8599999999999941E+000
0.72,7.4598400000000016E+000,-7.0559999999999938E+000
0.74,7.3167600000000022E+000,-7.2519999999999936E+000
0.76,7.1697600000000019E+000,-7.4479999999999933E+000
0.78,7.0188400000000026E+000,-7.6439999999999930E+000
0.8,6.8640000000000025E+000,-7.8399999999999928E+000
0.82,6.7052400000000025E+000,-8.0359999999999925E+000
0.84,6.5425600000000026E+000,-8.2319999999999940E+000
0.86,6.3759600000000027E+000,-8.4279999999999955E+000
0.88,6.2054400000000030E+000,-8.6239999999999970E+000
0.9,6.0310000000000024E+000,-8.8199999999999985E+000
0.92,5.8526400000000027E+000,-9.0160000000000000E+000
0.94,5.6703600000000023E+000,-9.2120000000000015E+000
0.96,5.4841600000000028E+000,-9.4080000000000030E+000
0.98,5.2940400000000025E+000,-9.6040000000000045E+000
1,5.1000000000000023E+000,-9.8000000000000060E+000
1.02,4.9020400000000022E+000,-9.9960000000000075E+000
1.04,4.7001600000000021E+000,-1.0192000000000009E+001
1.06,4.4943600000000021E+000,-1.0388000000000011E+001
1.08,4.2846400000000013E+000,-1.0584000000000012E+001
1.1,4.0710000000000015E+000,-1.0780000000000014E+001
1.12,3.8534400000000013E+000,-1.0976000000000015E+001
1.14,3.6319600000000012E+000,-1.1172000000000017E+001
1.16,3.4065600000000007E+000,-1.1368000000000018E+001
1.18,3.1772400000000003E+000,-1.1564000000000020E+001
1.2,2.9440000000000000E+000,-1.1760000000000021E+001
1.22,2.7068399999999997E+000,-1.1956000000000023E+001
1.24,2.4657599999999991E+000,-1.2152000000000024E+001
1.26,2.2207599999999985E+000,-1.2348000000000026E+001
1.28,1.9718399999999978E+000,-1.2544000000000027E+001
1.3,1.7189999999999972E+000,-1.2740000000000029E+001
1.32,1.4622399999999967E+000,-1.2936000000000030E+001
1.34,1.2015599999999962E+000,-1.3132000000000032E+001
1.36,9.3695999999999569E-001,-1.3328000000000033E+001
1.38,6.6843999999999504E-001,-1.3524000000000035E+001
