Time,clutch3_f_0normalized,J1_w,J2_w,J3_w,J4_w,fmi_loggingOn,fmi_pullInputsForInitialization,fmi_NumberOfContinuousStates,fmi_NumberOfEventIndicators
0,0,10,0,0,0,0,1,8,28
9.9794e-019,0,10,9.97974e-018,0,0,0,1,8,28
9.9794e-019,0,10,9.97974e-018,0,0,0,1,8,28
0.003,0,9.97141,0.0299999,0,0,0,1,8,28
0.006,0,9.94563,0.0599994,0,0,0,1,8,28
0.009,0,9.9226,0.0899981,0,0,0,1,8,28
0.012,0,9.90228,0.119996,0,0,0,1,8,28
0.015,0,9.88456,0.149991,0,0,0,1,8,28
0.018,0,9.86936,0.179985,0,0,0,1,8,28
0.021,0,9.85655,0.209976,0,0,0,1,8,28
0.024,0,9.84599,0.239965,0,0,0,1,8,28
0.027,0,9.83751,0.26995,0,0,0,1,8,28
0.03,0,9.8309,0.299932,0,0,0,1,8,28
0.033,0,9.82596,0.329909,0,0,0,1,8,28
0.036,0,9.82247,0.359882,0,0,0,1,8,28
0.039,0,9.82019,0.38985,0,0,0,1,8,28
0.042,0,9.81888,0.419812,0,0,0,1,8,28
0.045,0,9.81828,0.449769,0,0,0,1,8,28
0.048,0,9.81813,0.479719,0,0,0,1,8,28
0.051,0,9.81817,0.509662,0,0,0,1,8,28
0.054,0,9.81812,0.539599,0,0,0,1,8,28
0.057,0,9.81774,0.569527,0,0,0,1,8,28
0.06,0,9.81675,0.599448,0,0,0,1,8,28
0.063,0,9.8149,0.62936,0,0,0,1,8,28
0.066,0,9.81193,0.659264,0,0,0,1,8,28
0.069,0,9.80761,0.689158,0,0,0,1,8,28
0.072,0,9.80171,0.719042,0,0,0,1,8,28
0.075,0,9.79402,0.748917,0,0,0,1,8,28
0.078,0,9.78434,0.77878,0,0,0,1,8,28
0.081,0,9.7725,0.808633,0,0,0,1,8,28
0.084,0,9.75833,0.838474,0,0,0,1,8,28
0.087,0,9.74169,0.868304,0,0,0,1,8,28
0.09,0,9.72247,0.898121,0,0,0,1,8,28
0.093,0,9.70058,0.927926,0,0,0,1,8,28
0.096,0,9.67593,0.957717,0,0,0,1,8,28
0.099,0,9.6485,0.987495,0,0,0,1,8,28
0.102,0,9.61826,1.01726,0,0,0,1,8,28
0.105,0,9.58521,1.04701,0,0,0,1,8,28
0.108,0,9.54938,1.07674,0,0,0,1,8,28
0.111,0,9.51083,1.10646,0,0,0,1,8,28
0.114,0,9.46965,1.13617,0,0,0,1,8,28
0.117,0,9.42591,1.16586,0,0,0,1,8,28
0.12,0,9.37977,1.19553,0,0,0,1,8,28
0.123,0,9.33136,1.22518,0,0,0,1,8,28
0.126,0,9.28085,1.25482,0,0,0,1,8,28
0.129,0,9.22842,1.28444,0,0,0,1,8,28
0.132,0,9.17428,1.31404,0,0,0,1,8,28
0.135,0,9.11865,1.34362,0,0,0,1,8,28
0.138,0,9.06175,1.37319,0,0,0,1,8,28
0.141,0,9.00384,1.40273,0,0,0,1,8,28
0.144,0,8.94516,1.43226,0,0,0,1,8,28
0.147,0,8.88596,1.46176,0,0,0,1,8,28
0.15,0,8.82652,1.49124,0,0,0,1,8,28
0.153,0,8.76711,1.52071,0,0,0,1,8,28
0.156,0,8.70798,1.55015,0,0,0,1,8,28
