"time","Ball2_vel","Ball2_pos","Ball1_pos","Ball1_vel"
0.00000000000000E+00,1.50000000000000E+01,1.00000000000000E+01,1.00000000000000E+01,1.50000000000000E+01
8.90439341849845E-04,1.49912647900565E+01,1.00133488119532E+01,1.00133488119532E+01,1.49912647900565E+01
1.78087868369969E-03,1.49825295801129E+01,1.00266898457317E+01,1.00266898457317E+01,1.49825295801129E+01
4.21279147977241E-03,1.49586725155834E+01,1.00630873722681E+01,1.00630873722681E+01,1.49586725155834E+01
6.64470427584513E-03,1.49348154510540E+01,1.00994333269819E+01,1.00994333269819E+01,1.49348154510540E+01
9.07661707191784E-03,1.49109583865245E+01,1.01357234122210E+01,1.01357234122210E+01,1.49109583865245E+01
1.15085298679906E-02,1.48871013219950E+01,1.01719561954350E+01,1.01719561954350E+01,1.48871013219950E+01
1.64214762687702E-02,1.48389053178034E+01,1.02449768468896E+01,1.02449768468896E+01,1.48389053178034E+01
2.52422130880730E-02,1.47523738896060E+01,1.03754847664017E+01,1.03754847664017E+01,1.47523738896060E+01
4.07738348529029E-02,1.46000086800930E+01,1.06034292773532E+01,1.06034292773532E+01,1.46000086800930E+01
6.79385539474500E-02,1.43335227857755E+01,1.09964143530249E+01,1.09964143530249E+01,1.43335227857755E+01
1.15461984986653E-01,1.38673179272809E+01,1.16665141446502E+01,1.16665141446502E+01,1.38673179272809E+01
1.98971326038497E-01,1.30480912915623E+01,1.27903576093626E+01,1.27903576093626E+01,1.30480912915623E+01
3.46954806392421E-01,1.15963733492904E+01,1.46138438275074E+01,1.46138438275074E+01,1.15963733492904E+01
6.12605228648061E-01,8.99034270696252E+00,1.73482780827718E+01,1.73482780827718E+01,8.99034270696252E+00
1.09779644399703E+00,4.23061688438910E+00,2.05556240846255E+01,2.05556240846255E+01,4.23061688438910E+00
2.00012266236703E+00,-4.62120331782059E+00,2.03794050599474E+01,2.03794050599474E+01,-4.62120331782059E+00
3.68817165008677E+00,-2.11809638873513E+01,-1.39825702995578E+00,-1.39825702995578E+00,-2.11809638873513E+01
6.67947028330401E+00,-5.05256034792124E+01,-1.08646136527680E+02,-1.08646136527680E+02,-5.05256034792124E+01
9.67076891652125E+00,-7.98702430710735E+01,-3.03672595649075E+02,-3.03672595649075E+02,-7.98702430710735E+01
1.00000000000000E+01,-8.31000000000000E+01,-3.30500030500990E+02,-3.30500030500990E+02,-8.31000000000000E+01
