Time,circle_SWC_fmu.Circle_SWC_output_Coords_x,circle_SWC_fmu.Circle_SWC_output_Coords_y,circle_SWC_fmu.fmi_loggingOn,circle_SWC_fmu.fmi_pullInputsForInitialization,circle_SWC_fmu.fmi_StartTime,circle_SWC_fmu.fmi_StopTime,circle_SWC_fmu.fmi_NumberOfSteps,circle_SWC_fmu.fmi_CommunicationStepSize,circle_SWC_fmu.stepSizeScaleFactor,circle_SWC_fmu.fmi_forceShutDownAtStopTime
0,0,0,0,1,0,1,500,0.002,1,0
0.002,0,0,0,1,0,1,500,0.002,1,0
0.002,0,0,0,1,0,1,500,0.002,1,0
0.004,0,0,0,1,0,1,500,0.002,1,0
0.006,0,0,0,1,0,1,500,0.002,1,0
0.006,0.99,0.09,0,1,0,1,500,0.002,1,0
0.008,0.99,0.09,0,1,0,1,500,0.002,1,0
0.01,0.99,0.09,0,1,0,1,500,0.002,1,0
0.012,0.99,0.09,0,1,0,1,500,0.002,1,0
0.014,0.99,0.09,0,1,0,1,500,0.002,1,0
0.016,0.98,0.19,0,1,0,1,500,0.002,1,0
0.018,0.98,0.19,0,1,0,1,500,0.002,1,0
0.02,0.98,0.19,0,1,0,1,500,0.002,1,0
0.022,0.98,0.19,0,1,0,1,500,0.002,1,0
0.024,0.98,0.19,0,1,0,1,500,0.002,1,0
0.026,0.98,0.19,0,1,0,1,500,0.002,1,0
0.026,0.95,0.29,0,1,0,1,500,0.002,1,0
0.028,0.95,0.29,0,1,0,1,500,0.002,1,0
0.03,0.95,0.29,0,1,0,1,500,0.002,1,0
0.032,0.95,0.29,0,1,0,1,500,0.002,1,0
0.034,0.95,0.29,0,1,0,1,500,0.002,1,0
0.036,0.95,0.29,0,1,0,1,500,0.002,1,0
0.036,0.92,0.38,0,1,0,1,500,0.002,1,0
0.038,0.92,0.38,0,1,0,1,500,0.002,1,0
0.04,0.92,0.38,0,1,0,1,500,0.002,1,0
0.042,0.92,0.38,0,1,0,1,500,0.002,1,0
0.044,0.92,0.38,0,1,0,1,500,0.002,1,0
0.046,0.92,0.38,0,1,0,1,500,0.002,1,0
0.046,0.87,0.47,0,1,0,1,500,0.002,1,0
0.048,0.87,0.47,0,1,0,1,500,0.002,1,0
0.05,0.87,0.47,0,1,0,1,500,0.002,1,0
0.052,0.87,0.47,0,1,0,1,500,0.002,1,0
0.054,0.87,0.47,0,1,0,1,500,0.002,1,0
0.056,0.82,0.56,0,1,0,1,500,0.002,1,0
0.058,0.82,0.56,0,1,0,1,500,0.002,1,0
0.06,0.82,0.56,0,1,0,1,500,0.002,1,0
0.062,0.82,0.56,0,1,0,1,500,0.002,1,0
0.064,0.82,0.56,0,1,0,1,500,0.002,1,0
0.066,0.82,0.56,0,1,0,1,500,0.002,1,0
0.066,0.76,0.64,0,1,0,1,500,0.002,1,0
0.068,0.76,0.64,0,1,0,1,500,0.002,1,0
0.07,0.76,0.64,0,1,0,1,500,0.002,1,0
0.072,0.76,0.64,0,1,0,1,500,0.002,1,0
0.074,0.76,0.64,0,1,0,1,500,0.002,1,0
0.076,0.76,0.64,0,1,0,1,500,0.002,1,0
0.076,0.69,0.71,0,1,0,1,500,0.002,1,0
0.078,0.69,0.71,0,1,0,1,500,0.002,1,0
0.08,0.69,0.71,0,1,0,1,500,0.002,1,0
0.082,0.69,0.71,0,1,0,1,500,0.002,1,0
0.084,0.69,0.71,0,1,0,1,500,0.002,1,0
0.086,0.69,0.71,0,1,0,1,500,0.002,1,0
0.086,0.62,0.78,0,1,0,1,500,0.002,1,0
0.088,0.62,0.78,0,1,0,1,500,0.002,1,0
0.09,0.62,0.78,0,1,0,1,500,0.002,1,0
0.092,0.62,0.78,0,1,0,1,500,0.002,1,0
0.094,0.62,0.78,0,1,0,1,500,0.002,1,0
0.096,0.54,0.84,0,1,0,1,500,0.002,1,0
0.098,0.54,0.84,0,1,0,1,500,0.002,1,0
0.1,0.54,0.84,0,1,0,1,500,0.002,1,0
0.102,0.54,0.84,0,1,0,1,500,0.002,1,0
0.104,0.54,0.84,0,1,0,1,500,0.002,1,0
0.106,0.54,0.84,0,1,0,1,500,0.002,1,0
