    "time","Capacitor1.i","IdealDiode3.v"
         0,-500.84853,-282.84271
    5e-005,  -500.842,-0.42395175
    0.0001,-500.82961, 1.0369809
   0.00015,-500.79589, 2.0000221
    0.0002,-500.38259, 2.0004252
   0.00025,-499.50739, 2.0012902
    0.0003,-498.22986, 2.0025576
   0.00035,-496.61002, 2.0041673
    0.0004,-494.70823,  2.006059
   0.00045, -492.5851,  2.008172
    0.0005,-490.30135, 2.0104457
   0.00055,-487.91779, 2.0128192
    0.0006,-485.49512, 2.0152319
   0.00065,-483.09394, 2.0176231
    0.0007,-480.77455, 2.0199325
   0.00075,-478.59694, 2.0221003
    0.0008,-476.62063, 2.0240667
   0.00085, -474.9046, 2.0257729
    0.0009, -473.5072, 2.0271606
   0.00095,-472.48604,  2.028172
     0.001,-471.89791, 2.0287504
   0.00105,-471.79869,   2.02884
    0.0011,-472.24323, 2.0283858
   0.00115, -473.2853, 2.0273342
    0.0012,-474.97748, 2.0256324
   0.00125,-477.37109, 2.0232293
    0.0013,-480.51608, 2.0200748
   0.00135,-484.46101, 2.0161205
    0.0014,-489.25283, 2.0113192
   0.00145,-494.93701, 2.0056256
    0.0015,-500.57883,-15.056416
   0.00155,-500.57314,-17.483061
    0.0016,-500.56768,-20.033043
   0.00165,-500.56248,-22.705355
    0.0017,-500.55751,-25.498925
   0.00175,-500.55278,-28.412651
    0.0018, -500.5483,-31.445401
   0.00185,-500.54406,-34.596015
    0.0019,-500.44883,-38.625953
   0.00195,-498.65207,-44.747101
     0.002,-494.60664,-50.924025
   0.00205,-488.37297,-57.158693
    0.0021,-480.01484,-63.452961
   0.00215,-469.59927, -69.80856
    0.0022,-457.19645,-76.227099
   0.00225,-442.87958,-82.710054
    0.0023,-426.72479,-89.258769
   0.00235,-408.81097,-95.874446
    0.0024,-389.21972,-102.55815
   0.00245,-368.03514,-109.31078
    0.0025,-345.34377,-116.13311
   0.00255,-321.23439,-123.02575
    0.0026,-295.79791,-129.98914
   0.00265,-269.12726,-137.02357
    0.0027,-241.31718,-144.12917
   0.00275,-212.46411,-151.30591
    0.0028,-182.66607,-158.55357
   0.00285,-152.02243,-165.87178
    0.0029,-120.63383,-173.25998
   0.00295,-88.601987,-180.71746
     0.003,-56.029563,-188.24332
   0.00305,-23.019978,-195.83649
    0.0031, 10.322725,-203.49572
   0.00315, 43.894048,-211.21958
    0.0032, 77.589198,-219.00648
   0.00325, 111.30324,-226.85464
    0.0033, 144.93128, -234.7621
   0.00335, 178.36859,-242.72673
    0.0034, 211.51078,-250.74624
   0.00345, 244.25398,-258.81814
    0.0035, 276.49498,-266.93979
   0.00355, 308.13138,-275.10836
    0.0036, 339.06174,-283.32087
   0.00365, 369.18578,-291.57416
    0.0037, 398.40446,-299.86493
   0.00375, 426.62022,-308.18968
    0.0038, 453.73703,-316.54478
   0.00385, 479.66061,-324.92645
    0.0039, 504.29855,-333.33074
   0.00395, 527.56045,-341.75356
     0.004, 549.35805,-350.19067
   0.00405, 569.60537,-358.63771
