"time","egsCarSpeed","egsGear","egsState","egsTargetGear","tShiftStart","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","valves_mv1","valves_mv2","valves_mv3"
1.77,23.92615,0,2,1,1.01,0,0,0,1,0,1,0,0,0
1.8,24.745296,0,2,1,1.01,0,0,0,1,0,1,0,0,0
1.82,25.282469,0,2,1,1.01,0,0,0,1,0,1,0,0,0
1.84,25.812689,0,2,1,1.01,0,0,0,1,0,1,0,0,0
1.86,26.307348,0,2,1,1.01,0,0,0,1,0,1,0,0,0
1.89,27.104015,0,2,1,1.01,0,0,0,1,0,1,0,0,0
1.91,27.661888,0,2,1,1.01,0,0,0,1,0,1,0,0,0
1.93,28.175274,0,2,1,1.01,0,0,0,1,0,1,0,0,0
1.95,28.653025,0,2,1,1.01,0,0,0,1,0,1,0,0,0
1.98,29.375797,0,2,1,1.01,0,0,0,1,0,1,0,0,0
2,29.87182,0,2,1,1.01,0,0,0,1,0,1,0,0,0
2.02,30.37079,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.04,30.863419,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.06,31.346817,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.09,32.06153,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.11,32.534676,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.13,33.005337,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.15,33.472645,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.18,34.16609,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.2,34.62346,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.22,35.077206,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.24,35.52746,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.27,36.196266,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.29,36.637684,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.31,37.075542,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.33,37.50987,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.36,38.15482,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.38,38.58173,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.4,39.005444,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.42,39.424183,1,1,1,1.01,0,0,0,1,0,1,0,0,0
2.45,40.045536,1,2,2,2.44,0,0,0,1,0,1,1,0,0
2.47,40.456345,1,2,2,2.44,0,0,0,0.96,0,0.96,1,0,0
2.49,40.2539,1,2,2,2.44,0,0,0,0.92,0,0.92,1,0,0
2.51,40.066635,1,2,2,2.44,0,0,0,0.88,0,0.88,1,0,0
2.53,40.125935,1,2,2,2.44,0,0,0,0.84,0,0.84,1,0,0
2.56,40.278088,1,2,2,2.44,0,0,0,0.78,0,0.78,1,0,0
2.58,40.171986,1,2,2,2.44,0,0,0,0.74,0,0.74,1,0,0
2.6,39.886105,1,2,2,2.44,0,0,0,0.7,0,0.7,1,0,0
2.62,40.26983,1,2,2,2.44,0,0,0,0.66,0,0.66,1,0,0
2.65,41.29228,1,2,2,2.44,0,0,0,0.6,0,0.6,1,0,0
2.67,41.21772,1,2,2,2.44,0,0,0,0.56,0,0.56,1,0,0
2.69,38.49568,1,2,2,2.44,0,0,0,0.52,0,0.52,1,0,0
