"time","Losses","iAC[2]","iAC[3]","uAC[1]","iAC[1]","uAC[2]","uAC[3]","uDC"
0.000000E+000,4.800000E+002,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,5.656854E+002
2.000000E-005,4.800000E+002,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,5.656854E+002
4.000000E-005,4.800000E+002,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,5.656854E+002
6.000000E-005,4.800000E+002,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,5.656854E+002
8.000000E-005,4.800000E+002,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,5.656854E+002
1.000000E-004,4.800000E+002,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,0.000000E+000,5.656854E+002
1.200000E-004,7.945081E+002,-5.941731E-001,5.644205E-001,2.980496E+002,2.975263E-002,-5.653835E+002,2.673339E+002,5.623465E+002
1.400000E-004,7.945081E+002,-5.941731E-001,5.644205E-001,2.980496E+002,2.975263E-002,-5.653835E+002,2.673339E+002,5.623465E+002
1.600000E-004,7.945081E+002,-5.941731E-001,5.644205E-001,2.980496E+002,2.975263E-002,-5.653835E+002,2.673339E+002,5.623465E+002
1.800000E-004,7.945081E+002,-5.941731E-001,5.644205E-001,2.980496E+002,2.975263E-002,-5.653835E+002,2.673339E+002,5.623465E+002
2.000000E-004,7.945081E+002,-5.941731E-001,5.644205E-001,2.980496E+002,2.975263E-002,-5.653835E+002,2.673339E+002,5.623465E+002
2.200000E-004,7.894276E+002,-1.049562E+000,9.880957E-001,3.122379E+002,6.146653E-002,-5.630092E+002,2.507713E+002,5.590083E+002
2.400000E-004,7.894276E+002,-1.049562E+000,9.880957E-001,3.122379E+002,6.146653E-002,-5.630092E+002,2.507713E+002,5.590083E+002
2.600000E-004,7.894276E+002,-1.049562E+000,9.880957E-001,3.122379E+002,6.146653E-002,-5.630092E+002,2.507713E+002,5.590083E+002
2.800000E-004,7.894276E+002,-1.049562E+000,9.880957E-001,3.122379E+002,6.146653E-002,-5.630092E+002,2.507713E+002,5.590083E+002
3.000000E-004,7.894276E+002,-1.049562E+000,9.880957E-001,3.122379E+002,6.146653E-002,-5.630092E+002,2.507713E+002,5.590083E+002
3.200000E-004,7.910880E+002,-3.209312E+000,3.117160E+000,3.259178E+002,9.215169E-002,-5.596839E+002,2.337661E+002,5.556787E+002
3.400000E-004,7.910880E+002,-3.209312E+000,3.117160E+000,3.259178E+002,9.215169E-002,-5.596839E+002,2.337661E+002,5.556787E+002
