"time","J1.w","J2.w","J3.w","J4.w"
0.5052,5.91292,3.66738,1.052,0
0.5083,5.88143,3.6613,1.083,0
0.5114,5.8471,3.65515,1.114,0
0.5145,5.81001,3.64893,1.145,0
0.5176,5.77029,3.64264,1.176,0
0.5207,5.72808,3.63627,1.207,0
0.5238,5.68355,3.62983,1.238,0
0.5269,5.63688,3.62331,1.269,0
0.53,5.58828,3.61673,1.3,0
0.5331,5.53799,3.61006,1.331,0
0.5362,5.48625,3.60332,1.362,0
0.5393,5.43333,3.59651,1.393,0
0.5424,5.37949,3.58962,1.424,0
0.5455,5.32501,3.58265,1.455,0
0.5486,5.2702,3.57561,1.486,0
0.5517,5.21533,3.56849,1.517,0
0.5548,5.1607,3.5613,1.548,0
0.5579,5.10662,3.55402,1.579,0
0.561,5.05335,3.54667,1.61,0
0.5641,5.00119,3.53924,1.641,0
0.5672,4.9504,3.53173,1.672,0
0.5703,4.90125,3.52414,1.703,0
0.5734,4.85398,3.51648,1.734,0
0.5765,4.80881,3.50873,1.765,0
0.5796,4.76596,3.5009,1.796,0
0.5827,4.72561,3.493,1.827,0
0.5858,4.68793,3.48501,1.858,0
0.5889,4.65305,3.47694,1.889,0
0.592,4.62109,3.46879,1.92,0
0.5951,4.59213,3.46056,1.951,0
0.5982,4.56624,3.45224,1.982,0
0.6013,4.54344,3.44385,2.013,0
0.6044,4.52374,3.43537,2.044,0
0.6075,4.50711,3.42681,2.075,0
0.6106,4.49349,3.41816,2.106,0
0.6137,4.48281,3.40943,2.137,0
0.6168,4.47495,3.40062,2.168,0
0.6199,4.46978,3.39172,2.199,0
0.623,4.46714,3.38273,2.23,0
0.6261,4.46685,3.37366,2.261,0
0.6292,4.46869,3.36451,2.292,0
0.6323,4.47245,3.35527,2.323,0
0.6354,4.47788,3.34594,2.354,0
0.6385,4.48474,3.33653,2.385,0
0.6416,4.49274,3.32703,2.416,0
0.6447,4.50161,3.31745,2.447,0
0.6478,4.51106,3.30777,2.478,0
0.6509,4.5208,3.29801,2.509,0
0.654,4.53055,3.28816,2.54,0
0.6571,4.53999,3.27822,2.571,0
0.6602,4.54886,3.26819,2.602,0
0.6633,4.55686,3.25808,2.633,0
0.6664,4.56372,3.24787,2.664,0
0.6695,4.56918,3.23757,2.695,0
0.6726,4.57299,3.22719,2.726,0
0.6757,4.57492,3.21671,2.757,0
0.6788,4.57476,3.20615,2.788,0
0.6819,4.57231,3.19549,2.819,0
0.685,4.56742,3.18474,2.85,0
0.6881,4.55992,3.1739,2.881,0
0.6912,4.54971,3.16297,2.912,0
0.6943,4.53668,3.15194,2.943,0
0.6974,4.52078,3.14083,2.974,0
0.7005,4.50196,3.12962,3.005,0
0.7036,4.48022,3.11831,3.036,0
0.7067,4.45558,3.10692,3.067,0
0.7098,4.42808,3.09671,3.09671,0
0.7129,4.39784,3.10642,3.10642,0
0.716,4.36493,3.11608,3.11608,0
0.7191,4.32947,3.1257,3.1257,0
0.7222,4.29161,3.13526,3.13526,0
0.7253,4.25154,3.14478,3.14478,0
0.7284,4.20945,3.15426,3.15426,0
0.7315,4.16556,3.16368,3.16368,0
0.7346,4.12011,3.17305,3.17305,0
0.7377,4.07336,3.18238,3.18238,0
0.7408,4.02556,3.19166,3.19166,0
0.7439,3.977,3.20089,3.20089,0
0.747,3.92797,3.21007,3.21007,0
0.7501,3.87875,3.21921,3.21921,0
0.7532,3.82963,3.22829,3.22829,0
0.7563,3.78092,3.23733,3.23733,0
0.7594,3.73289,3.24631,3.24631,0
0.7625,3.68585,3.25525,3.25525,0
0.7656,3.64005,3.26414,3.26414,0
0.7687,3.59578,3.27298,3.27298,0
0.7718,3.55328,3.28177,3.28177,0
0.7749,3.51278,3.29051,3.29051,0
0.778,3.47451,3.29919,3.29919,0
0.7811,3.43867,3.30783,3.30783,0
0.7842,3.40542,3.31642,3.31642,0
0.7873,3.37493,3.32496,3.32496,0
0.7904,3.34732,3.33345,3.33345,0
0.7935,3.3355,3.3355,3.3355,0
0.7966,3.33391,3.33391,3.33391,0
