"Time","FMU2"
0,282.84271247461902
8.503247074984797e-22,282.84271247461902
2.890337709216653e-08,282.84222993415727
5.7650116199313153e-08,282.8417500087603
9.1514538291144389e-08,282.84118464389917
1.2938149557202065e-07,282.84055245691218
1.7107814625153577e-07,282.83985633338523
2.1664928497272604e-07,282.83909552547482
2.6631739931422218e-07,282.83826631876269
3.2046070629075101e-07,282.83736239893562
3.7962172935361548e-07,282.83637470859276
4.445360130214884e-07,282.83529096785639
5.16182660595931e-07,282.83409483064776
5.9586408861704047e-07,282.83276455319026
6.8532997370267865e-07,282.83127092472381
7.8697289272297266e-07,282.82957400130255
9.0414663913966858e-07,282.82761779152025
1.0417053668356343e-06,282.82532125553365
1.206961576466168e-06,282.8225623115319
1.4114771268761033e-06,282.81914793489875
1.6745030499520627e-06,282.81475673069514
2.0283732644655864e-06,282.80884888591925
2.5060660692957645e-06,282.80087382978729
2.91017798319466e-06,282.79412720303839
3.3142898970935555e-06,282.7873805765621
3.7279672365370742e-06,282.78047425610771
4.1308401601023939e-06,282.77374831505745
4.5153551275825236e-06,282.76732885931568
4.8957601432300386e-06,282.76097801923129
5.2915030114965062e-06,282.75437111482688
5.7049881588199855e-06,282.7474680043743
6.1166403241761314e-06,282.74059549573235
6.5082656980257361e-06,282.73405733345709
6.8858149670114231e-06,282.72775417115599
7.2717162058296531e-06,282.72131157346757
7.6797402321972449e-06,282.71449963745829
8.0976534452016591e-06,282.70752260237487
8.4998153009101898e-06,282.70080853549655
8.8796271719170047e-06,282.69446760045452
9.2568494583158854e-06,282.6881698986013
9.6547925151629373e-06,282.68152626507327
1.0073734681033835e-05,282.67453205306754
1.0487458838115207e-05,282.66762495566417
1.0875259801685331e-05,282.66115064451913
1.1247748840885692e-05,282.6549319651636
1.1633215285773656e-05,282.64849662914037
1.2046418369280915e-05,282.64159823210144
1.2469197454660563e-05,282.63453996466529
1.2869820309274563e-05,282.62785159423674
1.3243776828093602e-05,282.62160841665371
1.3617639040860498e-05,282.61536681373696
1.4018858017851379e-05,282.60866849185669
1.4444468586702708e-05,282.60156295440339
1.4860019524207343e-05,282.59462536205467
1.5242718417376349e-05,282.58823623242574
1.5609398955606065e-05,282.58211452827351
1.5995033093338561e-05,282.57567639543777
1.6414868290706858e-05,282.56866727877394
1.6843042917733692e-05,282.56151893626986
1.724105997279401e-05,282.55487407238735
1.7607981710502498e-05,282.548748342652
1.7978473812647459e-05,282.54256300618948
1.8384242276986957e-05,282.53578873390177
1.8817739991543274e-05,282.52855152428748
1.923462750947307e-05,282.52159162087111
1.9610855858120808e-05,282.5153105192486
1.9971121458419073e-05,282.50929591463046
